id,description,invoice_label,type_tax_use,name,amount_type,amount,tax_group_id,active,repartition_line_ids/repartition_type,repartition_line_ids/document_type,repartition_line_ids/tag_ids,repartition_line_ids/account_id,repartition_line_ids/factor_percent
"CISS0","0% Construction Industry Scheme Deduction at Source","0%","sale","0% CIS","percent","0.0","tax_group_cis","True","base","invoice","+CISSB","",""
"","","","","","","","","","tax","invoice","-CISST","220101",""
"","","","","","","","","","base","refund","-CISSB","",""
"","","","","","","","","","tax","refund","+CISST","220101",""
"CISS20","20% Construction Industry Scheme Deduction at Source","-20%","sale","20% CIS","percent","-20.0","tax_group_cis","True","base","invoice","+CISSB","",""
"","","","","","","","","","tax","invoice","-CISST","220101",""
"","","","","","","","","","base","refund","-CISSB","",""
"","","","","","","","","","tax","refund","+CISST","220101",""
"CISS30","30% Construction Industry Scheme Deduction at Source (Unregistered)","-30%","sale","30% CIS","percent","-30.0","tax_group_cis","True","base","invoice","+CISSB","",""
"","","","","","","","","","tax","invoice","-CISST","220101",""
"","","","","","","","","","base","refund","-CISSB","",""
"","","","","","","","","","tax","refund","+CISST","220101",""
"CISP0","0% Construction Industry Scheme Deduction at Source","0%","purchase","0% CIS","percent","0.0","tax_group_cis","True","base","invoice","+CISPB","",""
"","","","","","","","","","tax","invoice","-CISPT","220001",""
"","","","","","","","","","base","refund","-CISPB","",""
"","","","","","","","","","tax","refund","+CISPT","220001",""
"CISP20","20% Construction Industry Scheme Deduction at Source","-20%","purchase","20% CIS","percent","-20.0","tax_group_cis","True","base","invoice","+CISPB","",""
"","","","","","","","","","tax","invoice","-CISPT","220001",""
"","","","","","","","","","base","refund","-CISPB","",""
"","","","","","","","","","tax","refund","+CISPT","220001",""
"CISP30","30% Construction Industry Scheme Deduction at Source (Unregistered)","-30%","purchase","30% CIS","percent","-30.0","tax_group_cis","True","base","invoice","+CISPB","",""
"","","","","","","","","","tax","invoice","-CISPT","220001",""
"","","","","","","","","","base","refund","-CISPB","",""
"","","","","","","","","","tax","refund","+CISPT","220001",""
