"id","code","type","description","supplementary_unit","start_date","expiry_date","country_id:id"
"service_code_2022_B2001","B2001","service","Transport of passengers by sea",,,,"base.be"
"service_code_2022_B2101","B2101","service","Transport of passengers by air",,,,"base.be"
"service_code_2022_B2201","B2201","service","Transport of passengers by rail",,,,"base.be"
"service_code_2022_B2301","B2301","service","Transport of passengers by road",,,,"base.be"
"service_code_2022_B1101","B1101","service","Transport of passengers by various combined modes",,,,"base.be"
"service_code_2022_C0302","C0302","service","Trips outside their country of origin by travellers staying or holidaying abroad",,,,"base.be"
"service_code_2022_C0303","C0303","service","Cruises",,,,"base.be"
"service_code_2022_B0001","B0001","service","Transport of goods by sea",,,,"base.be"
"service_code_2022_B0101","B0101","service","Transport of goods by air",,,,"base.be"
"service_code_2022_B0201","B0201","service","Transport of goods by rail",,,,"base.be"
"service_code_2022_B0301","B0301","service","Transport of goods by road",,,,"base.be"
"service_code_2022_B0401","B0401","service","Transport of goods by inland waterway",,,,"base.be"
"service_code_2022_B1102","B1102","service","Transport of goods by various combined modes",,,,"base.be"
"service_code_2022_B1200","B1200","service","Launch of satellites and transport of goods in space",,,,"base.be"
"service_code_2022_B1001","B1001","service","Transport of goods by pipeline",,,,"base.be"
"service_code_2022_B1002","B1002","service","Transport of electricity",,,,"base.be"
"service_code_2022_B0003","B0003","service","Relocation of oil rigs, floating cranes and dredgers",,,,"base.be"
"service_code_2022_B2002","B2002","service","Renting of ships with crew for the transport of passengers",,,,"base.be"
"service_code_2022_B2102","B2102","service","Renting of aircraft with crew for the transport of passengers",,,,"base.be"
"service_code_2022_B2202","B2202","service","Renting of railway rolling material with crew for the transport of passengers",,,,"base.be"
"service_code_2022_B2302","B2302","service","Renting of cars and coaches with driver for the transport of passengers",,,,"base.be"
"service_code_2022_B2401","B2401","service","Renting of inland waterway vessels with crew for the transport of passengers",,,,"base.be"
"service_code_2022_C0301","C0301","service","Renting of cars without driver for the transport of passengers",,,,"base.be"
"service_code_2022_F6001","F6001","service","Renting of means of transport other than cars without driver or crew for the transport of passengers",,,,"base.be"
"service_code_2022_F6301","F6301","service","Financial leasing of means of passenger transport",,,,"base.be"
"service_code_2022_B0002","B0002","service","Renting of ships with crew for the transport of goods",,,,"base.be"
"service_code_2022_B0102","B0102","service","Renting of aircraft with crew for the transport of goods",,,,"base.be"
