"id","code","account_type","reconcile","name"
"kp_rrif0000","0000","asset_current","","Potraživanja za upisani a neuplaćeni dionički kapital (analitika po upisnicima)-a1"
"kp_rrif0010","0010","asset_current","","Potraživanja iz ponovljene emisije dionica za upisane a neuplaćene svote kapitala po emisijama dionica-a1"
"kp_rrif0020","0020","asset_current","","Potraživanja za upisani a neuplaćeni kapital u d.o.o. (analitika po članovima društva)-a1"
"kp_rrif0030","0030","asset_current","","Potraživanja za temeljni ulog komanditora-a1"
"kp_rrif0040","0040","asset_current","","Potraživanje za ostale uloge u kapital-a1"
"kp_rrif0100","0100","asset_non_current","","Izdatci za razvoj projekta (konstruiranje i test. prototipova i modela,alata,naprava i kalupa i sl."
"kp_rrif0101","0101","asset_non_current","","Izdatci za razvoj proizvoda (uzorci, recepture, troškovi pronalazaka i sl.)."
"kp_rrif0102","0102","asset_non_current","","Izdatci za istraživanje mineralnih blaga (MSFI 6)"
"kp_rrif0110","0110","asset_non_current","","Ulaganje u koncesije idozvole(za resurse, ceste, ribarenje, linije, sirovine, itd.)"
"kp_rrif0111","0111","asset_non_current","","Ulaganje u patente i tehnologiju, inovacije, teh.dokumentaciju za proizv. proizvoda ili pružanje usluga"
"kp_rrif0112","0112","asset_non_current","","Ulaganje u licenciju i frenčajz (Franchising)"
"kp_rrif0113","0113","asset_non_current","","Robne marke, trgovačko ime, lista kupaca, industrijska prava, marketinška prava, usl. marke i sl.prava"
"kp_rrif0114","0114","asset_non_current","","Ulaganje u tržišni udio (otkup prava distribucije za neko područje)"
"kp_rrif01200","01200","asset_non_current","","Ulaganje u računalni softwer"
"kp_rrif01201","01201","asset_non_current","","Ulaganje u internetske stranice"
"kp_rrif01210","01210","asset_non_current","","Ulaganje u autorska i dr. prava korištenja"
"kp_rrif01211","01211","asset_non_current","","Ulaganje u znanje (know how), dizajn"
"kp_rrif01212","01212","asset_non_current","","Ulaganje u pravo reproduciranja (npr. filmova), pravo objave u izdavaštvu i sl."
"kp_rrif01213","01213","asset_non_current","","Ulaganja na tuđoj imovini radi uporabe ili poboljšanja (nekretnina, opreme i sl.)"
"kp_rrif01214","01214","asset_non_current","","Ulaganje u dugogodišnje pravo uporabe (prema ugovoru)"
"kp_rrif01215","01215","asset_non_current","","Ulaganje u pravo suvlasništva opreme"
"kp_rrif01220","01220","asset_non_current","","Založno pravo i hipoteke (realizirane)"
"kp_rrif01221","01221","asset_non_current","","Ostala dugogodišnja prava"
"kp_rrif0130","0130","asset_non_current","","Goodwill"
"kp_rrif0140","0140","asset_non_current","","Dugogodišnje naknade plaćene za pravo građenja, pravo prolaza i sl."
"kp_rrif0141","0141","asset_non_current","","Filmovi, glazbeni zapisi"
"kp_rrif0142","0142","asset_non_current","","Ostala nematerijalna imovina"
"kp_rrif0150","0150","asset_non_current","","Predujmovi za razvoj"
"kp_rrif0151","0151","asset_non_current","","Predujmovi za koncesije"
"kp_rrif0152","0152","asset_non_current","","Predujmovi za patente, licencije i dr."
"kp_rrif0153","0153","asset_non_current","","Predujmovi za robne ili uslužne marke"
"kp_rrif0154","0154","asset_non_current","","Predujmovi za nabavu softwera"
"kp_rrif0155","0155","asset_non_current","","Predujmovi za nabavu ostalih prava uporabe"
"kp_rrif0156","0156","asset_non_current","","Predujmovi za ostalu nematerijalnu imovinu"
"kp_rrif0160","0160","asset_non_current","","Nematerijalna imovina u pripremi (analitika prema vrsti računa skupine 01)-a1"
"kp_rrif0180","0180","asset_non_current","","Vrijednosno usklađenje nematerijalne imovine (analitika prema vrsti računa skupine 01)-a1"
"kp_rrif0190","0190","asset_non_current","","Akumulirana amortizacija izdataka za razvoj"
"kp_rrif0191","0191","asset_non_current","","Akumulirana amortizacija koncesija, patenata, licencija i sl."
"kp_rrif0192","0192","asset_non_current","","Akumulirana amort. robne i uslužne marke"
"kp_rrif0193","0193","asset_non_current","","Akumulirana amortizacija softwera"
"kp_rrif0194","0194","asset_non_current","","Akumulirana amortizacija godwilla (v. napom. 3.)"
"kp_rrif0195","0195","asset_non_current","","Akumulirana amort. ostale nematerijalne imovine"
"kp_rrif0200","0200","asset_non_current","","Građevinsko zemljište (bez zgrada)"
"kp_rrif0201","0201","asset_non_current","","Poljoprivredno zemljište"
"kp_rrif0202","0202","asset_non_current","","Zemljište za deponije smeća i otpada"
"kp_rrif0203","0203","asset_non_current","","Zemljište za eksploataciju kamena, gline, šljunka i pijeska,"
"kp_rrif0204","0204","asset_non_current","","Zemljište sa supstancijalnom potrošnjom ili odlagališta"
"kp_rrif0205","0205","asset_non_current","","Zemljište pod prometnicama, dvorištima, parkiralištima i sl."
"kp_rrif0206","0206","asset_non_current","","Zemljišta pod dugogodišnjim nasadama, parkovima, vrtovima i sl."
"kp_rrif0207","0207","asset_non_current","","Čista neobrađena i nezasađena zemljišta i kamenjari"
"kp_rrif0208","0208","asset_non_current","","Zemljišta ispod građevina"
"kp_rrif0209","0209","asset_non_current","","Poboljšanja na zemljištu (ulaganja u odvodnjavanje, uređivanje prilaza i sl.)"
"kp_rrif0210","0210","asset_non_current","","Zemljište s upisanim pravom građenja (unaprijed plaćena)"
"kp_rrif0211","0211","asset_non_current","","Pravo služnosti na zemljištu (unaprijed plaćena)"
"kp_rrif0212","0212","asset_non_current","","Zemljišta u zakupu (unaprijed plaćena)"
"kp_rrif0230","0230","asset_non_current","","Poslovne zgrade"
"kp_rrif0231","0231","asset_non_current","","Tvorničke zgrade, hale i radionice"
