id,l10n_id_uom_code/id
uom.product_uom_unit,uom_code_0018
uom.product_uom_kgm,uom_code_0003
uom.product_uom_gram,uom_code_0004
uom.product_uom_ton,uom_code_0001
uom.product_uom_litre,uom_code_0007
uom.uom_square_meter,uom_code_0012
uom.product_uom_meter,uom_code_0013
uom.product_uom_inch,uom_code_0014
uom.product_uom_cm,uom_code_0015
uom.product_uom_yard,uom_code_0016
uom.product_uom_dozen,uom_code_0017
uom.product_uom_day,uom_code_0026
uom.product_uom_hour,uom_code_0027
