"id","method","method_number","method_period","method_progress_factor"
"l10n_kh_no_depr","no_depreciation","0","12",""
"l10n_kh_class_1_buildings","linear","20","12",""
"l10n_kh_class_2_computers","linear","3","12",""
"l10n_kh_class_3_vehicles","linear","4","12",""
"l10n_kh_class_4_machinery_intangible","linear","5","12",""
"l10n_kh_class_intangibles_10yr","linear","10","12",""
