"id","name","name@es"
"tax_group_0","VAT 0%","I.V.A. 0%"
"tax_group_6","VAT 6%","I.V.A. 6%"
"tax_group_15","VAT 15%","I.V.A. 15%"
"tax_group_30","VAT 30%","I.V.A. 30%"
