"id","name","auto_apply","sequence","country_id"
"l10n_uy_domestic_fiscal_position","UY Domestic","1","10",""
"account_fiscal_position_exportation","Exportación","1","10",""
"account_fiscal_position_local_uruguay","Local – Uruguay","1","15","base.uy"
