"id","code","name","account_type","reconcile","tag_ids","name@fi"
"account_1021","1021","Development costs","asset_non_current","False","l10n_fi.account_tag_development_costs","Kehittämismenot"
"account_1031","1031","Patents","asset_non_current","False","l10n_fi.account_tag_immaterial_rights","Patentit"
"account_1033","1033","Copyrights","asset_non_current","False","l10n_fi.account_tag_immaterial_rights","Tekijänoikeudet"
"account_1035","1035","Trademarks","asset_non_current","False","l10n_fi.account_tag_immaterial_rights","Tavaramerkkioikeudet"
"account_1037","1037","License fees","asset_non_current","False","l10n_fi.account_tag_immaterial_rights","Lisenssimaksut"
"account_1039","1039","Concession rights","asset_non_current","False","l10n_fi.account_tag_immaterial_rights","Toimilupaoikeudet"
"account_1041","1041","License fees, computer programmes","asset_non_current","False","l10n_fi.account_tag_immaterial_rights","Atk-ohjelmien lisenssimaksut"
"account_1043","1043","Telephone connections","asset_non_current","False","l10n_fi.account_tag_immaterial_rights","Puhelinliittymät"
"account_1045","1045","Alarm connections","asset_non_current","False","l10n_fi.account_tag_immaterial_rights","Hälytysliittymät"
"account_1049","1049","Other intangible rights","asset_non_current","False","l10n_fi.account_tag_immaterial_rights","Muut aineettomat oikeudet"
"account_1051","1051","Goodwill","asset_non_current","False","l10n_fi.account_tag_goodwill","Liikearvo"
"account_1055","1055","Merger account","asset_non_current","False","l10n_fi.account_tag_goodwill","Fuusiotili"
"account_1057","1057","Goodwill, merger","asset_non_current","False","l10n_fi.account_tag_goodwill","Fuusioaktiiva"
"account_1061","1061","Group goodwill","asset_non_current","False","l10n_fi.account_tag_goodwill","Konserniliikearvo"
"account_1071","1071","Advertising and marketing research expenses","asset_non_current","False","l10n_fi.account_tag_other_long_term_expenses","Mainos- ja markkinatutkimusmenot"
"account_1073","1073","Improvement expenses, owner flat","asset_non_current","False","l10n_fi.account_tag_other_long_term_expenses","Osakehuoneiston perusparannusmenot"
"account_1075","1075","Improvement expenses, rented flat","asset_non_current","False","l10n_fi.account_tag_other_long_term_expenses","Vuokrahuoneiston perusparannusmenot"
"account_1081","1081","Computer programmes","asset_non_current","False","l10n_fi.account_tag_other_long_term_expenses","Atk-ohjelmat"
"account_1089","1089","Other capitalised long-term expenses","asset_non_current","False","l10n_fi.account_tag_other_long_term_expenses","Muut pitkävaikutteiset menot"
"account_1091","1091","Advance payments for intangible assets","asset_non_current","False","l10n_fi.account_tag_advance_payments_intangible","Ennakkomaksut aineettomista hyödykkeistä"
"account_1101","1101","Land and water areas","asset_non_current","False","l10n_fi.account_tag_land_and_water_areas_owned","Maa- ja vesialueet"
"account_1105","1105","Connection charges","asset_non_current","False","l10n_fi.account_tag_land_and_water_areas_owned","Liittymismaksut"
