id,position_id:id,tax_src_id:id,tax_dest_id:id
fiscal_position_tax_template_LU_1,account_fiscal_position_template_LU_IC,lu_2011_tax_VB-PA-15,lu_2011_tax_VB-IC-15
fiscal_position_tax_template_LU_2,account_fiscal_position_template_LU_IC,lu_2011_tax_VB-PA-12,lu_2011_tax_VB-IC-12
fiscal_position_tax_template_LU_3,account_fiscal_position_template_LU_IC,lu_2011_tax_VB-PA-6,lu_2011_tax_VB-IC-6
fiscal_position_tax_template_LU_4,account_fiscal_position_template_LU_IC,lu_2011_tax_VB-PA-3,lu_2011_tax_VB-IC-3
fiscal_position_tax_template_LU_5,account_fiscal_position_template_LU_IC,lu_2011_tax_VB-PA-0,lu_2011_tax_VB-IC-0
fiscal_position_tax_template_LU_6,account_fiscal_position_template_LU_IC,lu_2011_tax_VP-PA-15,lu_2011_tax_VP-IC-15
fiscal_position_tax_template_LU_7,account_fiscal_position_template_LU_IC,lu_2011_tax_VP-PA-12,lu_2011_tax_VP-IC-12
fiscal_position_tax_template_LU_8,account_fiscal_position_template_LU_IC,lu_2011_tax_VP-PA-6,lu_2011_tax_VP-IC-6
fiscal_position_tax_template_LU_9,account_fiscal_position_template_LU_IC,lu_2011_tax_VP-PA-3,lu_2011_tax_VP-IC-3
fiscal_position_tax_template_LU_11,account_fiscal_position_template_LU_IC,lu_2011_tax_FB-PA-15,lu_2011_tax_FB-IC-15
fiscal_position_tax_template_LU_12,account_fiscal_position_template_LU_IC,lu_2011_tax_FB-PA-12,lu_2011_tax_FB-IC-12
fiscal_position_tax_template_LU_13,account_fiscal_position_template_LU_IC,lu_2011_tax_FB-PA-6,lu_2011_tax_FB-IC-6
fiscal_position_tax_template_LU_14,account_fiscal_position_template_LU_IC,lu_2011_tax_FB-PA-3,lu_2011_tax_FB-IC-3
fiscal_position_tax_template_LU_15,account_fiscal_position_template_LU_IC,lu_2011_tax_FB-PA-0,lu_2011_tax_FB-IC-0
fiscal_position_tax_template_LU_16,account_fiscal_position_template_LU_IC,lu_2011_tax_FP-PA-15,lu_2011_tax_FP-IC-15
fiscal_position_tax_template_LU_17,account_fiscal_position_template_LU_IC,lu_2011_tax_FP-PA-12,lu_2011_tax_FP-IC-12
fiscal_position_tax_template_LU_18,account_fiscal_position_template_LU_IC,lu_2011_tax_FP-PA-6,lu_2011_tax_FP-IC-6
fiscal_position_tax_template_LU_19,account_fiscal_position_template_LU_IC,lu_2011_tax_FP-PA-3,lu_2011_tax_FP-IC-3
fiscal_position_tax_template_LU_20,account_fiscal_position_template_LU_IC,lu_2011_tax_FP-PA-0,lu_2011_tax_FP-IC-0
fiscal_position_tax_template_LU_21,account_fiscal_position_template_LU_IC,lu_2011_tax_IB-PA-15,lu_2011_tax_IB-IC-15
fiscal_position_tax_template_LU_22,account_fiscal_position_template_LU_IC,lu_2011_tax_IB-PA-12,lu_2011_tax_IB-IC-12
fiscal_position_tax_template_LU_23,account_fiscal_position_template_LU_IC,lu_2011_tax_IB-PA-6,lu_2011_tax_IB-IC-6
fiscal_position_tax_template_LU_24,account_fiscal_position_template_LU_IC,lu_2011_tax_IB-PA-3,lu_2011_tax_IB-IC-3
fiscal_position_tax_template_LU_25,account_fiscal_position_template_LU_IC,lu_2011_tax_IB-PA-0,lu_2011_tax_IB-IC-0
fiscal_position_tax_template_LU_26,account_fiscal_position_template_LU_IC,lu_2011_tax_IP-PA-15,lu_2011_tax_IP-IC-15
fiscal_position_tax_template_LU_27,account_fiscal_position_template_LU_IC,lu_2011_tax_IP-PA-12,lu_2011_tax_IP-IC-12
fiscal_position_tax_template_LU_28,account_fiscal_position_template_LU_IC,lu_2011_tax_IP-PA-6,lu_2011_tax_IP-IC-6
fiscal_position_tax_template_LU_29,account_fiscal_position_template_LU_IC,lu_2011_tax_IP-PA-3,lu_2011_tax_IP-IC-3
fiscal_position_tax_template_LU_30,account_fiscal_position_template_LU_IC,lu_2011_tax_IP-PA-0,lu_2011_tax_IP-IC-0
fiscal_position_tax_template_LU_31,account_fiscal_position_template_LU_IC,lu_2011_tax_AB-PA-15,lu_2011_tax_AB-IC-15
fiscal_position_tax_template_LU_32,account_fiscal_position_template_LU_IC,lu_2011_tax_AB-PA-12,lu_2011_tax_AB-IC-12
fiscal_position_tax_template_LU_33,account_fiscal_position_template_LU_IC,lu_2011_tax_AB-PA-9,lu_2011_tax_AB-IC-9
fiscal_position_tax_template_LU_34,account_fiscal_position_template_LU_IC,lu_2011_tax_AB-PA-6,lu_2011_tax_AB-IC-6
fiscal_position_tax_template_LU_35,account_fiscal_position_template_LU_IC,lu_2011_tax_AB-PA-3,lu_2011_tax_AB-IC-3
fiscal_position_tax_template_LU_36,account_fiscal_position_template_LU_IC,lu_2011_tax_AB-PA-0,lu_2011_tax_AB-IC-0
fiscal_position_tax_template_LU_37,account_fiscal_position_template_LU_IC,lu_2011_tax_AP-PA-15,lu_2011_tax_AP-IC-15
fiscal_position_tax_template_LU_38,account_fiscal_position_template_LU_IC,lu_2011_tax_AP-PA-12,lu_2011_tax_AP-IC-12
fiscal_position_tax_template_LU_40,account_fiscal_position_template_LU_IC,lu_2011_tax_AP-PA-6,lu_2011_tax_AP-IC-6
fiscal_position_tax_template_LU_41,account_fiscal_position_template_LU_IC,lu_2011_tax_AP-PA-3,lu_2011_tax_AP-IC-3
fiscal_position_tax_template_LU_42,account_fiscal_position_template_LU_IC,lu_2011_tax_AP-PA-0,lu_2011_tax_AP-IC-0
