id,name,chart_template_id:id
account_fiscal_position_template_LU_NO,Non-assujetti,lu_2011_chart_1
account_fiscal_position_template_LU_LU,Assujetti Luxembourgeois,lu_2011_chart_1
account_fiscal_position_template_LU_IC,Assujetti Intracommunautaire,lu_2011_chart_1
account_fiscal_position_template_LU_EC,Assujetti Extracommunautaire,lu_2011_chart_1
