id,name,applicability
tag_AB_EC_0,AB-EC-0,taxes
tag_AB_EC_12_n,AB-EC-12-n,taxes
tag_AB_EC_12_p,AB-EC-12-p,taxes
tag_AB_EC_12,AB-EC-12,taxes
tag_AB_EC_14_n,AB-EC-14-n,taxes
tag_AB_EC_14_p,AB-EC-14-p,taxes
tag_AB_EC_14,AB-EC-14,taxes
tag_AB_EC_15_n,AB-EC-15-n,taxes
tag_AB_EC_15_p,AB-EC-15-p,taxes
tag_AB_EC_15,AB-EC-15,taxes
tag_AB_EC_17_n,AB-EC-17-n,taxes
tag_AB_EC_17_p,AB-EC-17-p,taxes
tag_AB_EC_17,AB-EC-17,taxes
tag_AB_EC_3_n,AB-EC-3-n,taxes
tag_AB_EC_3_p,AB-EC-3-p,taxes
tag_AB_EC_3,AB-EC-3,taxes
tag_AB_EC_6_n,AB-EC-6-n,taxes
tag_AB_EC_6_p,AB-EC-6-p,taxes
tag_AB_EC_6,AB-EC-6,taxes
tag_AB_EC_8_n,AB-EC-8-n,taxes
tag_AB_EC_8_p,AB-EC-8-p,taxes
tag_AB_EC_8,AB-EC-8,taxes
tag_AB_ECP_0,AB-ECP-0,taxes
tag_AB_ECP_12_n,AB-ECP-12-n,taxes
tag_AB_ECP_12_p,AB-ECP-12-p,taxes
tag_AB_ECP_12,AB-ECP-12,taxes
tag_AB_ECP_14_n,AB-ECP-14-n,taxes
tag_AB_ECP_14_p,AB-ECP-14-p,taxes
tag_AB_ECP_14,AB-ECP-14,taxes
tag_AB_ECP_15_n,AB-ECP-15-n,taxes
tag_AB_ECP_15_p,AB-ECP-15-p,taxes
tag_AB_ECP_15,AB-ECP-15,taxes
tag_AB_ECP_17_n,AB-ECP-17-n,taxes
tag_AB_ECP_17_p,AB-ECP-17-p,taxes
tag_AB_ECP_17,AB-ECP-17,taxes
tag_AB_ECP_3_n,AB-ECP-3-n,taxes
tag_AB_ECP_3_p,AB-ECP-3-p,taxes
tag_AB_ECP_3,AB-ECP-3,taxes
tag_AB_ECP_6_n,AB-ECP-6-n,taxes
tag_AB_ECP_6_p,AB-ECP-6-p,taxes
tag_AB_ECP_6,AB-ECP-6,taxes
tag_AB_ECP_8_n,AB-ECP-8-n,taxes
tag_AB_ECP_8_p,AB-ECP-8-p,taxes
tag_AB_ECP_8,AB-ECP-8,taxes
tag_AB_IC_0,AB-IC-0,taxes
tag_AB_IC_12_n,AB-IC-12-n,taxes
tag_AB_IC_12_p,AB-IC-12-p,taxes
tag_AB_IC_12,AB-IC-12,taxes
tag_AB_IC_14_n,AB-IC-14-n,taxes
tag_AB_IC_14_p,AB-IC-14-p,taxes
tag_AB_IC_14,AB-IC-14,taxes
tag_AB_IC_15_n,AB-IC-15-n,taxes
tag_AB_IC_15_p,AB-IC-15-p,taxes
tag_AB_IC_15,AB-IC-15,taxes
tag_AB_IC_17_n,AB-IC-17-n,taxes
tag_AB_IC_17_p,AB-IC-17-p,taxes
tag_AB_IC_17,AB-IC-17,taxes
tag_AB_IC_3_n,AB-IC-3-n,taxes
tag_AB_IC_3_p,AB-IC-3-p,taxes
tag_AB_IC_3,AB-IC-3,taxes
tag_AB_IC_6_n,AB-IC-6-n,taxes
tag_AB_IC_6_p,AB-IC-6-p,taxes
tag_AB_IC_6,AB-IC-6,taxes
tag_AB_IC_8_n,AB-IC-8-n,taxes
tag_AB_IC_8_p,AB-IC-8-p,taxes
tag_AB_IC_8,AB-IC-8,taxes
tag_AB_PA_0,AB-PA-0,taxes
tag_AB_PA_12,AB-PA-12,taxes
tag_AB_PA_14,AB-PA-14,taxes
tag_AB_PA_15,AB-PA-15,taxes
tag_AB_PA_17,AB-PA-17,taxes
tag_AB_PA_3,AB-PA-3,taxes
tag_AB_PA_6,AB-PA-6,taxes
tag_AB_PA_8,AB-PA-8,taxes
tag_AP_EC_0,AP-EC-0,taxes
tag_AP_EC_12_n,AP-EC-12-n,taxes
tag_AP_EC_12_p,AP-EC-12-p,taxes
tag_AP_EC_12,AP-EC-12,taxes
tag_AP_EC_14_n,AP-EC-14-n,taxes
tag_AP_EC_14_p,AP-EC-14-p,taxes
tag_AP_EC_14,AP-EC-14,taxes
tag_AP_EC_15_n,AP-EC-15-n,taxes
tag_AP_EC_15_p,AP-EC-15-p,taxes
tag_AP_EC_15,AP-EC-15,taxes
tag_AP_EC_17_n,AP-EC-17-n,taxes
tag_AP_EC_17_p,AP-EC-17-p,taxes
tag_AP_EC_17,AP-EC-17,taxes
tag_AP_EC_3_n,AP-EC-3-n,taxes
tag_AP_EC_3_p,AP-EC-3-p,taxes
tag_AP_EC_3,AP-EC-3,taxes
tag_AP_EC_6_n,AP-EC-6-n,taxes
tag_AP_EC_6_p,AP-EC-6-p,taxes
tag_AP_EC_6,AP-EC-6,taxes
tag_AP_EC_8_n,AP-EC-8-n,taxes
tag_AP_EC_8_p,AP-EC-8-p,taxes
tag_AP_EC_8,AP-EC-8,taxes
tag_AP_IC_0,AP-IC-0,taxes
tag_AP_IC_12_n,AP-IC-12-n,taxes
tag_AP_IC_12_p,AP-IC-12-p,taxes
tag_AP_IC_12,AP-IC-12,taxes
tag_AP_IC_14_n,AP-IC-14-n,taxes
tag_AP_IC_14_p,AP-IC-14-p,taxes
tag_AP_IC_14,AP-IC-14,taxes
tag_AP_IC_15_n,AP-IC-15-n,taxes
tag_AP_IC_15_p,AP-IC-15-p,taxes
tag_AP_IC_15,AP-IC-15,taxes
tag_AP_IC_17_n,AP-IC-17-n,taxes
tag_AP_IC_17_p,AP-IC-17-p,taxes
tag_AP_IC_17,AP-IC-17,taxes
tag_AP_IC_3_n,AP-IC-3-n,taxes
tag_AP_IC_3_p,AP-IC-3-p,taxes
tag_AP_IC_3,AP-IC-3,taxes
tag_AP_IC_6_n,AP-IC-6-n,taxes
tag_AP_IC_6_p,AP-IC-6-p,taxes
tag_AP_IC_6,AP-IC-6,taxes
tag_AP_IC_8_n,AP-IC-8-n,taxes
tag_AP_IC_8_p,AP-IC-8-p,taxes
tag_AP_IC_8,AP-IC-8,taxes
tag_AP_PA_0,AP-PA-0,taxes
tag_AP_PA_12,AP-PA-12,taxes
tag_AP_PA_14,AP-PA-14,taxes
tag_AP_PA_15,AP-PA-15,taxes
tag_AP_PA_17,AP-PA-17,taxes
tag_AP_PA_3,AP-PA-3,taxes
tag_AP_PA_6,AP-PA-6,taxes
tag_AP_PA_8,AP-PA-8,taxes
tag_FB_EC_0,FB-EC-0,taxes
tag_FB_EC_12_n,FB-EC-12-n,taxes
tag_FB_EC_12_p,FB-EC-12-p,taxes
tag_FB_EC_12,FB-EC-12,taxes
tag_FB_EC_14_n,FB-EC-14-n,taxes
tag_FB_EC_14_p,FB-EC-14-p,taxes
tag_FB_EC_14,FB-EC-14,taxes
tag_FB_EC_15_n,FB-EC-15-n,taxes
tag_FB_EC_15_p,FB-EC-15-p,taxes
tag_FB_EC_15,FB-EC-15,taxes
tag_FB_EC_17_n,FB-EC-17-n,taxes
tag_FB_EC_17_p,FB-EC-17-p,taxes
tag_FB_EC_17,FB-EC-17,taxes
tag_FB_EC_3_n,FB-EC-3-n,taxes
tag_FB_EC_3_p,FB-EC-3-p,taxes
tag_FB_EC_3,FB-EC-3,taxes
tag_FB_EC_6_n,FB-EC-6-n,taxes
tag_FB_EC_6_p,FB-EC-6-p,taxes
tag_FB_EC_6,FB-EC-6,taxes
tag_FB_EC_8_n,FB-EC-8-n,taxes
tag_FB_EC_8_p,FB-EC-8-p,taxes
tag_FB_EC_8,FB-EC-8,taxes
tag_FB_ECP_0,FB-ECP-0,taxes
tag_FB_ECP_12_n,FB-ECP-12-n,taxes
tag_FB_ECP_12_p,FB-ECP-12-p,taxes
tag_FB_ECP_12,FB-ECP-12,taxes
tag_FB_ECP_14_n,FB-ECP-14-n,taxes
tag_FB_ECP_14_p,FB-ECP-14-p,taxes
tag_FB_ECP_14,FB-ECP-14,taxes
tag_FB_ECP_15_n,FB-ECP-15-n,taxes
tag_FB_ECP_15_p,FB-ECP-15-p,taxes
tag_FB_ECP_15,FB-ECP-15,taxes
tag_FB_ECP_17_n,FB-ECP-17-n,taxes
tag_FB_ECP_17_p,FB-ECP-17-p,taxes
tag_FB_ECP_17,FB-ECP-17,taxes
tag_FB_ECP_3_n,FB-ECP-3-n,taxes
tag_FB_ECP_3_p,FB-ECP-3-p,taxes
tag_FB_ECP_3,FB-ECP-3,taxes
tag_FB_ECP_6_n,FB-ECP-6-n,taxes
tag_FB_ECP_6_p,FB-ECP-6-p,taxes
tag_FB_ECP_6,FB-ECP-6,taxes
tag_FB_ECP_8_n,FB-ECP-8-n,taxes
tag_FB_ECP_8_p,FB-ECP-8-p,taxes
tag_FB_ECP_8,FB-ECP-8,taxes
tag_FB_IC_0,FB-IC-0,taxes
tag_FB_IC_12_n,FB-IC-12-n,taxes
tag_FB_IC_12_p,FB-IC-12-p,taxes
tag_FB_IC_12,FB-IC-12,taxes
tag_FB_IC_14_n,FB-IC-14-n,taxes
tag_FB_IC_14_p,FB-IC-14-p,taxes
tag_FB_IC_14,FB-IC-14,taxes
tag_FB_IC_15_n,FB-IC-15-n,taxes
tag_FB_IC_15_p,FB-IC-15-p,taxes
tag_FB_IC_15,FB-IC-15,taxes
tag_FB_IC_17_n,FB-IC-17-n,taxes
tag_FB_IC_17_p,FB-IC-17-p,taxes
tag_FB_IC_17,FB-IC-17,taxes
tag_FB_IC_3_n,FB-IC-3-n,taxes
tag_FB_IC_3_p,FB-IC-3-p,taxes
tag_FB_IC_3,FB-IC-3,taxes
tag_FB_IC_6_n,FB-IC-6-n,taxes
tag_FB_IC_6_p,FB-IC-6-p,taxes
tag_FB_IC_6,FB-IC-6,taxes
tag_FB_IC_8_n,FB-IC-8-n,taxes
tag_FB_IC_8_p,FB-IC-8-p,taxes
tag_FB_IC_8,FB-IC-8,taxes
tag_FB_PA_0,FB-PA-0,taxes
tag_FB_PA_12,FB-PA-12,taxes
tag_FB_PA_14,FB-PA-14,taxes
tag_FB_PA_15,FB-PA-15,taxes
tag_FB_PA_17,FB-PA-17,taxes
tag_FB_PA_3,FB-PA-3,taxes
tag_FB_PA_6,FB-PA-6,taxes
tag_FB_PA_8,FB-PA-8,taxes
tag_FP_EC_0,FP-EC-0,taxes
tag_FP_EC_12_n,FP-EC-12-n,taxes
tag_FP_EC_12_p,FP-EC-12-p,taxes
tag_FP_EC_12,FP-EC-12,taxes
tag_FP_EC_14_n,FP-EC-14-n,taxes
tag_FP_EC_14_p,FP-EC-14-p,taxes
tag_FP_EC_14,FP-EC-14,taxes
