"id","name","country_id","name@nb_NO"
"tax_group_0","VAT 0%","base.no","MVA 0%"
"tax_group_10","VAT 10%","base.no","MVA 10%"
"tax_group_12","VAT 12%","base.no","MVA 12%"
"tax_group_15","VAT 15%","base.no","MVA 15%"
"tax_group_25","VAT 25%","base.no","MVA 25%"
