"id","sequence","name","auto_apply","vat_required","country_id","country_group_id","name@fr"
"l10n_tn_fp_template_domestic","1","Domestic market","1","1","base.tn","","Régime National"
"fiscal_position_template_exo","","Exemption","1","","","","Exonération"
"l10n_tn_fp_template_export","","Export","1","","","",""
