"id","sequence","description","name","invoice_label","amount","amount_type","type_tax_use","tax_group_id","active","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","name@fr","description@fr","fiscal_position_ids","original_tax_ids"
"l10n_tn_tax_vat_sale_19","1","19%","19%","19%","19.0","percent","sale","l10n_tn_tax_group_vat_19","","base","invoice","sale_19_base_amount_tag","","","","","l10n_tn_fp_template_domestic",""
"","","","","","","","","","","tax","invoice","sale_19_vat_due_tag","l10n_tn_43651","","","","",""
"","","","","","","","","","","base","refund","sale_19_base_amount_tag","","","","","",""
"","","","","","","","","","","tax","refund","sale_19_vat_due_tag","l10n_tn_43651","","","","",""
"l10n_tn_tax_vat_sale_13","","13%","13%","13%","13.0","percent","sale","l10n_tn_tax_group_vat_13","","base","invoice","sale_13_base_amount_tag","","","","","l10n_tn_fp_template_domestic",""
"","","","","","","","","","","tax","invoice","sale_13_vat_due_tag","l10n_tn_43651","","","","",""
"","","","","","","","","","","base","refund","sale_13_base_amount_tag","","","","","",""
"","","","","","","","","","","tax","refund","sale_13_vat_due_tag","l10n_tn_43651","","","","",""
"l10n_tn_tax_vat_sale_7","","7%","7%","7%","7.0","percent","sale","l10n_tn_tax_group_vat_7","","base","invoice","sale_7_base_amount_tag","","","","","l10n_tn_fp_template_domestic",""
"","","","","","","","","","","tax","invoice","sale_7_vat_due_tag","l10n_tn_43651","","","","",""
"","","","","","","","","","","base","refund","sale_7_base_amount_tag","","","","","",""
"","","","","","","","","","","tax","refund","sale_7_vat_due_tag","l10n_tn_43651","","","","",""
"l10n_tn_tax_vat_sale_6","","6%","6%","6%","6.0","percent","sale","l10n_tn_tax_group_vat_6","False","base","invoice","sale_6_base_amount_tag","","","","","l10n_tn_fp_template_domestic",""
"","","","","","","","","","","tax","invoice","sale_6_vat_due_tag","l10n_tn_43651","","","","",""
"","","","","","","","","","","base","refund","sale_6_base_amount_tag","","","","","",""
"","","","","","","","","","","tax","refund","sale_6_vat_due_tag","l10n_tn_43651","","","","",""
"l10n_tn_tax_vat_sale_12","","12%","12%","12%","12.0","percent","sale","l10n_tn_tax_group_vat_12","False","base","invoice","sale_12_base_amount_tag","","","","","l10n_tn_fp_template_domestic",""
"","","","","","","","","","","tax","invoice","sale_12_vat_due_tag","l10n_tn_43651","","","","",""
"","","","","","","","","","","base","refund","sale_12_base_amount_tag","","","","","",""
"","","","","","","","","","","tax","refund","sale_12_vat_due_tag","l10n_tn_43651","","","","",""
"l10n_tn_tax_vat_sale_18","","18%","18%","18%","18.0","percent","sale","l10n_tn_tax_group_vat_18","False","base","invoice","sale_18_base_amount_tag","","","","","l10n_tn_fp_template_domestic",""
"","","","","","","","","","","tax","invoice","sale_18_vat_due_tag","l10n_tn_43651","","","","",""
"","","","","","","","","","","base","refund","sale_18_base_amount_tag","","","","","",""
"","","","","","","","","","","tax","refund","sale_18_vat_due_tag","l10n_tn_43651","","","","",""
"l10n_tn_tax_vat_sale_0","","0% Exemption","0%","0%","0.0","percent","sale","l10n_tn_tax_group_vat_0","","base","invoice","","","","","0% Exonération","l10n_tn_fp_template_export,fiscal_position_template_exo","l10n_tn_tax_vat_sale_18,l10n_tn_tax_vat_sale_12,l10n_tn_tax_vat_sale_13,l10n_tn_tax_vat_sale_19,l10n_tn_tax_vat_sale_7,l10n_tn_tax_vat_sale_6"
"","","","","","","","","","","tax","invoice","","","","","","",""
"","","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","","tax","refund","","","","","","",""
"l10n_tn_tax_vat_sale_tax_stamp","","1DT Tax stamp","1DT TS","1DT","1","fixed","sale","l10n_tn_tax_group_tf","","base","invoice","","","","1DT TF","1DT Timbre fiscal","l10n_tn_fp_template_domestic",""
"","","","","","","","","","","tax","invoice","","l10n_tn_437","","","","",""
"","","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","","tax","refund","","l10n_tn_437","","","","",""
"l10n_tn_tax_vat_purchase_19_fixed_assets","","19% Assets","19% Assets","19%","19.0","percent","purchase","l10n_tn_tax_group_vat_19","","base","invoice","purchase_fixed_assets_base_amount_tag","","","19% IM","19% immobilisations","l10n_tn_fp_template_domestic",""
"","","","","","","","","","","tax","invoice","purchase_fixed_assets_deductible_vat_tag","l10n_tn_43666","","","","",""
"","","","","","","","","","","base","refund","purchase_fixed_assets_base_amount_tag","","","","","",""
"","","","","","","","","","","tax","refund","purchase_fixed_assets_deductible_vat_tag","l10n_tn_43666","","","","",""
"l10n_tn_tax_vat_purchase_13_fixed_assets","","13% Assets","13% Assets","13%","13.0","percent","purchase","l10n_tn_tax_group_vat_13","False","base","invoice","purchase_fixed_assets_base_amount_tag","","","13% IM","13% immobilisations","l10n_tn_fp_template_domestic",""
"","","","","","","","","","","tax","invoice","purchase_fixed_assets_deductible_vat_tag","l10n_tn_43666","","","","",""
"","","","","","","","","","","base","refund","purchase_fixed_assets_base_amount_tag","","","","","",""
"","","","","","","","","","","tax","refund","purchase_fixed_assets_deductible_vat_tag","l10n_tn_43666","","","","",""
"l10n_tn_tax_vat_purchase_7_fixed_assets","","7% Assets","7% Assets","7%","7.0","percent","purchase","l10n_tn_tax_group_vat_7","False","base","invoice","purchase_fixed_assets_base_amount_tag","","","7% IM","7% immobilisations","l10n_tn_fp_template_domestic",""
"","","","","","","","","","","tax","invoice","purchase_fixed_assets_deductible_vat_tag","l10n_tn_43666","","","","",""
"","","","","","","","","","","base","refund","purchase_fixed_assets_base_amount_tag","","","","","",""
"","","","","","","","","","","tax","refund","purchase_fixed_assets_deductible_vat_tag","l10n_tn_43666","","","","",""
"l10n_tn_tax_vat_purchase_0_fixed_assets","","0% Assets","0% Assets","0%","0.0","percent","purchase","l10n_tn_tax_group_vat_0","False","base","invoice","purchase_fixed_assets_base_amount_tag","","","0% IM","0% immobilisations","fiscal_position_template_exo","l10n_tn_tax_vat_purchase_19_fixed_assets,l10n_tn_tax_vat_purchase_13_fixed_assets,l10n_tn_tax_vat_purchase_7_fixed_assets"
"","","","","","","","","","","tax","invoice","purchase_fixed_assets_deductible_vat_tag","","","","","",""
"","","","","","","","","","","base","refund","purchase_fixed_assets_base_amount_tag","","","","","",""
"","","","","","","","","","","tax","refund","purchase_fixed_assets_deductible_vat_tag","","","","","",""
"l10n_tn_tax_vat_purchase_19_local_equipment","","19% Local equipment","19% LE","19%","19.0","percent","purchase","l10n_tn_tax_group_vat_19","","base","invoice","purchase_local_equipment_base_amount_tag","","","19% EL","19% Équipements locaux","l10n_tn_fp_template_domestic",""
"","","","","","","","","","","tax","invoice","purchase_local_equipment_deductible_vat_tag","l10n_tn_43666","","","","",""
"","","","","","","","","","","base","refund","purchase_local_equipment_base_amount_tag","","","","","",""
"","","","","","","","","","","tax","refund","purchase_local_equipment_deductible_vat_tag","l10n_tn_43666","","","","",""
"l10n_tn_tax_vat_purchase_13_local_equipment","","13% Local equipment","13% LE","13%","13.0","percent","purchase","l10n_tn_tax_group_vat_13","False","base","invoice","purchase_local_equipment_base_amount_tag","","","13% EL","13% Équipements locaux","l10n_tn_fp_template_domestic",""
"","","","","","","","","","","tax","invoice","purchase_local_equipment_deductible_vat_tag","l10n_tn_43666","","","","",""
"","","","","","","","","","","base","refund","purchase_local_equipment_base_amount_tag","","","","","",""
"","","","","","","","","","","tax","refund","purchase_local_equipment_deductible_vat_tag","l10n_tn_43666","","","","",""
"l10n_tn_tax_vat_purchase_7_local_equipment","","7% Local equipment","7% LE","7%","7.0","percent","purchase","l10n_tn_tax_group_vat_7","False","base","invoice","purchase_local_equipment_base_amount_tag","","","7% EL","7% Équipements locaux","l10n_tn_fp_template_domestic",""
"","","","","","","","","","","tax","invoice","purchase_local_equipment_deductible_vat_tag","l10n_tn_43666","","","","",""
"","","","","","","","","","","base","refund","purchase_local_equipment_base_amount_tag","","","","","",""
"","","","","","","","","","","tax","refund","purchase_local_equipment_deductible_vat_tag","l10n_tn_43666","","","","",""
"l10n_tn_tax_vat_purchase_0_local_equipment","","0% Local equipment","0% LE","0%","0.0","percent","purchase","l10n_tn_tax_group_vat_0","False","base","invoice","purchase_local_equipment_base_amount_tag","","","0% EL","0% Équipements locaux","fiscal_position_template_exo","l10n_tn_tax_vat_purchase_7_local_equipment,l10n_tn_tax_vat_purchase_19_local_equipment,l10n_tn_tax_vat_purchase_13_local_equipment"
"","","","","","","","","","","tax","invoice","purchase_local_equipment_deductible_vat_tag","","","","","",""
"","","","","","","","","","","base","refund","purchase_local_equipment_base_amount_tag","","","","","",""
"","","","","","","","","","","tax","refund","purchase_local_equipment_deductible_vat_tag","","","","","",""
"l10n_tn_tax_vat_purchase_19_imported_equipment","","19% Imported equipement","19% IE","19%","19.0","percent","purchase","l10n_tn_tax_group_vat_19","","base","invoice","purchase_imported_equipment_base_amount_tag","","","19% EI","19% Équipements importés","l10n_tn_fp_template_domestic",""
"","","","","","","","","","","tax","invoice","purchase_imported_equipment_deductible_vat_tag","l10n_tn_43666","","","","",""
"","","","","","","","","","","base","refund","purchase_imported_equipment_base_amount_tag","","","","","",""
"","","","","","","","","","","tax","refund","purchase_imported_equipment_deductible_vat_tag","l10n_tn_43666","","","","",""
"l10n_tn_tax_vat_purchase_13_imported_equipment","","13% Imported equipement","13% IE","13%","13.0","percent","purchase","l10n_tn_tax_group_vat_13","False","base","invoice","purchase_imported_equipment_base_amount_tag","","","13% EI","13% Équipements importés","l10n_tn_fp_template_domestic",""
"","","","","","","","","","","tax","invoice","purchase_imported_equipment_deductible_vat_tag","l10n_tn_43666","","","","",""
"","","","","","","","","","","base","refund","purchase_imported_equipment_base_amount_tag","","","","","",""
"","","","","","","","","","","tax","refund","purchase_imported_equipment_deductible_vat_tag","l10n_tn_43666","","","","",""
"l10n_tn_tax_vat_purchase_7_imported_equipment","","7% Imported equipement","7% IE","7%","7.0","percent","purchase","l10n_tn_tax_group_vat_7","False","base","invoice","purchase_imported_equipment_base_amount_tag","","","7% EI","7% Équipements importés","l10n_tn_fp_template_domestic",""
"","","","","","","","","","","tax","invoice","purchase_imported_equipment_deductible_vat_tag","l10n_tn_43666","","","","",""
"","","","","","","","","","","base","refund","purchase_imported_equipment_base_amount_tag","","","","","",""
"","","","","","","","","","","tax","refund","purchase_imported_equipment_deductible_vat_tag","l10n_tn_43666","","","","",""
"l10n_tn_tax_vat_purchase_0_imported_equipment","","0% Imported equipement","0% IE","0%","0.0","percent","purchase","l10n_tn_tax_group_vat_0","False","base","invoice","purchase_imported_equipment_base_amount_tag","","","0% EI","0% Équipements importés","l10n_tn_fp_template_domestic",""
"","","","","","","","","","","tax","invoice","purchase_imported_equipment_deductible_vat_tag","","","","","",""
"","","","","","","","","","","base","refund","purchase_imported_equipment_base_amount_tag","","","","","",""
"","","","","","","","","","","tax","refund","purchase_imported_equipment_deductible_vat_tag","","","","","",""
"l10n_tn_tax_vat_purchase_19_other_local","","19% Other local purchases","19% OLP","19%","19.0","percent","purchase","l10n_tn_tax_group_vat_19","","base","invoice","purchase_other_local_base_amount_tag","","","19% AAL","19% Autres achats locaux","l10n_tn_fp_template_domestic",""
"","","","","","","","","","","tax","invoice","purchase_other_local_deductible_vat_tag","l10n_tn_43666","","","","",""
"","","","","","","","","","","base","refund","purchase_other_local_base_amount_tag","","","","","",""
"","","","","","","","","","","tax","refund","purchase_other_local_deductible_vat_tag","l10n_tn_43666","","","","",""
"l10n_tn_tax_vat_purchase_13_other_local","","13% Other local purchases","13% OLP","13%","13.0","percent","purchase","l10n_tn_tax_group_vat_13","False","base","invoice","purchase_other_local_base_amount_tag","","","13% AAL","13% Autres achats locaux","l10n_tn_fp_template_domestic",""
"","","","","","","","","","","tax","invoice","purchase_other_local_deductible_vat_tag","l10n_tn_43666","","","","",""
"","","","","","","","","","","base","refund","purchase_other_local_base_amount_tag","","","","","",""
"","","","","","","","","","","tax","refund","purchase_other_local_deductible_vat_tag","l10n_tn_43666","","","","",""
"l10n_tn_tax_vat_purchase_7_other_local","","7% Other local purchases","7% OLP","7%","7.0","percent","purchase","l10n_tn_tax_group_vat_7","False","base","invoice","purchase_other_local_base_amount_tag","","","7% AAL","7% Autres achats locaux","l10n_tn_fp_template_domestic",""
"","","","","","","","","","","tax","invoice","purchase_other_local_deductible_vat_tag","l10n_tn_43666","","","","",""
"","","","","","","","","","","base","refund","purchase_other_local_base_amount_tag","","","","","",""
"","","","","","","","","","","tax","refund","purchase_other_local_deductible_vat_tag","l10n_tn_43666","","","","",""
"l10n_tn_tax_vat_purchase_0_other_local","","0% Other local purchases","0% OLP","0%","0.0","percent","purchase","l10n_tn_tax_group_vat_0","False","base","invoice","purchase_other_local_base_amount_tag","","","0% AAL","0% Autres achats locaux","fiscal_position_template_exo","l10n_tn_tax_vat_purchase_7_other_local,l10n_tn_tax_vat_purchase_13_other_local,l10n_tn_tax_vat_purchase_19_other_local"
"","","","","","","","","","","tax","invoice","purchase_other_local_deductible_vat_tag","","","","","",""
"","","","","","","","","","","base","refund","purchase_other_local_base_amount_tag","","","","","",""
"","","","","","","","","","","tax","refund","purchase_other_local_deductible_vat_tag","","","","","",""
"l10n_tn_tax_vat_purchase_19_other_imported","","19% Other imported purchases","19% OIP","19%","19.0","percent","purchase","l10n_tn_tax_group_vat_19","","base","invoice","purchase_other_imported_base_amount_tag","","","19% AAI","19% Autres achats importés","l10n_tn_fp_template_domestic",""
"","","","","","","","","","","tax","invoice","purchase_other_imported_deductible_vat_tag","l10n_tn_43666","","","","",""
"","","","","","","","","","","base","refund","purchase_other_imported_base_amount_tag","","","","","",""
"","","","","","","","","","","tax","refund","purchase_other_imported_deductible_vat_tag","l10n_tn_43666","","","","",""
"l10n_tn_tax_vat_purchase_13_other_imported","","13% Other imported purchases","13% OIP","13%","13.0","percent","purchase","l10n_tn_tax_group_vat_13","False","base","invoice","purchase_other_imported_base_amount_tag","","","13% AAI","13% Autres achats importés","l10n_tn_fp_template_domestic",""
"","","","","","","","","","","tax","invoice","purchase_other_imported_deductible_vat_tag","l10n_tn_43666","","","","",""
"","","","","","","","","","","base","refund","purchase_other_imported_base_amount_tag","","","","","",""
"","","","","","","","","","","tax","refund","purchase_other_imported_deductible_vat_tag","l10n_tn_43666","","","","",""
"l10n_tn_tax_vat_purchase_7_other_imported","","7% Other imported purchases","7% OIP","7%","7.0","percent","purchase","l10n_tn_tax_group_vat_7","False","base","invoice","purchase_other_imported_base_amount_tag","","","7% AAI","7% Autres achats importés","l10n_tn_fp_template_domestic",""
"","","","","","","","","","","tax","invoice","purchase_other_imported_deductible_vat_tag","l10n_tn_43666","","","","",""
"","","","","","","","","","","base","refund","purchase_other_imported_base_amount_tag","","","","","",""
"","","","","","","","","","","tax","refund","purchase_other_imported_deductible_vat_tag","l10n_tn_43666","","","","",""
"l10n_tn_tax_vat_purchase_0_other_imported","","0% Other imported purchases","0% OIP","0%","0.0","percent","purchase","l10n_tn_tax_group_vat_0","False","base","invoice","purchase_other_imported_base_amount_tag","","","0% AAI","0% Autres achats importés","l10n_tn_fp_template_domestic",""
"","","","","","","","","","","tax","invoice","purchase_other_imported_deductible_vat_tag","","","","","",""
"","","","","","","","","","","base","refund","purchase_other_imported_base_amount_tag","","","","","",""
"","","","","","","","","","","tax","refund","purchase_other_imported_deductible_vat_tag","","","","","",""
"l10n_tn_tax_vat_purchase_tax_stamp","","1DT Tax stamp","1DT TS","1DT","1","fixed","purchase","l10n_tn_tax_group_tf","","base","invoice","","","","1DT TF","1DT Timbre fiscal","l10n_tn_fp_template_domestic",""
"","","","","","","","","","","tax","invoice","","l10n_tn_6654","","","","",""
"","","","","","","","","","","base","refund","","","","","","",""
"","","","","","","","","","","tax","refund","","l10n_tn_6654","","","","",""
