phase,kind,index,latency_s,status,reported_s
idle,login,0,0.6609,,
idle,login,1,0.4238,,
idle,login,2,0.3836,,
idle,login,3,0.4404,,
idle,login,4,0.2997,,
blocked,login,-1,14.7755,200,
blocked,extract,0,5.007,200,5.001
blocked,extract,1,5.604,200,5.598
blocked,extract,2,10.016,200,5.001
blocked,extract,3,10.611,200,5.001
blocked,extract,4,15.616,200,5.001
blocked,extract,5,15.021,200,5.001
