"id","sequence","description","invoice_label","name","price_include","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id"
"VAT_S_IN_MT_18_G","1","Sale 18% in country Goods","18% G","18% G","False","18.0","percent","sale","tax_group_mt_18","100","base","invoice","+III.1_base",""
"","","","","","","","","","","100","tax","invoice","+III.1_tax","mt_3203"
"","","","","","","","","","","100","base","refund","-III.1_base",""
"","","","","","","","","","","100","tax","refund","-III.1_tax","mt_3203"
"VAT_S_IN_MT_18_S","2","Sale 18% in country Service","18% S","18% S","False","18.0","percent","sale","tax_group_mt_18","100","base","invoice","+III.1_base",""
"","","","","","","","","","","100","tax","invoice","+III.1_tax","mt_3203"
"","","","","","","","","","","100","base","refund","-III.1_base",""
"","","","","","","","","","","100","tax","refund","-III.1_tax","mt_3203"
"VAT_S_IN_MT_7_G","3","Sale 7% in country Goods","7% G","7% G","False","7.0","percent","sale","tax_group_mt_7","100","base","invoice","+III.1_base",""
"","","","","","","","","","","100","tax","invoice","+III.1_tax","mt_3203"
"","","","","","","","","","","100","base","refund","-III.1_base",""
"","","","","","","","","","","100","tax","refund","-III.1_tax","mt_3203"
"VAT_S_IN_MT_7_S","4","Sale 7% in country Service","7% S","7% S","False","7.0","percent","sale","tax_group_mt_7","100","base","invoice","+III.1_base",""
"","","","","","","","","","","100","tax","invoice","+III.1_tax","mt_3203"
"","","","","","","","","","","100","base","refund","-III.1_base",""
"","","","","","","","","","","100","tax","refund","-III.1_tax","mt_3203"
"VAT_S_IN_MT_5_G","5","Sale 5% in country Goods","5% G","5% G","False","5.0","percent","sale","tax_group_mt_5","100","base","invoice","+III.1_base",""
"","","","","","","","","","","100","tax","invoice","+III.1_tax","mt_3203"
"","","","","","","","","","","100","base","refund","-III.1_base",""
"","","","","","","","","","","100","tax","refund","-III.1_tax","mt_3203"
"VAT_S_IN_MT_5_S","6","Sale 5% in country Service","5% S","5% S","False","5.0","percent","sale","tax_group_mt_5","100","base","invoice","+III.1_base",""
"","","","","","","","","","","100","tax","invoice","+III.1_tax","mt_3203"
"","","","","","","","","","","100","base","refund","-III.1_base",""
"","","","","","","","","","","100","tax","refund","-III.1_tax","mt_3203"
"VAT_S_IN_MT_0_WC","7","Exempt without credit","0% EXEMPT WC","0% EXEMPT WC","False","0.0","percent","sale","tax_group_mt_0","100","base","invoice","+III.4_base",""
"","","","","","","","","","","100","tax","invoice","","mt_3203"
"","","","","","","","","","","100","base","refund","-III.4_base",""
"","","","","","","","","","","100","tax","refund","","mt_3203"
"VAT_S_IN_MT_0_WOC","8","Exempt without credit","0% EXEMPT WOC","0% EXEMPT WOC","False","0.0","percent","sale","tax_group_mt_0","100","base","invoice","+III.5_base",""
"","","","","","","","","","","100","tax","invoice","","mt_3203"
"","","","","","","","","","","100","base","refund","-III.5_base",""
"","","","","","","","","","","100","tax","refund","","mt_3203"
"VAT_S_IN_MT_IC_NEU_0","9","Exempt IC Supplies","0% EXEMPT","0% EXEMPT","False","0.0","percent","sale","tax_group_mt_0","100","base","invoice","+I.1_base",""
"","","","","","","","","","","100","tax","invoice","","mt_3203"
"","","","","","","","","","","100","base","refund","-I.1_base",""
"","","","","","","","","","","100","tax","refund","","mt_3203"
"VAT_S_IN_MT_IC_NEU_0_OUT","10","Supplies outside malta","0% PS O M","0% PS O M","False","0.0","percent","sale","tax_group_mt_0","100","base","invoice","+I.2_base",""
"","","","","","","","","","","100","tax","invoice","","mt_3203"
"","","","","","","","","","","100","base","refund","-I.2_base",""
"","","","","","","","","","","100","tax","refund","","mt_3203"
"VAT_P_IN_MT_18_G","11","Purchase 18% in country Goods","18% G","18% G","False","18.0","percent","purchase","tax_group_mt_18","100","base","invoice","+IV.1_base",""
"","","","","","","","","","","100","tax","invoice","+IV.1_tax","mt_2204"
"","","","","","","","","","","100","base","refund","-IV.1_base",""
"","","","","","","","","","","100","tax","refund","-IV.1_tax","mt_2204"
"VAT_P_IN_MT_18_S","12","Purchase 18% in country Service","18% S","18% S","False","18.0","percent","purchase","tax_group_mt_18","100","base","invoice","+IV.5_base",""
"","","","","","","","","","","100","tax","invoice","+IV.5_tax","mt_2204"
"","","","","","","","","","","100","base","refund","-IV.5_base",""
"","","","","","","","","","","100","tax","refund","-IV.5_tax","mt_2204"
"VAT_P_IN_MT_7_S","13","Purchase 7% in country Service","7% S","7% S","False","7.0","percent","purchase","tax_group_mt_7","100","base","invoice","+IV.6_base",""
"","","","","","","","","","","100","tax","invoice","+IV.6_tax","mt_2204"
"","","","","","","","","","","100","base","refund","-IV.6_base",""
"","","","","","","","","","","100","tax","refund","-IV.6_tax","mt_2204"
"VAT_P_IN_MT_5_G","14","Purchase 5% in country Goods","5% G","5% G","False","5.0","percent","purchase","tax_group_mt_5","100","base","invoice","+IV.2_base",""
"","","","","","","","","","","100","tax","invoice","+IV.2_tax","mt_2204"
"","","","","","","","","","","100","base","refund","-IV.2_base",""
"","","","","","","","","","","100","tax","refund","-IV.2_tax","mt_2204"
"VAT_P_IN_MT_5_S","15","Purchase 5% in country Service","5% S","5% S","False","5.0","percent","purchase","tax_group_mt_5","100","base","invoice","+IV.7_base",""
"","","","","","","","","","","100","tax","invoice","+IV.7_tax","mt_2204"
"","","","","","","","","","","100","base","refund","-IV.7_base",""
"","","","","","","","","","","100","tax","refund","-IV.7_tax","mt_2204"
"VAT_P_IN_MT_0","16","Exempt purchase for re-sale","0% EXEMPT","0% EXEMPT","False","0.0","percent","purchase","tax_group_mt_0","100","base","invoice","+IV.3_base",""
"","","","","","","","","","","100","tax","invoice","",""
"","","","","","","","","","","100","base","refund","-IV.3_base",""
"","","","","","","","","","","100","tax","refund","",""
"VAT_P_IN_MT_RC_0_IC_G","17","IC Acquisitions of goods for re-sale","0% RC G","0% RC G","False","0.0","percent","purchase","tax_group_mt_0","100","base","invoice","+II.1_base",""
"","","","","","","","","","","100","tax","invoice","+II.1_tax",""
"","","","","","","","","","","100","base","refund","-II.1_base",""
"","","","","","","","","","","100","tax","refund","-II.1_tax",""
"VAT_P_IN_MT_RC_0_IC_CG","18","IC Acquisitions of Capital Goods","0% RC Cap G","0% RC Cap G","False","0.0","percent","purchase","tax_group_mt_0","100","base","invoice","+II.2_base",""
"","","","","","","","","","","100","tax","invoice","+II.2_tax",""
"","","","","","","","","","","100","base","refund","-II.2_base",""
"","","","","","","","","","","100","tax","refund","-II.2_tax",""
"VAT_P_IN_MT_RC_0_S_EU","19","Service received from EU members","0% RC S EU","0% RC S EU","False","0.0","percent","purchase","tax_group_mt_0","100","base","invoice","+II.3_base",""
"","","","","","","","","","","100","tax","invoice","+II.3_tax",""
"","","","","","","","","","","100","base","refund","-II.3_base",""
"","","","","","","","","","","100","tax","refund","-II.3_tax",""
"VAT_P_IN_MT_RC_0_DOM","20","Goods and Service received from Malta","0% RC DOM","0% RC DOM","False","0.0","percent","purchase","tax_group_mt_0","100","base","invoice","+II.3_base",""
"","","","","","","","","","","100","tax","invoice","",""
"","","","","","","","","","","100","base","refund","-II.3_base",""
"","","","","","","","","","","100","tax","refund","",""
"VAT_P_IN_MT_IC_NEU_0_EU","21","IC Acquisition EU","0% IC EU","0% IC EU","False","0.0","percent","purchase","tax_group_mt_0","100","base","invoice","+I.3_base",""
"","","","","","","","","","","100","tax","invoice","+I.3_tax",""
"","","","","","","","","","","100","base","refund","-I.3_base",""
"","","","","","","","","","","100","tax","refund","-I.3_tax",""
"VAT_P_IN_MT_IC_NEU_0_OTHER","22","Goods and service received where place of supply is malta - other","0% PS M O","0% PS M O","False","0.0","percent","purchase","tax_group_mt_0","100","base","invoice","+I.4_base",""
"","","","","","","","","","","100","tax","invoice","+I.4_tax",""
"","","","","","","","","","","100","base","refund","-I.4_base",""
"","","","","","","","","","","100","tax","refund","-I.4_tax",""
