"id","name","country_id","name@ar_001"
"lb_tax_vat_11","VAT 11%","base.lb","ضريبة بنسبة %11"
"lb_tax_vat_0","VAT 0%","base.lb","ضريبة بنسبة %0"
"lb_tax_vat_exempt","VAT Exempt","base.lb","معفى من ضريبة القيمة المضافة"
