year,date,holiday
2026,2026-01-01,New Year's Day
2026,2026-03-21,Human Rights Day
2026,2026-04-03,Good Friday
2026,2026-04-06,Family Day
2026,2026-04-27,Freedom Day
2026,2026-05-01,Workers' Day
2026,2026-06-16,Youth Day
2026,2026-08-09,National Women's Day
2026,2026-08-10,Day off for National Women's Day
2026,2026-09-24,Heritage Day
2026,2026-11-04,Local Government Elections
2026,2026-12-16,Day of Reconciliation
2026,2026-12-25,Christmas Day
2026,2026-12-26,Day of Goodwill
2027,2027-01-01,New Year's Day
2027,2027-03-21,Human Rights Day
2027,2027-03-22,Day off for Human Rights Day
2027,2027-03-26,Good Friday
2027,2027-03-29,Family Day
2027,2027-04-27,Freedom Day
2027,2027-05-01,Workers' Day
2027,2027-06-16,Youth Day
2027,2027-08-09,National Women's Day
2027,2027-09-24,Heritage Day
2027,2027-12-16,Day of Reconciliation
2027,2027-12-25,Christmas Day
2027,2027-12-26,Day of Goodwill
2027,2027-12-27,Day of Goodwill observed
2028,2028-01-01,New Year's Day
2028,2028-03-21,Human Rights Day
2028,2028-04-14,Good Friday
2028,2028-04-17,Family Day
2028,2028-04-27,Freedom Day
2028,2028-05-01,Workers' Day
2028,2028-06-16,Youth Day
2028,2028-08-09,National Women's Day
2028,2028-09-24,Heritage Day
2028,2028-09-25,Day off for Heritage Day
2028,2028-12-16,Day of Reconciliation
2028,2028-12-25,Christmas Day
2028,2028-12-26,Day of Goodwill
2029,2029-01-01,New Year's Day
2029,2029-03-21,Human Rights Day
2029,2029-03-30,Good Friday
2029,2029-04-02,Family Day
2029,2029-04-27,Freedom Day
2029,2029-05-01,Workers' Day
2029,2029-06-16,Youth Day
2029,2029-08-09,National Women's Day
2029,2029-09-24,Heritage Day
2029,2029-12-16,Day of Reconciliation
2029,2029-12-17,Day off for Day of Reconciliation
2029,2029-12-25,Christmas Day
2029,2029-12-26,Day of Goodwill
2030,2030-01-01,New Year's Day
2030,2030-03-21,Human Rights Day
2030,2030-04-19,Good Friday
2030,2030-04-22,Family Day
2030,2030-04-27,Freedom Day
2030,2030-05-01,Workers' Day
2030,2030-06-16,Youth Day
2030,2030-06-17,Day off for Youth Day
2030,2030-08-09,National Women's Day
2030,2030-09-24,Heritage Day
2030,2030-12-16,Day of Reconciliation
2030,2030-12-25,Christmas Day
2030,2030-12-26,Day of Goodwill
2031,2031-01-01,New Year's Day
2031,2031-03-21,Human Rights Day
2031,2031-04-11,Good Friday
2031,2031-04-14,Family Day
2031,2031-04-27,Freedom Day
2031,2031-04-28,Freedom Day observed
2031,2031-05-01,Workers' Day
2031,2031-06-16,Youth Day
2031,2031-08-09,National Women's Day
2031,2031-09-24,Heritage Day
2031,2031-12-16,Day of Reconciliation
2031,2031-12-25,Christmas Day
2031,2031-12-26,Day of Goodwill
2032,2032-01-01,New Year's Day
2032,2032-03-21,Human Rights Day
2032,2032-03-22,Day off for Human Rights Day
2032,2032-03-26,Good Friday
2032,2032-03-29,Family Day
2032,2032-04-27,Freedom Day
2032,2032-05-01,Workers' Day
2032,2032-06-16,Youth Day
2032,2032-08-09,National Women's Day
2032,2032-09-24,Heritage Day
2032,2032-12-16,Day of Reconciliation
