year,date,holiday
2026,2026-01-01,New Year's Day
2026,2026-01-02,New Year Special Holiday
2026,2026-03-03,Makha Bucha
2026,2026-04-06,Chakri Day
2026,2026-04-13,Songkran
2026,2026-04-14,Songkran Holiday
2026,2026-04-15,Songkran Holiday
2026,2026-05-01,Labor Day
2026,2026-05-04,Coronation Day
2026,2026-05-13,Royal Ploughing Ceremony Day
2026,2026-05-31,Visakha Bucha
2026,2026-06-01,Day off for Visakha Bucha
2026,2026-06-03,Queen Suthida's Birthday
2026,2026-07-28,King Vajiralongkorn's Birthday
2026,2026-07-29,Asalha Bucha
2026,2026-08-12,The Queen Mother's Birthday
2026,2026-10-13,Anniversary of the Death of King Bhumibol
2026,2026-10-23,Chulalongkorn Day
2026,2026-12-05,King Bhumibol's Birthday
2026,2026-12-07,King Bhumibol's Birthday observed
2026,2026-12-10,Constitution Day
2026,2026-12-31,New Year's Eve
2027,2027-01-01,New Year's Day
2027,2027-04-06,Chakri Day
2027,2027-04-13,Songkran
2027,2027-04-14,Songkran Holiday
2027,2027-04-15,Songkran Holiday
2027,2027-05-01,Labor Day
2027,2027-05-03,Labor Day observed
2027,2027-05-04,Coronation Day
2027,2027-06-03,Queen Suthida's Birthday
2027,2027-07-28,King Vajiralongkorn's Birthday
2027,2027-08-12,The Queen Mother's Birthday
2027,2027-10-13,Anniversary of the Death of King Bhumibol
2027,2027-10-23,Chulalongkorn Day
2027,2027-10-25,Day off for Chulalongkorn Day
2027,2027-12-05,King Bhumibol's Birthday
2027,2027-12-06,King Bhumibol's Birthday observed
2027,2027-12-10,Constitution Day
2027,2027-12-31,New Year's Eve
2028,2028-01-01,New Year's Day
2028,2028-01-03,Day off for New Year's Day
2028,2028-04-06,Chakri Day
2028,2028-04-13,Songkran
2028,2028-04-14,Songkran Holiday
2028,2028-04-15,Songkran Holiday
2028,2028-05-01,Labor Day
2028,2028-05-04,Coronation Day
2028,2028-06-03,Queen Suthida's Birthday
2028,2028-06-05,Day off for Queen Suthida's Birthday
2028,2028-07-28,King Vajiralongkorn's Birthday
2028,2028-08-11,Day off for The Queen Mother's Birthday
2028,2028-08-12,The Queen Mother's Birthday
2028,2028-10-13,Anniversary of the Death of King Bhumibol
2028,2028-10-23,Chulalongkorn Day
2028,2028-12-05,King Bhumibol's Birthday
2028,2028-12-10,Constitution Day
2028,2028-12-11,Substitute Holiday for Constitution Day
2028,2028-12-31,New Year's Eve
2029,2029-01-01,New Year's Day
2029,2029-04-06,Chakri Day
2029,2029-04-13,Songkran
2029,2029-04-14,Songkran Holiday
2029,2029-04-15,Songkran Holiday
2029,2029-04-16,Songkran Observed
2029,2029-05-01,Labor Day
2029,2029-05-04,Coronation Day
2029,2029-06-03,Queen Suthida's Birthday
2029,2029-06-04,Day off for Queen Suthida's Birthday
2029,2029-07-28,King Vajiralongkorn's Birthday
2029,2029-07-30,Day off for King Vajiralongkorn's Birthday
2029,2029-08-12,The Queen Mother's Birthday
2029,2029-08-13,Day off for The Queen Mother's Birthday
2029,2029-10-13,Anniversary of the Death of King Bhumibol
2029,2029-10-15,Day off for Anniversary of the Death of King Bhumibol
2029,2029-10-23,Chulalongkorn Day
2029,2029-12-05,King Bhumibol's Birthday
2029,2029-12-10,Constitution Day
2029,2029-12-31,New Year's Eve
2030,2030-01-01,New Year's Day
2030,2030-04-06,Chakri Day
2030,2030-04-08,Day off for Chakri Day
2030,2030-04-13,Songkran
2030,2030-04-14,Songkran Holiday
2030,2030-04-15,Songkran Holiday
2030,2030-04-16,Songkran Observed
2030,2030-05-01,Labor Day
2030,2030-05-04,Coronation Day
2030,2030-05-06,Day off for Coronation Day
2030,2030-06-03,Queen Suthida's Birthday
2030,2030-07-28,King Vajiralongkorn's Birthday
2030,2030-07-29,Day off for King Vajiralongkorn's Birthday
2030,2030-08-12,The Queen Mother's Birthday
2030,2030-10-13,Anniversary of the Death of King Bhumibol
2030,2030-10-14,Day off for Anniversary of the Death of King Bhumibol
2030,2030-10-23,Chulalongkorn Day
2030,2030-12-05,King Bhumibol's Birthday
2030,2030-12-10,Constitution Day
2030,2030-12-31,New Year's Eve
2031,2031-01-01,New Year's Day
2031,2031-04-06,Chakri Day
2031,2031-04-07,Day off for Chakri Day
2031,2031-04-13,Songkran
2031,2031-04-14,Songkran Holiday
2031,2031-04-15,Songkran Holiday
2031,2031-04-16,Songkran Observed
2031,2031-05-01,Labor Day
2031,2031-05-04,Coronation Day
2031,2031-05-05,Day off for Coronation Day
2031,2031-06-03,Queen Suthida's Birthday
2031,2031-07-28,King Vajiralongkorn's Birthday
2031,2031-08-12,The Queen Mother's Birthday
2031,2031-10-13,Anniversary of the Death of King Bhumibol
2031,2031-10-23,Chulalongkorn Day
2031,2031-12-05,King Bhumibol's Birthday
2031,2031-12-10,Constitution Day
2031,2031-12-31,New Year's Eve
2032,2032-01-01,New Year's Day
2032,2032-04-06,Chakri Day
2032,2032-04-13,Songkran
2032,2032-04-14,Songkran Holiday
2032,2032-04-15,Songkran Holiday
2032,2032-05-01,Labor Day
2032,2032-05-03,Labor Day observed
2032,2032-05-04,Coronation Day
2032,2032-06-03,Queen Suthida's Birthday
2032,2032-07-28,King Vajiralongkorn's Birthday
2032,2032-08-12,The Queen Mother's Birthday
2032,2032-10-13,Anniversary of the Death of King Bhumibol
2032,2032-10-23,Chulalongkorn Day
2032,2032-10-25,Day off for Chulalongkorn Day
2032,2032-12-05,King Bhumibol's Birthday
2032,2032-12-06,King Bhumibol's Birthday observed
2032,2032-12-10,Constitution Day
2032,2032-12-31,New Year's Eve
2033,2033-01-01,New Year's Day
2033,2033-01-03,Day off for New Year's Day
2033,2033-04-06,Chakri Day
2033,2033-04-13,Songkran
2033,2033-04-14,Songkran Holiday
2033,2033-04-15,Songkran Holiday
2033,2033-05-01,Labor Day
2033,2033-05-02,Labor Day observed
2033,2033-05-04,Coronation Day
2033,2033-06-03,Queen Suthida's Birthday
2033,2033-07-28,King Vajiralongkorn's Birthday
2033,2033-08-12,The Queen Mother's Birthday
2033,2033-10-13,Anniversary of the Death of King Bhumibol
2033,2033-10-23,Chulalongkorn Day
2033,2033-10-24,Day off for Chulalongkorn Day
2033,2033-12-05,King Bhumibol's Birthday
2033,2033-12-10,Constitution Day
2033,2033-12-12,Substitute Holiday for Constitution Day
2033,2033-12-31,New Year's Eve
2034,2034-01-01,New Year's Day
2034,2034-01-02,Day off for New Year's Day
2034,2034-04-06,Chakri Day
2034,2034-04-13,Songkran
2034,2034-04-14,Songkran Holiday
2034,2034-04-15,Songkran Holiday
2034,2034-05-01,Labor Day
2034,2034-05-04,Coronation Day
2034,2034-06-03,Queen Suthida's Birthday
2034,2034-06-05,Day off for Queen Suthida's Birthday
2034,2034-07-28,King Vajiralongkorn's Birthday
2034,2034-08-11,Day off for The Queen Mother's Birthday
2034,2034-08-12,The Queen Mother's Birthday
2034,2034-10-13,Anniversary of the Death of King Bhumibol
2034,2034-10-23,Chulalongkorn Day
2034,2034-12-05,King Bhumibol's Birthday
2034,2034-12-10,Constitution Day
2034,2034-12-11,Substitute Holiday for Constitution Day
2034,2034-12-31,New Year's Eve
2035,2035-01-01,New Year's Day
2035,2035-04-06,Chakri Day
2035,2035-04-13,Songkran
2035,2035-04-14,Songkran Holiday
2035,2035-04-15,Songkran Holiday
2035,2035-04-16,Songkran Observed
2035,2035-05-01,Labor Day
2035,2035-05-04,Coronation Day
2035,2035-06-03,Queen Suthida's Birthday
2035,2035-06-04,Day off for Queen Suthida's Birthday
2035,2035-07-28,King Vajiralongkorn's Birthday
2035,2035-07-30,Day off for King Vajiralongkorn's Birthday
2035,2035-08-12,The Queen Mother's Birthday
2035,2035-08-13,Day off for The Queen Mother's Birthday
2035,2035-10-13,Anniversary of the Death of King Bhumibol
2035,2035-10-15,Day off for Anniversary of the Death of King Bhumibol
2035,2035-10-23,Chulalongkorn Day
2035,2035-12-05,King Bhumibol's Birthday
2035,2035-12-10,Constitution Day
2035,2035-12-31,New Year's Eve
2036,2036-01-01,New Year's Day
2036,2036-04-06,Chakri Day
2036,2036-04-07,Day off for Chakri Day
2036,2036-04-13,Songkran
2036,2036-04-14,Songkran Holiday
2036,2036-04-15,Songkran Holiday
2036,2036-04-16,Songkran Observed
2036,2036-05-01,Labor Day
2036,2036-05-04,Coronation Day
2036,2036-05-05,Day off for Coronation Day
2036,2036-06-03,Queen Suthida's Birthday
2036,2036-07-28,King Vajiralongkorn's Birthday
2036,2036-08-12,The Queen Mother's Birthday
2036,2036-10-13,Anniversary of the Death of King Bhumibol
2036,2036-10-23,Chulalongkorn Day
2036,2036-12-05,King Bhumibol's Birthday
2036,2036-12-10,Constitution Day
2036,2036-12-31,New Year's Eve
2037,2037-01-01,New Year's Day
2037,2037-04-06,Chakri Day
2037,2037-04-13,Songkran
2037,2037-04-14,Songkran Holiday
2037,2037-04-15,Songkran Holiday
2037,2037-05-01,Labor Day
2037,2037-05-04,Coronation Day
2037,2037-06-03,Queen Suthida's Birthday
2037,2037-07-28,King Vajiralongkorn's Birthday
2037,2037-08-12,The Queen Mother's Birthday
2037,2037-10-13,Anniversary of the Death of King Bhumibol
2037,2037-10-23,Chulalongkorn Day
2037,2037-12-05,King Bhumibol's Birthday
2037,2037-12-07,King Bhumibol's Birthday observed
2037,2037-12-10,Constitution Day
2037,2037-12-31,New Year's Eve
2038,2038-01-01,New Year's Day
2038,2038-04-06,Chakri Day
2038,2038-04-13,Songkran
2038,2038-04-14,Songkran Holiday
2038,2038-04-15,Songkran Holiday
2038,2038-05-01,Labor Day
2038,2038-05-03,Labor Day observed
2038,2038-05-04,Coronation Day
2038,2038-06-03,Queen Suthida's Birthday
2038,2038-07-28,King Vajiralongkorn's Birthday
2038,2038-08-12,The Queen Mother's Birthday
2038,2038-10-13,Anniversary of the Death of King Bhumibol
2038,2038-10-23,Chulalongkorn Day
2038,2038-10-25,Day off for Chulalongkorn Day
2038,2038-12-05,King Bhumibol's Birthday
2038,2038-12-06,King Bhumibol's Birthday observed
2038,2038-12-10,Constitution Day
2038,2038-12-31,New Year's Eve
2039,2039-01-01,New Year's Day
2039,2039-01-03,Day off for New Year's Day
2039,2039-04-06,Chakri Day
2039,2039-04-13,Songkran
2039,2039-04-14,Songkran Holiday
2039,2039-04-15,Songkran Holiday
2039,2039-05-01,Labor Day
2039,2039-05-02,Labor Day observed
2039,2039-05-04,Coronation Day
2039,2039-06-03,Queen Suthida's Birthday
2039,2039-07-28,King Vajiralongkorn's Birthday
2039,2039-08-12,The Queen Mother's Birthday
2039,2039-10-13,Anniversary of the Death of King Bhumibol
2039,2039-10-23,Chulalongkorn Day
2039,2039-10-24,Day off for Chulalongkorn Day
2039,2039-12-05,King Bhumibol's Birthday
2039,2039-12-10,Constitution Day
2039,2039-12-12,Substitute Holiday for Constitution Day
2039,2039-12-31,New Year's Eve
2040,2040-01-01,New Year's Day
2040,2040-01-02,Day off for New Year's Day
2040,2040-04-06,Chakri Day
2040,2040-04-13,Songkran
2040,2040-04-14,Songkran Holiday
2040,2040-04-15,Songkran Holiday
2040,2040-04-16,Songkran Observed
2040,2040-05-01,Labor Day
2040,2040-05-04,Coronation Day
2040,2040-06-03,Queen Suthida's Birthday
