year,date,holiday
2034,2034-01-01,New Year's Day
2034,2034-01-09,Epiphany
2034,2034-03-20,Saint Joseph's Day
2034,2034-04-06,Maundy Thursday
2034,2034-04-07,Good Friday
2034,2034-05-01,Labor Day
2034,2034-05-22,Ascension Day
2034,2034-06-12,Corpus Christi Holiday
2034,2034-06-19,Sacred Heart
2034,2034-07-03,Feast of Saint Peter and Saint Paul Holiday
2034,2034-07-10,Day of the Virgin of the Rosary of Chiquinquirá Holiday
2034,2034-07-20,Independence Day
2034,2034-08-07,Battle of Boyacá Day
2034,2034-08-21,Assumption of Mary Holiday
2034,2034-10-16,Columbus Day Holiday
2034,2034-11-06,All Saints' Day Holiday
2034,2034-11-13,Independence of Cartagena
2034,2034-12-08,Feast of the Immaculate Conception
2034,2034-12-25,Christmas Day
2035,2035-01-01,New Year's Day
2035,2035-01-08,Epiphany
2035,2035-03-19,Saint Joseph's Day
2035,2035-03-22,Maundy Thursday
2035,2035-03-23,Good Friday
2035,2035-05-01,Labor Day
2035,2035-05-07,Ascension Day
2035,2035-05-28,Corpus Christi Holiday
2035,2035-06-04,Sacred Heart
2035,2035-07-02,Feast of Saint Peter and Saint Paul Holiday
2035,2035-07-09,Day of the Virgin of the Rosary of Chiquinquirá Holiday
2035,2035-07-20,Independence Day
2035,2035-08-07,Battle of Boyacá Day
2035,2035-08-20,Assumption of Mary Holiday
2035,2035-10-15,Columbus Day Holiday
2035,2035-11-05,All Saints' Day Holiday
2035,2035-11-12,Independence of Cartagena
2035,2035-12-08,Feast of the Immaculate Conception
2035,2035-12-25,Christmas Day
2036,2036-01-01,New Year's Day
2036,2036-01-07,Epiphany
2036,2036-03-24,Saint Joseph's Day
2036,2036-04-10,Maundy Thursday
2036,2036-04-11,Good Friday
2036,2036-05-01,Labor Day
2036,2036-05-26,Ascension Day
2036,2036-06-16,Corpus Christi Holiday
2036,2036-06-23,Sacred Heart
2036,2036-06-30,Feast of Saint Peter and Saint Paul Holiday
2036,2036-07-14,Day of the Virgin of the Rosary of Chiquinquirá Holiday
2036,2036-07-20,Independence Day
2036,2036-08-07,Battle of Boyacá Day
2036,2036-08-18,Assumption of Mary Holiday
2036,2036-10-13,Columbus Day Holiday
2036,2036-11-03,All Saints' Day Holiday
2036,2036-11-17,Independence of Cartagena
2036,2036-12-08,Feast of the Immaculate Conception
2036,2036-12-25,Christmas Day
2037,2037-01-01,New Year's Day
2037,2037-01-12,Epiphany
2037,2037-03-23,Saint Joseph's Day
2037,2037-04-02,Maundy Thursday
2037,2037-04-03,Good Friday
2037,2037-05-01,Labor Day
