year,date,holiday
2026,2026-01-01,New Year's Day
2026,2026-01-02,Day after New Year's Day
2026,2026-01-06,Epiphany
2026,2026-01-07,Synaxis of St. John the Baptist
2026,2026-01-24,Unification Day
2026,2026-04-10,Orthodox Good Friday
2026,2026-04-12,Orthodox Easter
2026,2026-04-13,Orthodox Easter Monday
2026,2026-05-01,Labor Day
2026,2026-05-31,Orthodox Pentecost
2026,2026-06-01,Children's Day
2026,2026-06-01,Orthodox Pentecost Monday
2026,2026-08-15,St Mary's Day
2026,2026-11-30,St Andrew's Day
2026,2026-12-01,National Day
2026,2026-12-25,Christmas Day
2026,2026-12-26,Second day of Christmas
2027,2027-01-01,New Year's Day
2027,2027-01-02,Day after New Year's Day
2027,2027-01-06,Epiphany
2027,2027-01-07,Synaxis of St. John the Baptist
2027,2027-01-24,Unification Day
2027,2027-04-30,Orthodox Good Friday
2027,2027-05-01,Labor Day
2027,2027-05-02,Orthodox Easter
2027,2027-05-03,Orthodox Easter Monday
2027,2027-06-01,Children's Day
2027,2027-06-20,Orthodox Pentecost
2027,2027-06-21,Orthodox Pentecost Monday
2027,2027-08-15,St Mary's Day
2027,2027-11-30,St Andrew's Day
2027,2027-12-01,National Day
2027,2027-12-25,Christmas Day
2027,2027-12-26,Second day of Christmas
2028,2028-01-01,New Year's Day
2028,2028-01-02,Day after New Year's Day
2028,2028-01-06,Epiphany
2028,2028-01-07,Synaxis of St. John the Baptist
2028,2028-01-24,Unification Day
2028,2028-04-14,Orthodox Good Friday
2028,2028-04-16,Orthodox Easter
2028,2028-04-17,Orthodox Easter Monday
2028,2028-05-01,Labor Day
2028,2028-06-01,Children's Day
2028,2028-06-04,Orthodox Pentecost
2028,2028-06-05,Orthodox Pentecost Monday
2028,2028-08-15,St Mary's Day
2028,2028-11-30,St Andrew's Day
2028,2028-12-01,National Day
2028,2028-12-25,Christmas Day
2028,2028-12-26,Second day of Christmas
2029,2029-01-01,New Year's Day
2029,2029-01-02,Day after New Year's Day
2029,2029-01-06,Epiphany
2029,2029-01-07,Synaxis of St. John the Baptist
2029,2029-01-24,Unification Day
2029,2029-04-06,Orthodox Good Friday
2029,2029-04-08,Orthodox Easter
2029,2029-04-09,Orthodox Easter Monday
2029,2029-05-01,Labor Day
2029,2029-05-27,Orthodox Pentecost
2029,2029-05-28,Orthodox Pentecost Monday
2029,2029-06-01,Children's Day
2029,2029-08-15,St Mary's Day
2029,2029-11-30,St Andrew's Day
2029,2029-12-01,National Day
2029,2029-12-25,Christmas Day
2029,2029-12-26,Second day of Christmas
2030,2030-01-01,New Year's Day
2030,2030-01-02,Day after New Year's Day
2030,2030-01-06,Epiphany
2030,2030-01-07,Synaxis of St. John the Baptist
2030,2030-01-24,Unification Day
2030,2030-04-26,Orthodox Good Friday
2030,2030-04-28,Orthodox Easter
2030,2030-04-29,Orthodox Easter Monday
2030,2030-05-01,Labor Day
2030,2030-06-01,Children's Day
2030,2030-06-16,Orthodox Pentecost
