year,date,holiday
2026,2026-01-01,New Year's Day
2026,2026-02-17,Chinese New Year's Day
2026,2026-02-18,Second Day of Chinese New Year
2026,2026-03-21,Hari Raya Puasa
2026,2026-04-03,Good Friday
2026,2026-05-01,Labour Day
2026,2026-05-27,Hari Raya Haji
2026,2026-05-31,Vesak Day
2026,2026-06-01,Day off for Vesak Day
2026,2026-08-09,National Day
2026,2026-08-10,National Day observed
2026,2026-11-08,Diwali/Deepavali
2026,2026-11-09,Day off for Diwali/Deepavali
2026,2026-12-25,Christmas Day
2027,2027-01-01,New Year's Day
2027,2027-02-06,Chinese New Year's Day
2027,2027-02-07,Second Day of Chinese New Year
2027,2027-03-10,Hari Raya Puasa (Tentative Date)
2027,2027-03-26,Good Friday
2027,2027-05-01,Labour Day
2027,2027-05-17,Hari Raya Haji (Tentative Date)
2027,2027-05-20,Vesak Day
2027,2027-08-09,National Day
2027,2027-10-28,Diwali/Deepavali
2027,2027-12-25,Christmas Day
2028,2028-01-01,New Year's Day
2028,2028-01-26,Chinese New Year's Day
2028,2028-01-27,Second Day of Chinese New Year
2028,2028-02-27,Hari Raya Puasa (Tentative Date)
2028,2028-04-14,Good Friday
2028,2028-05-01,Labour Day
2028,2028-05-05,Hari Raya Haji (Tentative Date)
2028,2028-08-09,National Day
2028,2028-10-17,Diwali/Deepavali
2028,2028-12-25,Christmas Day
2029,2029-01-01,New Year's Day
2029,2029-02-13,Chinese New Year's Day
2029,2029-02-14,Second Day of Chinese New Year
2029,2029-02-15,Hari Raya Puasa (Tentative Date)
2029,2029-03-30,Good Friday
2029,2029-04-24,Hari Raya Haji (Tentative Date)
2029,2029-05-01,Labour Day
2029,2029-08-09,National Day
2029,2029-11-05,Diwali/Deepavali
2029,2029-12-25,Christmas Day
2030,2030-01-01,New Year's Day
2030,2030-02-04,Chinese New Year's Day
2030,2030-02-04,Second Day of Chinese New Year
2030,2030-02-05,Hari Raya Puasa (Tentative Date)
2030,2030-04-14,Hari Raya Haji (Tentative Date)
2030,2030-04-19,Good Friday
2030,2030-05-01,Labour Day
2030,2030-08-09,National Day
2030,2030-10-26,Diwali/Deepavali
2030,2030-12-25,Christmas Day
2031,2031-01-01,New Year's Day
2031,2031-01-23,Chinese New Year's Day
2031,2031-01-24,Second Day of Chinese New Year
2031,2031-01-25,Hari Raya Puasa (Tentative Date)
2031,2031-04-03,Hari Raya Haji (Tentative Date)
2031,2031-04-11,Good Friday
2031,2031-05-01,Labour Day
2031,2031-08-09,National Day
2031,2031-12-25,Christmas Day
2032,2032-01-01,New Year's Day
2032,2032-01-14,Hari Raya Puasa (Tentative Date)
2032,2032-02-11,Chinese New Year's Day
2032,2032-02-12,Second Day of Chinese New Year
