year,date,holiday
2035,2035-05-25,National Day/May 1810 Revolution
2035,2035-06-17,Commemoration of General Don Martín Miguel de Güemes
2035,2035-06-20,Flag Day
2035,2035-07-09,Independence Day
2035,2035-08-17,San Martín Day
2035,2035-08-20,San Martín Day
2035,2035-10-08,Day of Respect for Cultural Diversity
2035,2035-11-19,National Sovereignty Day
2035,2035-12-08,Immaculate Conception
2035,2035-12-25,Christmas Day
2036,2036-01-01,New Year's Day
2036,2036-02-25,Carnival / Shrove Monday
2036,2036-02-26,Carnival / Shrove Tuesday / Pancake Day
2036,2036-03-24,Memorial Day
2036,2036-04-02,Day of the Veterans
2036,2036-04-11,Good Friday
2036,2036-05-01,Labor Day
2036,2036-05-25,National Day/May 1810 Revolution
2036,2036-06-17,Commemoration of General Don Martín Miguel de Güemes
2036,2036-06-20,Flag Day
2036,2036-07-09,Independence Day
2036,2036-08-17,San Martín Day
2036,2036-10-13,Day of Respect for Cultural Diversity
2036,2036-11-24,National Sovereignty Day
2036,2036-12-08,Immaculate Conception
2036,2036-12-25,Christmas Day
2037,2037-01-01,New Year's Day
2037,2037-02-16,Carnival / Shrove Monday
2037,2037-02-17,Carnival / Shrove Tuesday / Pancake Day
2037,2037-03-24,Memorial Day
2037,2037-04-02,Day of the Veterans
2037,2037-04-03,Good Friday
2037,2037-05-01,Labor Day
2037,2037-05-25,National Day/May 1810 Revolution
2037,2037-06-17,Commemoration of General Don Martín Miguel de Güemes
2037,2037-06-20,Flag Day
2037,2037-07-09,Independence Day
2037,2037-08-17,San Martín Day
2037,2037-10-12,Day of Respect for Cultural Diversity
2037,2037-11-23,National Sovereignty Day
2037,2037-12-08,Immaculate Conception
2037,2037-12-25,Christmas Day
2038,2038-01-01,New Year's Day
2038,2038-03-08,Carnival / Shrove Monday
2038,2038-03-09,Carnival / Shrove Tuesday / Pancake Day
2038,2038-03-24,Memorial Day
2038,2038-04-02,Day of the Veterans
2038,2038-04-23,Good Friday
2038,2038-05-01,Labor Day
2038,2038-05-25,National Day/May 1810 Revolution
2038,2038-06-17,Commemoration of General Don Martín Miguel de Güemes
2038,2038-06-20,Flag Day
2038,2038-07-09,Independence Day
2038,2038-08-16,San Martín Day
2038,2038-08-17,San Martín Day
2038,2038-10-11,Day of Respect for Cultural Diversity
2038,2038-11-22,National Sovereignty Day
2038,2038-12-08,Immaculate Conception
2038,2038-12-25,Christmas Day
2039,2039-01-01,New Year's Day
2039,2039-02-21,Carnival / Shrove Monday
2039,2039-02-22,Carnival / Shrove Tuesday / Pancake Day
2039,2039-03-24,Memorial Day
2039,2039-04-02,Day of the Veterans
2039,2039-04-08,Good Friday
2039,2039-05-01,Labor Day
2039,2039-05-25,National Day/May 1810 Revolution
2039,2039-06-17,Commemoration of General Don Martín Miguel de Güemes
2039,2039-06-20,Flag Day
2039,2039-07-09,Independence Day
2039,2039-08-15,San Martín Day
2039,2039-08-17,San Martín Day
2039,2039-10-10,Day of Respect for Cultural Diversity
2039,2039-11-21,National Sovereignty Day
2039,2039-12-08,Immaculate Conception
2039,2039-12-25,Christmas Day
2040,2040-01-01,New Year's Day
2040,2040-02-13,Carnival / Shrove Monday
2040,2040-02-14,Carnival / Shrove Tuesday / Pancake Day
2040,2040-03-24,Memorial Day
2040,2040-03-30,Good Friday
2040,2040-04-02,Day of the Veterans
2040,2040-05-01,Labor Day
2040,2040-05-25,National Day/May 1810 Revolution
2040,2040-06-17,Commemoration of General Don Martín Miguel de Güemes
2040,2040-06-20,Flag Day
2040,2040-07-09,Independence Day
2040,2040-08-17,San Martín Day
2040,2040-08-20,San Martín Day
2040,2040-10-08,Day of Respect for Cultural Diversity
2040,2040-11-19,National Sovereignty Day
2040,2040-12-08,Immaculate Conception
2040,2040-12-25,Christmas Day
