year,date,holiday
2026,2026-01-07,Coptic Christmas Day
2026,2026-01-25,Revolution Day January 25
2026,2026-01-29,Day off for Revolution Day January 25
2026,2026-03-21,Eid el Fitr (Tentative Date)
2026,2026-03-22,Eid el Fitr Holiday (Tentative Date)
2026,2026-03-23,Eid el Fitr Holiday (Tentative Date)
2026,2026-04-13,Spring Festival
2026,2026-04-25,Sinai Liberation Day
2026,2026-05-01,Labor Day
2026,2026-05-26,Arafat Day (Tentative Date)
2026,2026-05-27,Eid al-Adha (Tentative Date)
2026,2026-05-28,Eid al-Adha Holiday (Tentative Date)
2026,2026-05-29,Eid al-Adha Holiday (Tentative Date)
2026,2026-06-17,Muharram (Tentative Date)
2026,2026-06-30,June 30 Revolution
2026,2026-07-02,Day off for June 30 Revolution
2026,2026-07-23,Revolution Day July 23
2026,2026-08-26,Prophet Mohamed's Birthday (Tentative Date)
2026,2026-10-06,Armed Forces Day
2026,2026-10-08,Day off for Armed Forces Day
2027,2027-01-07,Coptic Christmas Day
2027,2027-01-25,Revolution Day January 25
2027,2027-01-28,Day off for Revolution Day January 25
2027,2027-03-10,Eid el Fitr (Tentative Date)
2027,2027-03-11,Eid el Fitr Holiday (Tentative Date)
2027,2027-03-12,Eid el Fitr Holiday (Tentative Date)
2027,2027-04-25,Sinai Liberation Day
2027,2027-05-01,Labor Day
2027,2027-05-03,Spring Festival
2027,2027-05-16,Arafat Day (Tentative Date)
2027,2027-05-17,Eid al-Adha (Tentative Date)
2027,2027-05-18,Eid al-Adha Holiday (Tentative Date)
2027,2027-05-19,Eid al-Adha Holiday (Tentative Date)
2027,2027-06-07,Muharram (Tentative Date)
2027,2027-06-30,June 30 Revolution
2027,2027-07-01,Day off for June 30 Revolution
2027,2027-07-23,Revolution Day July 23
2027,2027-08-15,Prophet Mohamed's Birthday (Tentative Date)
2027,2027-10-06,Armed Forces Day
2027,2027-10-07,Day off for Armed Forces Day
2028,2028-01-07,Coptic Christmas Day
2028,2028-01-25,Revolution Day January 25
2028,2028-01-27,Day off for Revolution Day January 25
2028,2028-02-27,Eid el Fitr (Tentative Date)
2028,2028-02-28,Eid el Fitr Holiday (Tentative Date)
2028,2028-02-29,Eid el Fitr Holiday (Tentative Date)
2028,2028-04-17,Spring Festival
2028,2028-04-25,Sinai Liberation Day
2028,2028-05-01,Labor Day
2028,2028-05-05,Arafat Day (Tentative Date)
2028,2028-05-06,Eid al-Adha (Tentative Date)
2028,2028-05-07,Eid al-Adha Holiday (Tentative Date)
2028,2028-05-08,Eid al-Adha Holiday (Tentative Date)
2028,2028-05-26,Muharram (Tentative Date)
2028,2028-06-30,June 30 Revolution
2028,2028-07-23,Revolution Day July 23
2028,2028-07-27,Day off for Revolution Day July 23
2028,2028-08-04,Prophet Mohamed's Birthday (Tentative Date)
2028,2028-10-06,Armed Forces Day
2029,2029-01-07,Coptic Christmas Day
2029,2029-01-25,Revolution Day January 25
2029,2029-02-15,Eid el Fitr (Tentative Date)
2029,2029-02-16,Eid el Fitr Holiday (Tentative Date)
2029,2029-02-17,Eid el Fitr Holiday (Tentative Date)
2029,2029-04-09,Spring Festival
2029,2029-04-24,Arafat Day (Tentative Date)
2029,2029-04-25,Eid al-Adha (Tentative Date)
2029,2029-04-25,Sinai Liberation Day
2029,2029-04-26,Eid al-Adha Holiday (Tentative Date)
2029,2029-04-27,Eid al-Adha Holiday (Tentative Date)
2029,2029-05-01,Labor Day
2029,2029-05-15,Muharram (Tentative Date)
2029,2029-06-30,June 30 Revolution
2029,2029-07-23,Revolution Day July 23
2029,2029-07-25,Prophet Mohamed's Birthday (Tentative Date)
2029,2029-07-26,Day off for Revolution Day July 23
2029,2029-10-06,Armed Forces Day
2030,2030-01-07,Coptic Christmas Day
2030,2030-01-25,Revolution Day January 25
2030,2030-02-04,Eid el Fitr (Tentative Date)
2030,2030-02-05,Eid el Fitr Holiday (Tentative Date)
2030,2030-02-06,Eid el Fitr Holiday (Tentative Date)
2030,2030-04-13,Arafat Day (Tentative Date)
2030,2030-04-14,Eid al-Adha (Tentative Date)
2030,2030-04-15,Eid al-Adha Holiday (Tentative Date)
2030,2030-04-16,Eid al-Adha Holiday (Tentative Date)
2030,2030-04-25,Sinai Liberation Day
2030,2030-04-29,Spring Festival
2030,2030-05-01,Labor Day
2030,2030-05-05,Muharram (Tentative Date)
2030,2030-06-30,June 30 Revolution
2030,2030-07-04,Day off for June 30 Revolution
2030,2030-07-14,Prophet Mohamed's Birthday (Tentative Date)
2030,2030-07-25,Day off for Revolution Day July 23
2030,2030-10-06,Armed Forces Day
2030,2030-10-10,Day off for Armed Forces Day
2031,2031-01-07,Coptic Christmas Day
2031,2031-01-25,Eid el Fitr (Tentative Date)
2031,2031-01-25,Revolution Day January 25
2031,2031-01-26,Eid el Fitr Holiday (Tentative Date)
2031,2031-01-27,Eid el Fitr Holiday (Tentative Date)
2031,2031-04-02,Arafat Day (Tentative Date)
2031,2031-04-03,Eid al-Adha (Tentative Date)
2031,2031-04-04,Eid al-Adha Holiday (Tentative Date)
2031,2031-04-05,Eid al-Adha Holiday (Tentative Date)
2031,2031-04-14,Spring Festival
2031,2031-04-24,Muharram (Tentative Date)
2031,2031-04-25,Sinai Liberation Day
2031,2031-05-01,Labor Day
2031,2031-06-30,June 30 Revolution
2031,2031-07-03,Day off for June 30 Revolution
2031,2031-07-03,Prophet Mohamed's Birthday (Tentative Date)
2031,2031-07-23,Revolution Day July 23
2031,2031-07-24,Day off for Revolution Day July 23
2031,2031-10-06,Armed Forces Day
2031,2031-10-09,Day off for Armed Forces Day
2032,2032-01-07,Coptic Christmas Day
2032,2032-01-15,Eid el Fitr (Tentative Date)
2032,2032-01-16,Eid el Fitr Holiday (Tentative Date)
2032,2032-01-17,Eid el Fitr Holiday (Tentative Date)
2032,2032-01-25,Revolution Day January 25
2032,2032-01-29,Day off for Revolution Day January 25
2032,2032-03-21,Arafat Day (Tentative Date)
2032,2032-03-22,Eid al-Adha (Tentative Date)
2032,2032-03-23,Eid al-Adha Holiday (Tentative Date)
2032,2032-03-24,Eid al-Adha Holiday (Tentative Date)
2032,2032-04-12,Muharram (Tentative Date)
2032,2032-04-25,Sinai Liberation Day
2032,2032-05-01,Labor Day
2032,2032-05-03,Spring Festival
2032,2032-06-21,Prophet Mohamed's Birthday (Tentative Date)
2032,2032-06-30,June 30 Revolution
2032,2032-07-01,Day off for June 30 Revolution
2032,2032-07-23,Revolution Day July 23
2032,2032-10-06,Armed Forces Day
2032,2032-10-07,Day off for Armed Forces Day
2033,2033-01-03,Eid el Fitr (Tentative Date)
2033,2033-01-04,Eid el Fitr Holiday (Tentative Date)
2033,2033-01-05,Eid el Fitr Holiday (Tentative Date)
2033,2033-01-07,Coptic Christmas Day
2033,2033-01-25,Revolution Day January 25
2033,2033-01-27,Day off for Revolution Day January 25
2033,2033-03-11,Arafat Day (Tentative Date)
2033,2033-03-12,Eid al-Adha (Tentative Date)
2033,2033-03-13,Eid al-Adha Holiday (Tentative Date)
2033,2033-03-14,Eid al-Adha Holiday (Tentative Date)
2033,2033-04-01,Muharram (Tentative Date)
2033,2033-04-25,Sinai Liberation Day
2033,2033-04-25,Spring Festival
2033,2033-05-01,Labor Day
2033,2033-06-10,Prophet Mohamed's Birthday (Tentative Date)
