year,date,holiday
2039,2039-02-22,Carnaval
2039,2039-04-08,Sexta-feira Santa
2039,2039-04-21,Tiradentes
2039,2039-05-01,Dia do Trabalhador
2039,2039-06-09,Corpus Christi
2039,2039-09-07,Independência do Brasil
2039,2039-10-12,Nossa Senhora Aparecida
2039,2039-11-02,Finados
2039,2039-11-15,Proclamação da República
2039,2039-11-20,Dia Nacional de Zumbi e da Consciência Negra
2039,2039-12-25,Natal
2040,2040-01-01,Confraternização Universal
2040,2040-02-13,Carnaval
2040,2040-02-14,Carnaval
2040,2040-03-30,Sexta-feira Santa
2040,2040-04-21,Tiradentes
2040,2040-05-01,Dia do Trabalhador
2040,2040-05-31,Corpus Christi
2040,2040-09-07,Independência do Brasil
2040,2040-10-12,Nossa Senhora Aparecida
2040,2040-11-02,Finados
2040,2040-11-15,Proclamação da República
2040,2040-11-20,Dia Nacional de Zumbi e da Consciência Negra
2040,2040-12-25,Natal
2041,2041-01-01,Confraternização Universal
2041,2041-03-04,Carnaval
2041,2041-03-05,Carnaval
2041,2041-04-19,Sexta-feira Santa
2041,2041-04-21,Tiradentes
2041,2041-05-01,Dia do Trabalhador
2041,2041-06-20,Corpus Christi
2041,2041-09-07,Independência do Brasil
2041,2041-10-12,Nossa Senhora Aparecida
2041,2041-11-02,Finados
2041,2041-11-15,Proclamação da República
2041,2041-11-20,Dia Nacional de Zumbi e da Consciência Negra
2041,2041-12-25,Natal
2042,2042-01-01,Confraternização Universal
2042,2042-02-17,Carnaval
2042,2042-02-18,Carnaval
2042,2042-04-04,Sexta-feira Santa
2042,2042-04-21,Tiradentes
2042,2042-05-01,Dia do Trabalhador
2042,2042-06-05,Corpus Christi
2042,2042-09-07,Independência do Brasil
2042,2042-10-12,Nossa Senhora Aparecida
2042,2042-11-02,Finados
2042,2042-11-15,Proclamação da República
2042,2042-11-20,Dia Nacional de Zumbi e da Consciência Negra
2042,2042-12-25,Natal
2043,2043-01-01,Confraternização Universal
2043,2043-02-09,Carnaval
2043,2043-02-10,Carnaval
2043,2043-03-27,Sexta-feira Santa
2043,2043-04-21,Tiradentes
2043,2043-05-01,Dia do Trabalhador
2043,2043-05-28,Corpus Christi
2043,2043-09-07,Independência do Brasil
2043,2043-10-12,Nossa Senhora Aparecida
2043,2043-11-02,Finados
2043,2043-11-15,Proclamação da República
2043,2043-11-20,Dia Nacional de Zumbi e da Consciência Negra
2043,2043-12-25,Natal
2044,2044-01-01,Confraternização Universal
2044,2044-02-29,Carnaval
2044,2044-03-01,Carnaval
2044,2044-04-15,Sexta-feira Santa
2044,2044-04-21,Tiradentes
2044,2044-05-01,Dia do Trabalhador
2044,2044-06-16,Corpus Christi
2044,2044-09-07,Independência do Brasil
2044,2044-10-12,Nossa Senhora Aparecida
2044,2044-11-02,Finados
2044,2044-11-15,Proclamação da República
2044,2044-11-20,Dia Nacional de Zumbi e da Consciência Negra
2044,2044-12-25,Natal
2045,2045-01-01,Confraternização Universal
2045,2045-02-20,Carnaval
2045,2045-02-21,Carnaval
2045,2045-04-07,Sexta-feira Santa
2045,2045-04-21,Tiradentes
2045,2045-05-01,Dia do Trabalhador
2045,2045-06-08,Corpus Christi
2045,2045-09-07,Independência do Brasil
2045,2045-10-12,Nossa Senhora Aparecida
2045,2045-11-02,Finados
2045,2045-11-15,Proclamação da República
2045,2045-11-20,Dia Nacional de Zumbi e da Consciência Negra
2045,2045-12-25,Natal
2046,2046-01-01,Confraternização Universal
2046,2046-02-05,Carnaval
2046,2046-02-06,Carnaval
2046,2046-03-23,Sexta-feira Santa
2046,2046-04-21,Tiradentes
2046,2046-05-01,Dia do Trabalhador
2046,2046-05-24,Corpus Christi
2046,2046-09-07,Independência do Brasil
2046,2046-10-12,Nossa Senhora Aparecida
2046,2046-11-02,Finados
2046,2046-11-15,Proclamação da República
2046,2046-11-20,Dia Nacional de Zumbi e da Consciência Negra
2046,2046-12-25,Natal
2047,2047-01-01,Confraternização Universal
2047,2047-02-25,Carnaval
2047,2047-02-26,Carnaval
2047,2047-04-12,Sexta-feira Santa
2047,2047-04-21,Tiradentes
2047,2047-05-01,Dia do Trabalhador
2047,2047-06-13,Corpus Christi
2047,2047-09-07,Independência do Brasil
2047,2047-10-12,Nossa Senhora Aparecida
2047,2047-11-02,Finados
2047,2047-11-15,Proclamação da República
2047,2047-11-20,Dia Nacional de Zumbi e da Consciência Negra
2047,2047-12-25,Natal
2048,2048-01-01,Confraternização Universal
2048,2048-02-17,Carnaval
2048,2048-02-18,Carnaval
2048,2048-04-03,Sexta-feira Santa
2048,2048-04-21,Tiradentes
2048,2048-05-01,Dia do Trabalhador
2048,2048-06-04,Corpus Christi
2048,2048-09-07,Independência do Brasil
2048,2048-10-12,Nossa Senhora Aparecida
2048,2048-11-02,Finados
2048,2048-11-15,Proclamação da República
2048,2048-11-20,Dia Nacional de Zumbi e da Consciência Negra
2048,2048-12-25,Natal
2049,2049-01-01,Confraternização Universal
2049,2049-03-01,Carnaval
2049,2049-03-02,Carnaval
2049,2049-04-16,Sexta-feira Santa
2049,2049-04-21,Tiradentes
2049,2049-05-01,Dia do Trabalhador
2049,2049-06-17,Corpus Christi
2049,2049-09-07,Independência do Brasil
2049,2049-10-12,Nossa Senhora Aparecida
2049,2049-11-02,Finados
2049,2049-11-15,Proclamação da República
2049,2049-11-20,Dia Nacional de Zumbi e da Consciência Negra
2049,2049-12-25,Natal
2050,2050-01-01,Confraternização Universal
2050,2050-02-21,Carnaval
2050,2050-02-22,Carnaval
2050,2050-04-08,Sexta-feira Santa
2050,2050-04-21,Tiradentes
2050,2050-05-01,Dia do Trabalhador
2050,2050-06-09,Corpus Christi
2050,2050-09-07,Independência do Brasil
2050,2050-10-12,Nossa Senhora Aparecida
2050,2050-11-02,Finados
2050,2050-11-15,Proclamação da República
2050,2050-11-20,Dia Nacional de Zumbi e da Consciência Negra
2050,2050-12-25,Natal
