year,date,holiday
2026,2026-01-01,New Year
2026,2026-01-12,Berber New Year
2026,2026-03-20,Eid al-Fitr
2026,2026-03-21,Eid al-Fitr Holiday
2026,2026-03-22,Eid al-Fitr Holiday
2026,2026-05-01,May Day
2026,2026-05-27,Eid al-Adha
2026,2026-05-28,Eid al-Adha Holiday
2026,2026-06-16,Muharram
2026,2026-06-25,Day of Achura
2026,2026-07-02,Election Holiday
2026,2026-07-05,Independence Day
2026,2026-08-25,The Prophet's Birthday
2026,2026-11-01,Anniversary of the Revolution
2027,2027-01-01,New Year
2027,2027-01-12,Berber New Year
2027,2027-03-10,Eid al-Fitr (Tentative Date)
2027,2027-03-11,Eid al-Fitr Holiday (Tentative Date)
2027,2027-03-12,Eid al-Fitr Holiday (Tentative Date)
2027,2027-05-01,May Day
2027,2027-05-17,Eid al-Adha (Tentative Date)
2027,2027-05-18,Eid al-Adha Holiday (Tentative Date)
2027,2027-06-06,Muharram (Tentative Date)
2027,2027-06-15,Day of Achura (Tentative Date)
2027,2027-07-05,Independence Day
2027,2027-08-15,The Prophet's Birthday (Tentative Date)
2027,2027-11-01,Anniversary of the Revolution
2028,2028-01-01,New Year
2028,2028-01-12,Berber New Year
2028,2028-02-27,Eid al-Fitr (Tentative Date)
2028,2028-02-28,Eid al-Fitr Holiday (Tentative Date)
2028,2028-02-29,Eid al-Fitr Holiday (Tentative Date)
2028,2028-05-01,May Day
2028,2028-05-05,Eid al-Adha (Tentative Date)
2028,2028-05-06,Eid al-Adha Holiday (Tentative Date)
2028,2028-05-25,Muharram (Tentative Date)
2028,2028-06-03,Day of Achura (Tentative Date)
2028,2028-07-05,Independence Day
2028,2028-08-03,The Prophet's Birthday (Tentative Date)
2028,2028-11-01,Anniversary of the Revolution
2029,2029-01-01,New Year
2029,2029-01-12,Berber New Year
2029,2029-02-15,Eid al-Fitr (Tentative Date)
2029,2029-02-16,Eid al-Fitr Holiday (Tentative Date)
2029,2029-02-17,Eid al-Fitr Holiday (Tentative Date)
2029,2029-04-24,Eid al-Adha (Tentative Date)
2029,2029-04-25,Eid al-Adha Holiday (Tentative Date)
2029,2029-05-01,May Day
2029,2029-05-15,Muharram (Tentative Date)
2029,2029-05-24,Day of Achura (Tentative Date)
2029,2029-07-05,Independence Day
2029,2029-07-24,The Prophet's Birthday (Tentative Date)
2029,2029-11-01,Anniversary of the Revolution
2030,2030-01-01,New Year
2030,2030-01-12,Berber New Year
2030,2030-02-05,Eid al-Fitr (Tentative Date)
2030,2030-02-06,Eid al-Fitr Holiday (Tentative Date)
2030,2030-02-07,Eid al-Fitr Holiday (Tentative Date)
2030,2030-04-14,Eid al-Adha (Tentative Date)
2030,2030-04-15,Eid al-Adha Holiday (Tentative Date)
2030,2030-05-01,May Day
2030,2030-05-04,Muharram (Tentative Date)
2030,2030-05-13,Day of Achura (Tentative Date)
2030,2030-07-05,Independence Day
2030,2030-07-13,The Prophet's Birthday (Tentative Date)
2030,2030-11-01,Anniversary of the Revolution
2031,2031-01-01,New Year
2031,2031-01-12,Berber New Year
2031,2031-01-25,Eid al-Fitr (Tentative Date)
