year,date,holiday
2026,2026-01-01,New Year's Day
2026,2026-04-06,Easter Monday
2026,2026-05-01,Labor Day
2026,2026-05-08,WWII Victory Day
2026,2026-05-14,Ascension Day
2026,2026-05-25,Whit Monday
2026,2026-07-14,Bastille Day
2026,2026-08-15,Assumption of Mary
2026,2026-11-01,All Saints' Day
2026,2026-11-11,Armistice Day
2026,2026-12-25,Christmas Day
2027,2027-01-01,New Year's Day
2027,2027-03-29,Easter Monday
2027,2027-05-01,Labor Day
2027,2027-05-06,Ascension Day
2027,2027-05-08,WWII Victory Day
2027,2027-05-17,Whit Monday
2027,2027-07-14,Bastille Day
2027,2027-08-15,Assumption of Mary
2027,2027-11-01,All Saints' Day
2027,2027-11-11,Armistice Day
2027,2027-12-25,Christmas Day
2028,2028-01-01,New Year's Day
2028,2028-04-17,Easter Monday
2028,2028-05-01,Labor Day
2028,2028-05-08,WWII Victory Day
2028,2028-05-25,Ascension Day
2028,2028-06-05,Whit Monday
2028,2028-07-14,Bastille Day
2028,2028-08-15,Assumption of Mary
2028,2028-11-01,All Saints' Day
2028,2028-11-11,Armistice Day
2028,2028-12-25,Christmas Day
2029,2029-01-01,New Year's Day
2029,2029-04-02,Easter Monday
2029,2029-05-01,Labor Day
2029,2029-05-08,WWII Victory Day
2029,2029-05-10,Ascension Day
2029,2029-05-21,Whit Monday
2029,2029-07-14,Bastille Day
2029,2029-08-15,Assumption of Mary
2029,2029-11-01,All Saints' Day
2029,2029-11-11,Armistice Day
2029,2029-12-25,Christmas Day
2030,2030-01-01,New Year's Day
2030,2030-04-22,Easter Monday
2030,2030-05-01,Labor Day
2030,2030-05-08,WWII Victory Day
2030,2030-05-30,Ascension Day
2030,2030-06-10,Whit Monday
2030,2030-07-14,Bastille Day
2030,2030-08-15,Assumption of Mary
2030,2030-11-01,All Saints' Day
2030,2030-11-11,Armistice Day
2030,2030-12-25,Christmas Day
2031,2031-01-01,New Year's Day
2031,2031-04-14,Easter Monday
2031,2031-05-01,Labor Day
2031,2031-05-08,WWII Victory Day
2031,2031-05-22,Ascension Day
2031,2031-06-02,Whit Monday
2031,2031-07-14,Bastille Day
2031,2031-08-15,Assumption of Mary
2031,2031-11-01,All Saints' Day
2031,2031-11-11,Armistice Day
2031,2031-12-25,Christmas Day
2032,2032-01-01,New Year's Day
2032,2032-03-29,Easter Monday
2032,2032-05-01,Labor Day
2032,2032-05-06,Ascension Day
2032,2032-05-08,WWII Victory Day
2032,2032-05-17,Whit Monday
2032,2032-07-14,Bastille Day
2032,2032-08-15,Assumption of Mary
2032,2032-11-01,All Saints' Day
2032,2032-11-11,Armistice Day
2032,2032-12-25,Christmas Day
2033,2033-01-01,New Year's Day
2033,2033-04-18,Easter Monday
2033,2033-05-01,Labor Day
2033,2033-05-08,WWII Victory Day
2033,2033-05-26,Ascension Day
2033,2033-06-06,Whit Monday
2033,2033-07-14,Bastille Day
2033,2033-08-15,Assumption of Mary
2033,2033-11-01,All Saints' Day
2033,2033-11-11,Armistice Day
2033,2033-12-25,Christmas Day
2034,2034-01-01,New Year's Day
2034,2034-04-10,Easter Monday
