year,date,holiday
2026,2026-08-01,Swiss National Day
2027,2027-08-01,Swiss National Day
2028,2028-08-01,Swiss National Day
2029,2029-08-01,Swiss National Day
2030,2030-08-01,Swiss National Day
2031,2031-08-01,Swiss National Day
2032,2032-08-01,Swiss National Day
2033,2033-08-01,Swiss National Day
2034,2034-08-01,Swiss National Day
2035,2035-08-01,Swiss National Day
2036,2036-08-01,Swiss National Day
2037,2037-08-01,Swiss National Day
2038,2038-08-01,Swiss National Day
2039,2039-08-01,Swiss National Day
2040,2040-08-01,Swiss National Day
2041,2041-08-01,Swiss National Day
2042,2042-08-01,Swiss National Day
2043,2043-08-01,Swiss National Day
2044,2044-08-01,Swiss National Day
2045,2045-08-01,Swiss National Day
2046,2046-08-01,Swiss National Day
2047,2047-08-01,Swiss National Day
2048,2048-08-01,Swiss National Day
2049,2049-08-01,Swiss National Day
2050,2050-08-01,Swiss National Day
