year,date,holiday
2026,2026-01-01,New Year's Day
2026,2026-02-17,Lunar New Year's Day
2026,2026-02-18,Second Day of Lunar New Year
2026,2026-02-19,Third Day of Lunar New Year
2026,2026-04-03,Good Friday
2026,2026-04-04,Holy Saturday
2026,2026-04-05,Tomb Sweeping Day
2026,2026-04-06,Day off for Tomb Sweeping Day
2026,2026-04-06,Easter Monday
2026,2026-04-07,Day off for Easter Monday
2026,2026-05-01,Labour Day
2026,2026-05-24,Buddha's Birthday
2026,2026-05-25,Day following Buddha's Birthday
2026,2026-06-19,Dragon Boat Festival
2026,2026-07-01,Hong Kong Special Administrative Region Establishment Day
2026,2026-09-26,Day after Mid-Autumn Festival
2026,2026-10-01,National Day
2026,2026-10-18,Chung Yeung Festival
2026,2026-10-19,Day off for Chung Yeung Festival
2026,2026-12-25,Christmas Day
2026,2026-12-26,First Weekday After Christmas Day
2027,2027-01-01,New Year's Day
2027,2027-02-06,Lunar New Year's Day
2027,2027-02-08,Second Day of Lunar New Year
2027,2027-02-09,Third Day of Lunar New Year
2027,2027-03-26,Good Friday
2027,2027-03-27,Holy Saturday
2027,2027-03-29,Easter Monday
2027,2027-04-05,Tomb Sweeping Day
2027,2027-05-01,Labour Day
2027,2027-05-13,Buddha's Birthday
2027,2027-06-09,Dragon Boat Festival
2027,2027-07-01,Hong Kong Special Administrative Region Establishment Day
2027,2027-09-16,Day after Mid-Autumn Festival
2027,2027-10-01,National Day
2027,2027-10-08,Chung Yeung Festival
2027,2027-12-25,Christmas Day
2027,2027-12-27,First Weekday After Christmas Day
2028,2028-01-01,New Year's Day
2028,2028-01-26,Lunar New Year's Day
2028,2028-01-27,Second Day of Lunar New Year
2028,2028-01-28,Third Day of Lunar New Year
2028,2028-04-04,Tomb Sweeping Day
2028,2028-04-14,Good Friday
2028,2028-04-15,Holy Saturday
2028,2028-04-17,Easter Monday
2028,2028-05-01,Labour Day
2028,2028-05-02,Buddha's Birthday
2028,2028-05-29,Dragon Boat Festival
2028,2028-07-01,Hong Kong Special Administrative Region Establishment Day
2028,2028-10-01,National Day
2028,2028-10-02,National Day observed
2028,2028-10-04,Day after Mid-Autumn Festival
2028,2028-10-26,Chung Yeung Festival
2028,2028-12-25,Christmas Day
2028,2028-12-26,First Weekday After Christmas Day
2029,2029-01-01,New Year's Day
2029,2029-02-13,Lunar New Year's Day
2029,2029-02-14,Second Day of Lunar New Year
2029,2029-02-15,Third Day of Lunar New Year
2029,2029-03-30,Good Friday
2029,2029-03-31,Holy Saturday
2029,2029-04-02,Easter Monday
2029,2029-04-05,Tomb Sweeping Day
2029,2029-05-01,Labour Day
2029,2029-05-20,Buddha's Birthday
2029,2029-05-21,Day following Buddha's Birthday
2029,2029-06-16,Dragon Boat Festival
2029,2029-07-01,Hong Kong Special Administrative Region Establishment Day
2029,2029-07-02,Hong Kong Special Administrative Region Establishment Day observed
2029,2029-09-22,Day after Mid-Autumn Festival
2029,2029-10-01,National Day
2029,2029-10-16,Chung Yeung Festival
2029,2029-12-25,Christmas Day
2029,2029-12-26,First Weekday After Christmas Day
2030,2030-01-01,New Year's Day
2030,2030-02-02,Lunar New Year's Day
2030,2030-02-04,Second Day of Lunar New Year
2030,2030-02-05,Third Day of Lunar New Year
2030,2030-04-05,Tomb Sweeping Day
2030,2030-04-19,Good Friday
2030,2030-04-20,Holy Saturday
2030,2030-04-22,Easter Monday
2030,2030-05-01,Labour Day
2030,2030-05-09,Buddha's Birthday
2030,2030-06-05,Dragon Boat Festival
2030,2030-07-01,Hong Kong Special Administrative Region Establishment Day
2030,2030-09-13,Day after Mid-Autumn Festival
2030,2030-10-01,National Day
2030,2030-10-05,Chung Yeung Festival
2030,2030-12-25,Christmas Day
2030,2030-12-26,First Weekday After Christmas Day
2031,2031-01-01,New Year's Day
2031,2031-01-23,Lunar New Year's Day
2031,2031-01-24,Second Day of Lunar New Year
2031,2031-01-25,Third Day of Lunar New Year
2031,2031-04-05,Tomb Sweeping Day
2031,2031-04-11,Good Friday
2031,2031-04-12,Holy Saturday
2031,2031-04-14,Easter Monday
2031,2031-05-01,Labour Day
2031,2031-05-28,Buddha's Birthday
2031,2031-06-24,Dragon Boat Festival
2031,2031-07-01,Hong Kong Special Administrative Region Establishment Day
2031,2031-10-01,National Day
2031,2031-10-02,Day after Mid-Autumn Festival
2031,2031-10-24,Chung Yeung Festival
2031,2031-12-25,Christmas Day
2031,2031-12-26,First Weekday After Christmas Day
2032,2032-01-01,New Year's Day
2032,2032-02-11,Lunar New Year's Day
2032,2032-02-12,Second Day of Lunar New Year
2032,2032-02-13,Third Day of Lunar New Year
2032,2032-03-26,Good Friday
2032,2032-03-27,Holy Saturday
2032,2032-03-29,Easter Monday
2032,2032-04-03,Tomb Sweeping Day
2032,2032-05-01,Labour Day
2032,2032-05-16,Buddha's Birthday
2032,2032-05-17,Day following Buddha's Birthday
2032,2032-06-12,Dragon Boat Festival
2032,2032-07-01,Hong Kong Special Administrative Region Establishment Day
2032,2032-09-20,Day after Mid-Autumn Festival
2032,2032-10-01,National Day
2032,2032-10-12,Chung Yeung Festival
2032,2032-12-25,Christmas Day
2032,2032-12-27,First Weekday After Christmas Day
2033,2033-01-01,New Year's Day
2033,2033-01-31,Lunar New Year's Day
2033,2033-02-01,Second Day of Lunar New Year
2033,2033-02-02,Third Day of Lunar New Year
2033,2033-04-05,Tomb Sweeping Day
2033,2033-04-15,Good Friday
2033,2033-04-16,Holy Saturday
2033,2033-04-18,Easter Monday
2033,2033-05-01,Labour Day
2033,2033-05-02,Labour Day observed
