year,date,holiday
2026,2026-01-26,Republic Day
2026,2026-03-04,Holi
2026,2026-03-21,Ramzan Id (Tentative Date)
2026,2026-03-26,Rama Navami
2026,2026-03-31,Mahavir Jayanti
2026,2026-04-03,Good Friday
2026,2026-05-01,Buddha Purnima
2026,2026-05-27,Bakrid (Tentative Date)
2026,2026-06-26,Muharram/Ashura (Tentative Date)
2026,2026-08-15,Independence Day
2026,2026-08-26,Milad un-Nabi (Tentative Date)
2026,2026-09-04,Janmashtami
2026,2026-10-02,Mahatma Gandhi Jayanti
2026,2026-10-20,Dussehra
2026,2026-11-08,Diwali/Deepavali
2026,2026-11-24,Guru Nanak Jayanti
2026,2026-12-25,Christmas
2027,2027-01-26,Republic Day
2027,2027-03-06,Maha Shivaratri
2027,2027-03-10,Ramzan Id (Tentative Date)
2027,2027-03-22,Holi
2027,2027-03-26,Good Friday
2027,2027-04-15,Rama Navami
2027,2027-05-17,Bakrid (Tentative Date)
2027,2027-06-16,Muharram/Ashura (Tentative Date)
2027,2027-08-15,Independence Day
2027,2027-08-25,Janmashtami
2027,2027-10-02,Mahatma Gandhi Jayanti
2027,2027-10-09,Dussehra
2027,2027-10-29,Diwali/Deepavali
2027,2027-12-25,Christmas
2028,2028-01-26,Republic Day
2028,2028-02-23,Maha Shivaratri
2028,2028-02-27,Ramzan Id (Tentative Date)
2028,2028-03-11,Holi
2028,2028-04-03,Rama Navami
2028,2028-04-14,Good Friday
2028,2028-05-06,Bakrid (Tentative Date)
2028,2028-06-04,Muharram/Ashura (Tentative Date)
2028,2028-08-13,Janmashtami
2028,2028-08-15,Independence Day
2028,2028-09-27,Dussehra
2028,2028-10-02,Mahatma Gandhi Jayanti
2028,2028-10-17,Diwali/Deepavali
2028,2028-12-25,Christmas
2029,2029-01-26,Republic Day
2029,2029-02-11,Maha Shivaratri
2029,2029-02-15,Ramzan Id (Tentative Date)
2029,2029-03-01,Holi
2029,2029-03-30,Good Friday
2029,2029-04-22,Rama Navami
2029,2029-04-25,Bakrid (Tentative Date)
2029,2029-05-25,Muharram/Ashura (Tentative Date)
2029,2029-08-15,Independence Day
2029,2029-09-01,Janmashtami
2029,2029-10-02,Mahatma Gandhi Jayanti
2029,2029-10-16,Dussehra
2029,2029-11-05,Diwali/Deepavali
2029,2029-12-25,Christmas
2030,2030-01-26,Republic Day
2030,2030-02-05,Ramzan Id (Tentative Date)
2030,2030-03-02,Maha Shivaratri
2030,2030-03-20,Holi
2030,2030-04-12,Rama Navami
2030,2030-04-14,Bakrid (Tentative Date)
2030,2030-04-19,Good Friday
2030,2030-05-14,Muharram/Ashura (Tentative Date)
2030,2030-08-15,Independence Day
2030,2030-08-21,Janmashtami
2030,2030-10-02,Mahatma Gandhi Jayanti
2030,2030-10-06,Dussehra
2030,2030-10-26,Diwali/Deepavali
2030,2030-12-25,Christmas
2031,2031-01-25,Ramzan Id (Tentative Date)
2031,2031-01-26,Republic Day
2031,2031-02-20,Maha Shivaratri
2031,2031-03-09,Holi
2031,2031-04-01,Rama Navami
2031,2031-04-03,Bakrid (Tentative Date)
2031,2031-04-11,Good Friday
2031,2031-05-03,Muharram/Ashura (Tentative Date)
2031,2031-08-10,Janmashtami
2031,2031-08-15,Independence Day
2031,2031-10-02,Mahatma Gandhi Jayanti
2031,2031-10-25,Dussehra
2031,2031-11-14,Diwali/Deepavali
2031,2031-12-25,Christmas
2032,2032-01-15,Ramzan Id (Tentative Date)
2032,2032-01-26,Republic Day
2032,2032-03-10,Maha Shivaratri
2032,2032-03-22,Bakrid (Tentative Date)
2032,2032-03-26,Good Friday
2032,2032-03-27,Holi
2032,2032-04-19,Rama Navami
2032,2032-04-21,Muharram/Ashura (Tentative Date)
2032,2032-08-15,Independence Day
2032,2032-08-28,Janmashtami
2032,2032-10-02,Mahatma Gandhi Jayanti
2032,2032-10-14,Dussehra
2032,2032-11-02,Diwali/Deepavali
2032,2032-12-25,Christmas
2033,2033-01-03,Ramzan Id (Tentative Date)
2033,2033-01-26,Republic Day
2033,2033-02-27,Maha Shivaratri
2033,2033-03-12,Bakrid (Tentative Date)
2033,2033-03-16,Holi
2033,2033-04-07,Rama Navami
2033,2033-04-11,Muharram/Ashura (Tentative Date)
2033,2033-04-15,Good Friday
2033,2033-08-15,Independence Day
2033,2033-08-17,Janmashtami
2033,2033-10-02,Mahatma Gandhi Jayanti
2033,2033-10-03,Dussehra
2033,2033-10-22,Diwali/Deepavali
2033,2033-12-24,Ramzan Id (Tentative Date)
2033,2033-12-25,Christmas
2034,2034-01-26,Republic Day
2034,2034-02-17,Maha Shivaratri
2034,2034-03-02,Bakrid (Tentative Date)
2034,2034-03-05,Holi
2034,2034-03-28,Rama Navami
2034,2034-03-31,Muharram/Ashura (Tentative Date)
2034,2034-04-07,Good Friday
2034,2034-08-15,Independence Day
2034,2034-09-06,Janmashtami
2034,2034-10-02,Mahatma Gandhi Jayanti
2034,2034-10-22,Dussehra
2034,2034-11-10,Diwali/Deepavali
2034,2034-12-13,Ramzan Id (Tentative Date)
2034,2034-12-25,Christmas
2035,2035-01-26,Republic Day
2035,2035-02-19,Bakrid (Tentative Date)
2035,2035-03-08,Maha Shivaratri
2035,2035-03-21,Muharram/Ashura (Tentative Date)
2035,2035-03-23,Good Friday
2035,2035-03-24,Holi
2035,2035-04-16,Rama Navami
2035,2035-08-15,Independence Day
2035,2035-08-26,Janmashtami
2035,2035-10-02,Mahatma Gandhi Jayanti
2035,2035-10-11,Dussehra
2035,2035-10-30,Diwali/Deepavali
2035,2035-12-02,Ramzan Id (Tentative Date)
2035,2035-12-25,Christmas
2036,2036-01-26,Republic Day
2036,2036-02-08,Bakrid (Tentative Date)
2036,2036-02-25,Maha Shivaratri
2036,2036-03-09,Muharram/Ashura (Tentative Date)
2036,2036-03-12,Holi
2036,2036-04-05,Rama Navami
2036,2036-04-11,Good Friday
2036,2036-08-15,Independence Day
2036,2036-08-15,Janmashtami
2036,2036-09-29,Dussehra
2036,2036-10-02,Mahatma Gandhi Jayanti
2036,2036-10-18,Diwali/Deepavali
2036,2036-11-20,Ramzan Id (Tentative Date)
2036,2036-12-25,Christmas
2037,2037-01-26,Republic Day
2037,2037-01-27,Bakrid (Tentative Date)
2037,2037-02-13,Maha Shivaratri
2037,2037-02-26,Muharram/Ashura (Tentative Date)
2037,2037-03-02,Holi
2037,2037-03-25,Rama Navami
2037,2037-04-03,Good Friday
2037,2037-08-15,Independence Day
2037,2037-09-03,Janmashtami
2037,2037-10-02,Mahatma Gandhi Jayanti
2037,2037-10-18,Dussehra
2037,2037-11-07,Diwali/Deepavali
2037,2037-11-09,Ramzan Id (Tentative Date)
2037,2037-12-25,Christmas
