year,date,holiday
2026,2026-01-01,New Year's Day
2026,2026-01-02,New Year's Holiday
2026,2026-01-03,New Year's Holiday
2026,2026-02-15,Spring Festival Holiday
2026,2026-02-16,Spring Festival Eve
2026,2026-02-17,Chinese New Year
2026,2026-02-18,Spring Festival Holiday
2026,2026-02-19,Spring Festival Holiday
2026,2026-02-20,Spring Festival Holiday
2026,2026-02-21,Spring Festival Holiday
2026,2026-02-22,Spring Festival Holiday
2026,2026-02-23,Spring Festival Holiday
2026,2026-04-04,Qing Ming Jie Holiday
2026,2026-04-05,Qing Ming Jie
2026,2026-04-06,Qing Ming Jie Holiday
2026,2026-05-01,Labour Day
2026,2026-05-02,Labour Day Holiday
2026,2026-05-03,Labour Day Holiday
2026,2026-05-04,Labour Day Holiday
2026,2026-05-05,Labour Day Holiday
2026,2026-06-19,Dragon Boat Festival
2026,2026-06-20,Dragon Boat Festival Holiday
2026,2026-06-21,Dragon Boat Festival Holiday
2026,2026-09-25,Mid-Autumn Festival
2026,2026-09-26,Mid-Autumn Festival Holiday
2026,2026-09-27,Mid-Autumn Festival Holiday
2026,2026-10-01,National Day
2026,2026-10-02,National Day Holiday
2026,2026-10-03,National Day Holiday
2026,2026-10-04,National Day Holiday
2026,2026-10-05,National Day Holiday
2026,2026-10-06,National Day Golden Week holiday
2026,2026-10-07,National Day Holiday
2027,2027-01-01,New Year's Day
2027,2027-02-05,Spring Festival Eve
2027,2027-02-06,Chinese New Year
2027,2027-02-07,Spring Festival Holiday
2027,2027-02-08,Spring Festival Holiday
2027,2027-02-09,Spring Festival Holiday
2027,2027-02-10,Spring Festival Holiday
2027,2027-02-11,Spring Festival Holiday
2027,2027-04-05,Qing Ming Jie
2027,2027-05-01,Labour Day
2027,2027-06-09,Dragon Boat Festival
2027,2027-09-15,Mid-Autumn Festival
2027,2027-10-01,National Day
2027,2027-10-02,National Day Holiday
2027,2027-10-03,National Day Holiday
2027,2027-10-04,National Day Holiday
2027,2027-10-05,National Day Holiday
2027,2027-10-06,National Day Golden Week holiday
2028,2028-01-01,New Year's Day
2028,2028-01-25,Spring Festival Eve
2028,2028-01-26,Chinese New Year
2028,2028-01-27,Spring Festival Holiday
2028,2028-01-28,Spring Festival Holiday
2028,2028-01-29,Spring Festival Holiday
2028,2028-01-30,Spring Festival Holiday
2028,2028-01-31,Spring Festival Holiday
2028,2028-04-04,Qing Ming Jie
2028,2028-05-01,Labour Day
2028,2028-05-28,Dragon Boat Festival
2028,2028-10-01,National Day
2028,2028-10-02,National Day Holiday
2028,2028-10-03,Mid-Autumn Festival
2028,2028-10-03,National Day Holiday
2028,2028-10-04,National Day Holiday
2028,2028-10-05,National Day Holiday
2028,2028-10-06,National Day Golden Week holiday
2029,2029-01-01,New Year's Day
2029,2029-02-12,Spring Festival Eve
2029,2029-02-13,Chinese New Year
2029,2029-02-14,Spring Festival Holiday
2029,2029-02-15,Spring Festival Holiday
2029,2029-02-16,Spring Festival Holiday
2029,2029-02-17,Spring Festival Holiday
2029,2029-02-18,Spring Festival Holiday
2029,2029-04-05,Qing Ming Jie
2029,2029-05-01,Labour Day
2029,2029-06-16,Dragon Boat Festival
2029,2029-09-22,Mid-Autumn Festival
2029,2029-10-01,National Day
2029,2029-10-02,National Day Holiday
2029,2029-10-03,National Day Holiday
2029,2029-10-04,National Day Holiday
2029,2029-10-05,National Day Holiday
2029,2029-10-06,National Day Golden Week holiday
2030,2030-01-01,New Year's Day
2030,2030-02-02,Spring Festival Eve
2030,2030-02-03,Chinese New Year
2030,2030-02-04,Spring Festival Holiday
2030,2030-02-05,Spring Festival Holiday
2030,2030-02-06,Spring Festival Holiday
2030,2030-02-07,Spring Festival Holiday
2030,2030-02-08,Spring Festival Holiday
2030,2030-04-05,Qing Ming Jie
2030,2030-05-01,Labour Day
2030,2030-06-05,Dragon Boat Festival
2030,2030-09-12,Mid-Autumn Festival
2030,2030-10-01,National Day
2030,2030-10-02,National Day Holiday
2030,2030-10-03,National Day Holiday
2030,2030-10-04,National Day Holiday
2030,2030-10-05,National Day Holiday
2030,2030-10-06,National Day Golden Week holiday
2031,2031-01-01,New Year's Day
2031,2031-01-22,Spring Festival Eve
2031,2031-01-23,Chinese New Year
2031,2031-01-24,Spring Festival Holiday
2031,2031-01-25,Spring Festival Holiday
2031,2031-01-26,Spring Festival Holiday
2031,2031-01-27,Spring Festival Holiday
2031,2031-01-28,Spring Festival Holiday
2031,2031-04-05,Qing Ming Jie
2031,2031-05-01,Labour Day
2031,2031-06-24,Dragon Boat Festival
2031,2031-10-01,Mid-Autumn Festival
2031,2031-10-01,National Day
2031,2031-10-02,National Day Holiday
2031,2031-10-03,National Day Holiday
2031,2031-10-04,National Day Holiday
