year,date,holiday
2042,2042-12-25,Christmas Day
2042,2042-12-26,Boxing Day
2043,2043-01-01,New Year's Day
2043,2043-03-27,Good Friday
2043,2043-05-18,Victoria Day
2043,2043-07-01,Canada Day
2043,2043-09-07,Labour Day
2043,2043-09-30,National Day for Truth and Reconciliation
2043,2043-10-12,Thanksgiving Day
2043,2043-11-11,Remembrance Day
2043,2043-12-25,Christmas Day
2043,2043-12-26,Boxing Day
2044,2044-01-01,New Year's Day
2044,2044-04-15,Good Friday
2044,2044-05-23,Victoria Day
2044,2044-07-01,Canada Day
2044,2044-09-05,Labour Day
2044,2044-09-30,National Day for Truth and Reconciliation
2044,2044-10-10,Thanksgiving Day
2044,2044-11-11,Remembrance Day
2044,2044-12-25,Christmas Day
2044,2044-12-26,Boxing Day
2045,2045-01-01,New Year's Day
2045,2045-04-07,Good Friday
2045,2045-05-22,Victoria Day
2045,2045-07-01,Canada Day
2045,2045-09-04,Labour Day
2045,2045-09-30,National Day for Truth and Reconciliation
2045,2045-10-09,Thanksgiving Day
2045,2045-11-11,Remembrance Day
2045,2045-12-25,Christmas Day
2045,2045-12-26,Boxing Day
2046,2046-01-01,New Year's Day
2046,2046-03-23,Good Friday
2046,2046-05-21,Victoria Day
2046,2046-07-01,Canada Day
2046,2046-09-03,Labour Day
2046,2046-09-30,National Day for Truth and Reconciliation
2046,2046-10-08,Thanksgiving Day
2046,2046-11-11,Remembrance Day
2046,2046-12-25,Christmas Day
2046,2046-12-26,Boxing Day
2047,2047-01-01,New Year's Day
2047,2047-04-12,Good Friday
2047,2047-05-20,Victoria Day
2047,2047-07-01,Canada Day
2047,2047-09-02,Labour Day
2047,2047-09-30,National Day for Truth and Reconciliation
2047,2047-10-14,Thanksgiving Day
2047,2047-11-11,Remembrance Day
2047,2047-12-25,Christmas Day
2047,2047-12-26,Boxing Day
2048,2048-01-01,New Year's Day
2048,2048-04-03,Good Friday
2048,2048-05-18,Victoria Day
2048,2048-07-01,Canada Day
2048,2048-09-07,Labour Day
2048,2048-09-30,National Day for Truth and Reconciliation
2048,2048-10-12,Thanksgiving Day
2048,2048-11-11,Remembrance Day
2048,2048-12-25,Christmas Day
2048,2048-12-26,Boxing Day
2049,2049-01-01,New Year's Day
2049,2049-04-16,Good Friday
2049,2049-05-24,Victoria Day
2049,2049-07-01,Canada Day
2049,2049-09-06,Labour Day
2049,2049-09-30,National Day for Truth and Reconciliation
2049,2049-10-11,Thanksgiving Day
2049,2049-11-11,Remembrance Day
2049,2049-12-25,Christmas Day
2049,2049-12-26,Boxing Day
2050,2050-01-01,New Year's Day
2050,2050-04-08,Good Friday
2050,2050-05-23,Victoria Day
2050,2050-07-01,Canada Day
2050,2050-09-05,Labour Day
2050,2050-09-30,National Day for Truth and Reconciliation
2050,2050-10-10,Thanksgiving Day
2050,2050-11-11,Remembrance Day
2050,2050-12-25,Christmas Day
2050,2050-12-26,Boxing Day
