"id","account_asset_id","account_depreciation_id","account_depreciation_expense_id","name","method_number","method_period","name@es"
"co_asset_urban_land","co_puc_150405","co_puc_150405","co_puc_514510","Urban Land","20","12","Urbanos"
"co_asset_rural_land","co_puc_150410","co_puc_150410","co_puc_514510","Rural Land","1","12","Rurales"
"co_asset_constructions_in_progress","co_puc_150800","co_puc_150800","co_puc_514510","Constructions in Progress","1","12","Construcciones En Curso"
"co_asset_machinery_and_equipment_in_assembly","co_puc_151200","co_puc_151200","co_puc_513510","Machinery and Equipment in Assembly","10","12","Maquinaria Y Equipos En Montaje"
"co_asset_machinery_and_equipment","co_puc_152000","co_puc_152000","co_puc_519530","Machinery and Equipment","10","12","Maquinaria Y Equipo"
"co_asset_office_furnitures","co_puc_152400","co_puc_152400","co_puc_519530","Office Furnitures","5","12","Equipo De Oficina"
"co_asset_computer_and_communication_equipment","co_puc_152800","co_puc_152800","co_puc_519530","Computer and Communication Equipment","5","12","Equipo De Computacion Y Comunicacion"
"co_asset_fleet_and_transport_equipment","co_puc_154000","co_puc_154000","co_puc_524540","Fleet and Transport Equipment","5","12","Flota Y Equipo De Transporte"
