"id","account_asset_id","name","account_depreciation_id","account_depreciation_expense_id","name@fr"
"asset_transport_equipment","mr_2150","Transport equipment (Vehicles)","mr_2815","mr_68012","Matériel de transport (ou véhicules)"
"asset_developed_land","mr_210681","Developed land used for professional operations","mr_2811","mr_68012","Terrains bâtis affectés aux opérations professionnelles"
"asset_buildings_industrial","mr_2120","Buildings - Industrial properties","mr_2812","mr_68012","Bâtiments - Propriétés industrielles"
"asset_buildings_adminstrative","mr_21205","Buildings - Administrative and commercial real estate sets","mr_2812","mr_68012","Bâtiments - Propriétés administratives et commerciales"
"asset_general_installations_buildings","mr_2122","General installations, fittings, and fixtures for buildings","mr_28122","mr_68012","Installations générales, accessoires et équipements pour bâtiments"
"asset_infrastructure_works","mr_2125","Infrastructure works - Land routes","mr_28125","mr_68012","Ouvrages d'infrastructure - Voies de terre"
"asset_industrial_real_estate_sets","mr_21208","Industrial real estate sets","mr_2813","mr_68012","Ensembles immobiliers industriels"
"asset_operating_equipment","mr_2140","Operating equipment","mr_2814","mr_68012","Matériel d'exploitation"
"asset_office_equipment","mr_2160","Office equipment and IT equipment","mr_2816","mr_68012","Matériel de bureau et matériel informatique"
"asset_livestock","mr_2170","Livestock","mr_2817","mr_68012","Cheptel"
"asset_office_furniture","mr_2180","Office furniture","mr_2818","mr_68012","Mobilier de Bureau"
"asset_residential_furniture","mr_2181","Residential furniture","mr_28181","mr_68012","Mobilier de logement"
"asset_general_installations","mr_2182","General installations, fittings, and various fixtures","mr_28182","mr_68012","Installations générales agencements aménagements divers"
"asset_returnable_packaging","mr_2183","Returnable packaging","mr_28183","mr_68012","Emballages récupérables"
"asset_under_concession","mr_2200","Assets under concession","mr_2820","mr_68012","Immobilisations mises en concession"
