"id","name","country_id","tax_receivable_account_id","tax_payable_account_id","name@ro"
"tax_group_tva_0","VAT 0%","base.ro","pcg_4424","pcg_44231","TVA 0%"
"tax_group_tva_5","VAT 5%","base.ro","pcg_4424","pcg_44231","TVA 5%"
"tax_group_tva_9","VAT 9%","base.ro","pcg_4424","pcg_44231","TVA 9%"
"tax_group_tva_11","VAT 11%","base.ro","pcg_4424","pcg_44231","TVA 11%"
"tax_group_tva_19","VAT 19%","base.ro","pcg_4424","pcg_44231","TVA 19%"
"tax_group_tva_21","VAT 21%","base.ro","pcg_4424","pcg_44231","TVA 21%"
"tax_group_tva_20","VAT 20%","base.ro","pcg_4424","pcg_44231","TVA 20%"
"tax_group_tva_24","VAT 24%","base.ro","pcg_4424","pcg_44231","TVA 24%"
"tax_group_tva_0_eu","VAT 0% EU","base.ro","pcg_4424","pcg_44231","TVA 0% EU"
"tax_group_tva_5_eu","VAT 5% EU","base.ro","pcg_4424","pcg_44231","TVA 5% EU"
"tax_group_tva_9_eu","VAT 9% EU","base.ro","pcg_4424","pcg_44231","TVA 9% EU"
"tax_group_tva_11_eu","VAT 11% EU","base.ro","pcg_4424","pcg_44231","TVA 11% EU"
"tax_group_tva_19_eu","VAT 19% EU","base.ro","pcg_4424","pcg_44231","TVA 19% EU"
"tax_group_tva_21_eu","VAT 21% EU","base.ro","pcg_4424","pcg_44231","TVA 21% EU"
"tax_group_tva_ned","Non-deductible VAT","base.ro","pcg_4424","pcg_44231","TVA Nedeductibil"
"tax_group_tva_ti","VAT Reverse Charge","base.ro","pcg_4424","pcg_44231","TVA Taxare Inversa"
"tax_group_tva_scutit","VAT Exempt","base.ro","pcg_4424","pcg_44231","TVA Scutit"
"tax_group_tva_neimp","VAT Non taxable","base.ro","pcg_4424","pcg_44231","TVA Neimpozabil"
