"id","sequence","description","invoice_label","name","amount","amount_type","type_tax_use","tax_group_id","tax_exigibility","cash_basis_transition_account_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","description@ro","fiscal_position_ids","original_tax_ids"
"","","","","","","","","","","","tax","invoice","+09 - VAT","pcg_4427","","","",""
"","","","","","","","","","","","base","refund","-09 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","-09 - VAT","pcg_4427","","","",""
"tvac_21","1","VAT collected 21% Goods","VAT collected 21% Goods","21% G","21.0","percent","sale","tax_group_tva_21","","","base","invoice","+09 - TAX BASE","","","TVA colectat 21% Produse","fiscal_position_template_1,fiscal_position_template_4",""
"","","","","","","","","","","","tax","invoice","+09 - VAT","pcg_4427","","","",""
"","","","","","","","","","","","base","refund","-09 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","-09 - VAT","pcg_4427","","","",""
"tvac_00_s","4","VAT collected 0% Services","VAT collected 0% Services","0% S","0.0","percent","sale","tax_group_tva_0","","","base","invoice","+14 - TAX BASE","","","TVA colectat 0% Servicii","fiscal_position_template_1,fiscal_position_template_4",""
"","","","","","","","","","","","tax","invoice","","","","","",""
"","","","","","","","","","","","base","refund","-14 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","","","","","",""
"tvac_05_s","3","VAT collected 5% Services","VAT collected 5% Services","5% S","5.0","percent","sale","tax_group_tva_5","","","base","invoice","+11 - TAX BASE","","","TVA colectat 5% Servicii","fiscal_position_template_1,fiscal_position_template_4",""
"","","","","","","","","","","","tax","invoice","+11 - VAT","pcg_4427","","","",""
"","","","","","","","","","","","base","refund","-11 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","-11 - VAT","pcg_4427","","","",""
"tvac_09_s","2","VAT collected 9% Services","VAT collected 9% Services","9% S","9.0","percent","sale","tax_group_tva_9","","","base","invoice","+10 - TAX BASE","","","TVA colectat 9% Servicii","fiscal_position_template_1,fiscal_position_template_4",""
"","","","","","","","","","","","tax","invoice","+10 - VAT","pcg_4427","","","",""
"","","","","","","","","","","","base","refund","-10 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","-10 - VAT","pcg_4427","","","",""
"tvac_11_s","2","VAT collected 11% Services","VAT collected 11% Services","11% S","11.0","percent","sale","tax_group_tva_11","","","base","invoice","+10 - TAX BASE","","","TVA colectat 11% Servicii","fiscal_position_template_1,fiscal_position_template_4",""
"","","","","","","","","","","","tax","invoice","+10 - VAT","pcg_4427","","","",""
"","","","","","","","","","","","base","refund","-10 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","-10 - VAT","pcg_4427","","","",""
"tvac_19_s","1","VAT collected 19% Services","VAT collected 19% Services","19% S","19.0","percent","sale","tax_group_tva_19","","","base","invoice","+09 - TAX BASE","","","TVA colectat 19% Servicii","fiscal_position_template_1,fiscal_position_template_4",""
"","","","","","","","","","","","tax","invoice","+09 - VAT","pcg_4427","","","",""
"","","","","","","","","","","","base","refund","-09 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","-09 - VAT","pcg_4427","","","",""
"tvac_21_s","1","VAT collected 21% Services","VAT collected 21% Services","21% S","21.0","percent","sale","tax_group_tva_21","","","base","invoice","+09 - TAX BASE","","","TVA colectat 21% Servicii","fiscal_position_template_1,fiscal_position_template_4",""
"","","","","","","","","","","","tax","invoice","+09 - VAT","pcg_4427","","","",""
"","","","","","","","","","","","base","refund","-09 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","-09 - VAT","pcg_4427","","","",""
"tvad_00","43","VAT deductible 0% Goods","VAT deductible 0% Goods","0% G","0.0","percent","purchase","tax_group_tva_0","","","base","invoice","+30 - TAX BASE","","","TVA deductibil 0% Produse","fiscal_position_template_1,fiscal_position_template_4",""
"","","","","","","","","","","","tax","invoice","","","","","",""
"","","","","","","","","","","","base","refund","-30 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","","","","","",""
"tvad_05","42","VAT deductible 5% Goods","VAT deductible 5% Goods","5% G","5.0","percent","purchase","tax_group_tva_5","","","base","invoice","+26_1 - TAX BASE","","","TVA deductibil 5% Produse","fiscal_position_template_1,fiscal_position_template_4",""
"","","","","","","","","","","","tax","invoice","+26_1 - VAT","pcg_4426","","","",""
"","","","","","","","","","","","base","refund","-26_1 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","-26_1 - VAT","pcg_4426","","","",""
"tvad_09","41","VAT deductible 9% Goods","VAT deductible 9% Goods","9% G","9.0","percent","purchase","tax_group_tva_9","","","base","invoice","+25_1 - TAX BASE","","","TVA deductibil 9% Produse","fiscal_position_template_1,fiscal_position_template_4",""
"","","","","","","","","","","","tax","invoice","+25_1 - VAT","pcg_4426","","","",""
"","","","","","","","","","","","base","refund","-25_1 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","-25_1 - VAT","pcg_4426","","","",""
"tvad_11","41","VAT deductible 11% Goods","VAT deductible 11% Goods","11% G","11.0","percent","purchase","tax_group_tva_11","","","base","invoice","+25_1 - TAX BASE","","","TVA deductibil 11% Produse","fiscal_position_template_1,fiscal_position_template_4",""
"","","","","","","","","","","","tax","invoice","+25_1 - VAT","pcg_4426","","","",""
"","","","","","","","","","","","base","refund","-25_1 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","-25_1 - VAT","pcg_4426","","","",""
"tvad_19","40","VAT deductible 19% Goods","VAT deductible 19% Goods","19% G","19.0","percent","purchase","tax_group_tva_19","","","base","invoice","+24_1 - TAX BASE","","","TVA deductibil 19% Produse","fiscal_position_template_1,fiscal_position_template_4",""
"","","","","","","","","","","","tax","invoice","+24_1 - VAT","pcg_4426","","","",""
"","","","","","","","","","","","base","refund","-24_1 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","-24_1 - VAT","pcg_4426","","","",""
"tvad_21","40","VAT deductible 21% Goods","VAT deductible 21% Goods","21% G","21.0","percent","purchase","tax_group_tva_21","","","base","invoice","+24_1 - TAX BASE","","","TVA deductibil 21% Produse","fiscal_position_template_1,fiscal_position_template_4",""
"","","","","","","","","","","","tax","invoice","+24_1 - VAT","pcg_4426","","","",""
"","","","","","","","","","","","base","refund","-24_1 - TAX BASE","","","","",""
"","","","","","","","","","","","tax","refund","-24_1 - VAT","pcg_4426","","","",""
"tvad_00_s","43","VAT deductible 0% Services","VAT deductible 0% Services","0% S","0.0","percent","purchase","tax_group_tva_0","","","base","invoice","+30 - TAX BASE","","","TVA deductibil 0% Servicii","fiscal_position_template_1,fiscal_position_template_4",""
