"id","name","country_id","tax_payable_account_id","tax_receivable_account_id","name@vi_VN"
"tax_group_0","VAT 0%","base.vn","chart3331","chart133","Thuế GTGT 0%"
"tax_group_5","VAT 5%","base.vn","chart3331","chart133","Thuế GTGT 5%"
"tax_group_8","VAT 8%","base.vn","chart3331","chart133","Thuế GTGT 8%"
"tax_group_10","VAT 10%","base.vn","chart3331","chart133","Thuế GTGT 10%"
"tax_group_exemption","VAT EXEMPTION","base.vn","chart3331","chart133","Không thuộc đối tượng chịu thuế GTGT"
"tax_group_base_amount","Base Amount","base.vn","chart3331","chart133","Số tiền cơ bản"
