"id","code","name","reconcile","user_type_id/id","chart_template_id/id"
"l10n_cn_5601","5601","销售费用","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5601001","5601001","办公费","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5601002","5601002","印刷费","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5601003","5601003","水电费","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5601004","5601004","邮电费","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5601005","5601005","取暖费","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5601006","5601006","折旧费","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5601007","5601007","交通费","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5601008","5601008","差旅费","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5601009","5601009","会议费","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5601010","5601010","培训费","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5601011","5601011","招待费","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5601012","5601012","福利费","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5601013","5601013","劳务费","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5601014","5601014","就业补助费","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5601015","5601015","租赁费","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5601016","5601016","物业管理费","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5601017","5601017","维修费","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5601018","5601018","商品维修费","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5601019","5601019","广告费和业务宣传费","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5601020","5601020","其他","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5602","5602","管理费用","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5602001","5602001","办公费","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5602002","5602002","印刷费","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5602003","5602003","水电费","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5602004","5602004","邮电费","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5602005","5602005","取暖费","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5602006","5602006","折旧费","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5602007","5602007","交通费","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5602008","5602008","差旅费","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5602009","5602009","会议费","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5602010","5602010","培训费","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5602011","5602011","业务招待费","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5602012","5602012","福利费","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5602013","5602013","劳务费","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5602014","5602014","就业补助费","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5602015","5602015","租赁费","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5602016","5602016","物业管理费","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5602017","5602017","维修费","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5602018","5602018","开办费","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5602019","5602019","研究费用","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5602020","5602020","其他","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5603","5603","财务费用","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5603001","5603001","手续费","False","account.data_account_type_expenses","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5603002","5603002","利息收入","False","account.data_account_type_other_income","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5711","5711","营业外支出","False","account.data_account_type_direct_costs","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5711001","5711001","坏账损失","False","account.data_account_type_direct_costs","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5711002","5711002","无法收回的长期债券投资损失","False","account.data_account_type_direct_costs","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5711003","5711003","无法收回的长期股权投资损失","False","account.data_account_type_direct_costs","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5711004","5711004","自然灾害等不可抗力因素造成的损失","False","account.data_account_type_direct_costs","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5711005","5711005","税收滞纳金","False","account.data_account_type_direct_costs","l10n_cn_small_business.l10n_chart_china_small_business"
"l10n_cn_5801","5801","所得税费用","False","account.data_account_type_direct_costs","l10n_cn_small_business.l10n_chart_china_small_business"
