"id","name","country_id","tax_payable_account_id","tax_receivable_account_id","name@sl"
"tax_group_22","22% VAT","base.si","gd_acc_260800","gd_acc_160800","22% DDV"
"tax_group_95","9,5% VAT","base.si","gd_acc_260800","gd_acc_160800","9,5% DDV"
"tax_group_5","5% VAT","base.si","gd_acc_260800","gd_acc_160800","5% DDV"
"tax_group_0","0% VAT","base.si","gd_acc_260800","gd_acc_160800","0% DDV"
