id,name,bic,country/id,zip,city,street,email,phone
bank_ir_55,بانک اقتصاد نوین,55,base.ir,,,,,
bank_ir_59,بانک انصار,59,base.ir,,,,,
bank_ir_18,بانک تجارت,18,base.ir,,,,,
bank_ir_51,بانک توسعه تعاون,51,base.ir,,,,,
bank_ir_20,بانک توسعه صادرات,20,base.ir,,,,,
bank_ir_60,بانک دی,63,base.ir,,,,,
bank_ir_13,بانک رفاه,13,base.ir,,,,,
bank_ir_56,بانک سامان,56,base.ir,,,,,
bank_ir_58,بانک سرمایه,58,base.ir,,,,,
bank_ir_15,بانک سپه,15,base.ir,,,,,
bank_ir_61,بانک سینا,61,base.ir,,,,,
bank_ir_62,بانک شهر,62,base.ir,,,,,
bank_ir_19,بانک صادرات,19,base.ir,,,,,
bank_ir_11,بانک صنعت و معدن,11,base.ir,,,,,
bank_ir_14,بانک مسکن,14,base.ir,,,,,
bank_ir_12,بانک ملت,12,base.ir,,,,,
bank_ir_17,بانک ملی,17,base.ir,,,,,
bank_ir_54,بانک پارسیان,54,base.ir,,,,,
bank_ir_57,بانک پاسارگاد,57,base.ir,,,,,
bank_ir_53,بانک کار آفرین,53,base.ir,,,,,
bank_ir_16,بانک کشاورزی,16,base.ir,,,,,
bank_ir_63,مؤسسه اعتباری ملل,63,base.ir,,,,,
bank_ir_21,پست بانک ایران,21,base.ir,,,,,
