"id","name","sequence","auto_apply","vat_required","country_id","country_group_id","tax_ids/tax_src_id","tax_ids/tax_dest_id","account_ids/account_src_id","account_ids/account_dest_id","name@sl"
"gd_fp_exempt","Exempt taxpayer","","","","","","","","","","Oproščen davčni zavezanec"
"gd_fp_do","Domestic","10","1","1","base.si","","","","","","Domače"
"gd_fp_do1","EU partner private","20","1","","","base.europe","","","","","EU partner zasebno"
"gd_fp_eu","EU partner","30","1","1","","base.europe","gd_taxr_3","gd_taxr_1","","","EU partner"
"","","","","","","","gd_taxr_2","gd_taxr_1","","",""
"","","","","","","","l10n_si_vat_5_sale","gd_taxr_1","","",""
"","","","","","","","gd_taxp_3","gd_taxp_st_2","","",""
"","","","","","","","gd_taxp_2","gd_taxp_st_1","","",""
"","","","","","","","l10n_si_vat_5_purchase","l10n_si_vat_5_purchase_goods_eu","","",""
"","","","","","","","","","gd_acc_120000","gd_acc_121000",""
"","","","","","","","","","gd_acc_220000","gd_acc_221000",""
"","","","","","","","","","gd_acc_760000","gd_acc_761000",""
"","","","","","","","","","gd_acc_762000","gd_acc_763000",""
"gd_fp_ne","Partner outside the EU","40","1","","","","gd_taxp_3","gd_taxp_1","","","Partner izven EU"
"","","","","","","","gd_taxp_2","gd_taxp_1","","",""
"","","","","","","","l10n_si_vat_5_purchase","gd_taxp_1","","",""
"","","","","","","","","","gd_acc_120000","gd_acc_121000",""
"","","","","","","","","","gd_acc_220000","gd_acc_221000",""
"","","","","","","","","","gd_acc_760000","gd_acc_761000",""
"","","","","","","","","","gd_acc_762000","gd_acc_763000",""
