"id","country_id:id","state_id:id","name","name@es_GT","zipcode"
"city_gt_101","base.gt","base.state_gt_gua","Guatemala","Guatemala","101"
"city_gt_102","base.gt","base.state_gt_gua","Santa Catarina Pinula","Santa Catarina Pinula","102"
"city_gt_103","base.gt","base.state_gt_gua","San José Pinula","San José Pinula","103"
"city_gt_104","base.gt","base.state_gt_gua","San José del Golfo","San José del Golfo","104"
"city_gt_105","base.gt","base.state_gt_gua","Palencia","Palencia","105"
"city_gt_106","base.gt","base.state_gt_gua","Chinautla","Chinautla","106"
"city_gt_107","base.gt","base.state_gt_gua","San Pedro Ayampuc","San Pedro Ayampuc","107"
"city_gt_108","base.gt","base.state_gt_gua","Mixco","Mixco","108"
"city_gt_109","base.gt","base.state_gt_gua","San Pedro Sacatepéquez","San Pedro Sacatepéquez","109"
"city_gt_110","base.gt","base.state_gt_gua","San Juan Sacatépequez","San Juan Sacatépequez","110"
"city_gt_111","base.gt","base.state_gt_gua","San Raymundo","San Raymundo","111"
"city_gt_112","base.gt","base.state_gt_gua","Chuarrancho","Chuarrancho","112"
"city_gt_113","base.gt","base.state_gt_gua","Fraijanes","Fraijanes","113"
"city_gt_114","base.gt","base.state_gt_gua","Amatitlán","Amatitlán","114"
"city_gt_115","base.gt","base.state_gt_gua","Villa Nueva","Villa Nueva","115"
"city_gt_116","base.gt","base.state_gt_gua","Villa Canales","Villa Canales","116"
"city_gt_117","base.gt","base.state_gt_gua","Petapa","Petapa","117"
"city_gt_201","base.gt","base.state_gt_epr","Guastatoya","Guastatoya","201"
"city_gt_202","base.gt","base.state_gt_epr","Morazán","Morazán","202"
"city_gt_203","base.gt","base.state_gt_epr","San Agustín Acasaguastlán","San Agustín Acasaguastlán","203"
"city_gt_204","base.gt","base.state_gt_epr","San Cristóbal Acasaguastlán","San Cristóbal Acasaguastlán","204"
"city_gt_205","base.gt","base.state_gt_epr","El Jícaro","El Jícaro","205"
"city_gt_206","base.gt","base.state_gt_epr","Sansare","Sansare","206"
"city_gt_207","base.gt","base.state_gt_epr","Sanarate","Sanarate","207"
"city_gt_208","base.gt","base.state_gt_epr","San Antonio La Paz","San Antonio La Paz","208"
"city_gt_301","base.gt","base.state_gt_sac","Antigua Guatemala","Antigua Guatemala","301"
"city_gt_302","base.gt","base.state_gt_sac","Jocotenango","Jocotenango","302"
"city_gt_303","base.gt","base.state_gt_sac","Pastores","Pastores","303"
"city_gt_304","base.gt","base.state_gt_sac","Sumpango","Sumpango","304"
"city_gt_305","base.gt","base.state_gt_sac","Sto. Domingo Xenacoj","Sto. Domingo Xenacoj","305"
"city_gt_306","base.gt","base.state_gt_sac","Santiago Sacatepéquez","Santiago Sacatepéquez","306"
"city_gt_307","base.gt","base.state_gt_sac","San Bartolomé Millpas Altas","San Bartolomé Millpas Altas","307"
"city_gt_308","base.gt","base.state_gt_sac","San Lucas Sacatepéquez","San Lucas Sacatepéquez","308"
"city_gt_309","base.gt","base.state_gt_sac","Santa Lucia Milpas Altas","Santa Lucia Milpas Altas","309"
"city_gt_310","base.gt","base.state_gt_sac","Magdalena Milpas Altas","Magdalena Milpas Altas","310"
"city_gt_311","base.gt","base.state_gt_sac","Santa María de Jesús","Santa María de Jesús","311"
"city_gt_312","base.gt","base.state_gt_sac","Ciudad Vieja","Ciudad Vieja","312"
"city_gt_313","base.gt","base.state_gt_sac","San Miguel Dueñas","San Miguel Dueñas","313"
"city_gt_314","base.gt","base.state_gt_sac","Alotenango","Alotenango","314"
"city_gt_315","base.gt","base.state_gt_sac","San Antonio Aguas Calientes","San Antonio Aguas Calientes","315"
"city_gt_316","base.gt","base.state_gt_sac","Santa Catarina Barahona","Santa Catarina Barahona","316"
"city_gt_401","base.gt","base.state_gt_cmt","Chimaltenango","Chimaltenango","401"
"city_gt_402","base.gt","base.state_gt_cmt","San José Poaquil","San José Poaquil","402"
"city_gt_403","base.gt","base.state_gt_cmt","San Martín Jilotepeque","San Martín Jilotepeque","403"
"city_gt_404","base.gt","base.state_gt_cmt","Comalapa","Comalapa","404"
"city_gt_405","base.gt","base.state_gt_cmt","Santa Apolonia","Santa Apolonia","405"
"city_gt_406","base.gt","base.state_gt_cmt","Tecpán Guatemala","Tecpán Guatemala","406"
"city_gt_407","base.gt","base.state_gt_cmt","Patzún","Patzún","407"
"city_gt_408","base.gt","base.state_gt_cmt","Pochuta","Pochuta","408"
"city_gt_409","base.gt","base.state_gt_cmt","Patzicia","Patzicia","409"
"city_gt_410","base.gt","base.state_gt_cmt","Santa Cruz Balanyá","Santa Cruz Balanyá","410"
"city_gt_411","base.gt","base.state_gt_cmt","Acatenango","Acatenango","411"
"city_gt_412","base.gt","base.state_gt_cmt","Yepocapa","Yepocapa","412"
"city_gt_413","base.gt","base.state_gt_cmt","San Andrés Iztapa","San Andrés Iztapa","413"
"city_gt_414","base.gt","base.state_gt_cmt","Parramos","Parramos","414"
"city_gt_415","base.gt","base.state_gt_cmt","Zaragoza","Zaragoza","415"
"city_gt_416","base.gt","base.state_gt_cmt","El Tejar","El Tejar","416"
"city_gt_501","base.gt","base.state_gt_esc","Escuintla","Escuintla","501"
"city_gt_502","base.gt","base.state_gt_esc","Santa Lucía Cotzumalguapa","Santa Lucía Cotzumalguapa","502"
"city_gt_503","base.gt","base.state_gt_esc","La Democracia","La Democracia","503"
"city_gt_504","base.gt","base.state_gt_esc","Siquinalá","Siquinalá","504"
"city_gt_505","base.gt","base.state_gt_esc","Masagua","Masagua","505"
"city_gt_506","base.gt","base.state_gt_esc","Tiquisate","Tiquisate","506"
"city_gt_507","base.gt","base.state_gt_esc","La Gomera","La Gomera","507"
"city_gt_508","base.gt","base.state_gt_esc","Guanagazapa","Guanagazapa","508"
"city_gt_509","base.gt","base.state_gt_esc","San José","San José","509"
"city_gt_510","base.gt","base.state_gt_esc","Iztapa","Iztapa","510"
"city_gt_511","base.gt","base.state_gt_esc","Palín","Palín","511"
"city_gt_512","base.gt","base.state_gt_esc","San Vicente Pacaya","San Vicente Pacaya","512"
"city_gt_513","base.gt","base.state_gt_esc","Nueva Concepción","Nueva Concepción","513"
"city_gt_601","base.gt","base.state_gt_sro","Cuilapa","Cuilapa","601"
"city_gt_602","base.gt","base.state_gt_sro","Barberena","Barberena","602"
"city_gt_603","base.gt","base.state_gt_sro","Santa Rosa de Lima","Santa Rosa de Lima","603"
"city_gt_604","base.gt","base.state_gt_sro","Casillas","Casillas","604"
"city_gt_605","base.gt","base.state_gt_sro","San Rafael Las Flores","San Rafael Las Flores","605"
"city_gt_606","base.gt","base.state_gt_sro","Oratorio","Oratorio","606"
"city_gt_607","base.gt","base.state_gt_sro","San Juan Tecuaco","San Juan Tecuaco","607"
"city_gt_608","base.gt","base.state_gt_sro","Chiquimulilla","Chiquimulilla","608"
"city_gt_609","base.gt","base.state_gt_sro","Taxisco","Taxisco","609"
"city_gt_610","base.gt","base.state_gt_sro","Santa María Ixhuatán","Santa María Ixhuatán","610"
"city_gt_611","base.gt","base.state_gt_sro","Guazacapán","Guazacapán","611"
"city_gt_612","base.gt","base.state_gt_sro","Santa Cruz Naranjo","Santa Cruz Naranjo","612"
"city_gt_613","base.gt","base.state_gt_sro","Pueblo Nuevo Viñas","Pueblo Nuevo Viñas","613"
"city_gt_614","base.gt","base.state_gt_sro","Nueva Santa Rosa","Nueva Santa Rosa","614"
"city_gt_701","base.gt","base.state_gt_sol","Sololá","Sololá","701"
"city_gt_702","base.gt","base.state_gt_sol","San José Chacayá","San José Chacayá","702"
"city_gt_703","base.gt","base.state_gt_sol","Santa María Visitación","Santa María Visitación","703"
"city_gt_704","base.gt","base.state_gt_sol","Santa Lucía Utatlán","Santa Lucía Utatlán","704"
"city_gt_705","base.gt","base.state_gt_sol","Nahualá","Nahualá","705"
"city_gt_706","base.gt","base.state_gt_sol","Santa Catarina Ixtahuacán","Santa Catarina Ixtahuacán","706"
"city_gt_707","base.gt","base.state_gt_sol","Santa Clara La Laguna","Santa Clara La Laguna","707"
"city_gt_708","base.gt","base.state_gt_sol","Concepción","Concepción","708"
"city_gt_709","base.gt","base.state_gt_sol","San Andrés Semetabaj","San Andrés Semetabaj","709"
"city_gt_710","base.gt","base.state_gt_sol","Panajachel","Panajachel","710"
"city_gt_711","base.gt","base.state_gt_sol","Santa Catarina Palopó","Santa Catarina Palopó","711"
"city_gt_712","base.gt","base.state_gt_sol","San Antonio Palopó","San Antonio Palopó","712"
"city_gt_713","base.gt","base.state_gt_sol","San Lucas Tolimán","San Lucas Tolimán","713"
"city_gt_714","base.gt","base.state_gt_sol","Santa Cruz La Laguna","Santa Cruz La Laguna","714"
"city_gt_715","base.gt","base.state_gt_sol","San Pablo La Laguna","San Pablo La Laguna","715"
"city_gt_716","base.gt","base.state_gt_sol","San Marcos La Laguna","San Marcos La Laguna","716"
"city_gt_717","base.gt","base.state_gt_sol","San Juan La Laguna","San Juan La Laguna","717"
"city_gt_718","base.gt","base.state_gt_sol","San Pedro La Laguna","San Pedro La Laguna","718"
"city_gt_719","base.gt","base.state_gt_sol","Santiago Atitlán","Santiago Atitlán","719"
"city_gt_801","base.gt","base.state_gt_tot","Totonicapán","Totonicapán","801"
"city_gt_802","base.gt","base.state_gt_tot","San Cristóbal Totonicapán","San Cristóbal Totonicapán","802"
"city_gt_803","base.gt","base.state_gt_tot","San Francisco El Alto","San Francisco El Alto","803"
"city_gt_804","base.gt","base.state_gt_tot","San Andrés Xecul","San Andrés Xecul","804"
"city_gt_805","base.gt","base.state_gt_tot","Momostenango","Momostenango","805"
"city_gt_806","base.gt","base.state_gt_tot","Santa María Chiquimula","Santa María Chiquimula","806"
"city_gt_807","base.gt","base.state_gt_tot","Santa Lucía La Reforma","Santa Lucía La Reforma","807"
"city_gt_808","base.gt","base.state_gt_tot","San Bartolo Aguas Calientes","San Bartolo Aguas Calientes","808"
"city_gt_901","base.gt","base.state_gt_que","Quetzaltenango","Quetzaltenango","901"
"city_gt_902","base.gt","base.state_gt_que","Salcajá","Salcajá","902"
"city_gt_903","base.gt","base.state_gt_que","Olintepeque","Olintepeque","903"
"city_gt_904","base.gt","base.state_gt_que","San Carlos Sija","San Carlos Sija","904"
"city_gt_905","base.gt","base.state_gt_que","Sibilia","Sibilia","905"
"city_gt_906","base.gt","base.state_gt_que","Cabricán","Cabricán","906"
"city_gt_907","base.gt","base.state_gt_que","Cajolá","Cajolá","907"
"city_gt_908","base.gt","base.state_gt_que","San Miguel Siguilá","San Miguel Siguilá","908"
"city_gt_909","base.gt","base.state_gt_que","San Juan Ostuncalco","San Juan Ostuncalco","909"
"city_gt_910","base.gt","base.state_gt_que","San Mateo","San Mateo","910"
"city_gt_911","base.gt","base.state_gt_que","Concepción Chiquirichapa","Concepción Chiquirichapa","911"
"city_gt_912","base.gt","base.state_gt_que","San Martín Sacatepéquez","San Martín Sacatepéquez","912"
"city_gt_913","base.gt","base.state_gt_que","Almolonga","Almolonga","913"
"city_gt_914","base.gt","base.state_gt_que","Cantel","Cantel","914"
"city_gt_915","base.gt","base.state_gt_que","Huitán","Huitán","915"
"city_gt_916","base.gt","base.state_gt_que","Zunil","Zunil","916"
"city_gt_917","base.gt","base.state_gt_que","Colomba","Colomba","917"
"city_gt_918","base.gt","base.state_gt_que","San Francisco La Unión","San Francisco La Unión","918"
"city_gt_919","base.gt","base.state_gt_que","El Palmar","El Palmar","919"
"city_gt_920","base.gt","base.state_gt_que","Coatepeque","Coatepeque","920"
"city_gt_921","base.gt","base.state_gt_que","Génova","Génova","921"
"city_gt_922","base.gt","base.state_gt_que","Flores Costa Cuca","Flores Costa Cuca","922"
"city_gt_923","base.gt","base.state_gt_que","La Esperanza","La Esperanza","923"
"city_gt_924","base.gt","base.state_gt_que","Palestina de los Altos","Palestina de los Altos","924"
"city_gt_1001","base.gt","base.state_gt_suc","Mazatenango","Mazatenango","1001"
"city_gt_1002","base.gt","base.state_gt_suc","Cuyotenango","Cuyotenango","1002"
"city_gt_1003","base.gt","base.state_gt_suc","San Francisco Zapotitlán","San Francisco Zapotitlán","1003"
"city_gt_1004","base.gt","base.state_gt_suc","San Bernardino","San Bernardino","1004"
"city_gt_1005","base.gt","base.state_gt_suc","San José El ídolo","San José El ídolo","1005"
"city_gt_1006","base.gt","base.state_gt_suc","Santo Domingo Suchitepéquez","Santo Domingo Suchitepéquez","1006"
"city_gt_1007","base.gt","base.state_gt_suc","San Lorenzo","San Lorenzo","1007"
"city_gt_1008","base.gt","base.state_gt_suc","Samayac","Samayac","1008"
"city_gt_1009","base.gt","base.state_gt_suc","San Pablo Jocopilas","San Pablo Jocopilas","1009"
"city_gt_1010","base.gt","base.state_gt_suc","San Antonio Suchitepéquez","San Antonio Suchitepéquez","1010"
"city_gt_1011","base.gt","base.state_gt_suc","San Miguel Panán","San Miguel Panán","1011"
"city_gt_1012","base.gt","base.state_gt_suc","San Gabriel","San Gabriel","1012"
"city_gt_1013","base.gt","base.state_gt_suc","Chicacao","Chicacao","1013"
"city_gt_1014","base.gt","base.state_gt_suc","Patulul","Patulul","1014"
"city_gt_1015","base.gt","base.state_gt_suc","Santa Bárbara","Santa Bárbara","1015"
