"id","name","sequence","auto_apply","vat_required","country_id","country_group_id","tax_ids/tax_src_id","tax_ids/tax_dest_id"
"fiscal_position_mt_exempt","Exempt taxpayer","","","","","","VAT_S_IN_MT_18_G","VAT_S_IN_MT_IC_NEU_0"
"","","","","","","","VAT_S_IN_MT_18_S","VAT_S_IN_MT_IC_NEU_0"
"","","","","","","","VAT_S_IN_MT_7_G","VAT_S_IN_MT_IC_NEU_0"
"","","","","","","","VAT_S_IN_MT_7_S","VAT_S_IN_MT_IC_NEU_0"
"","","","","","","","VAT_S_IN_MT_5_G","VAT_S_IN_MT_IC_NEU_0"
"","","","","","","","VAT_P_IN_MT_18_G","VAT_P_IN_MT_RC_0_IC_G"
"","","","","","","","VAT_P_IN_MT_18_S","VAT_P_IN_MT_RC_0_IC_G"
"","","","","","","","VAT_P_IN_MT_7_S","VAT_P_IN_MT_RC_0_IC_G"
"","","","","","","","VAT_P_IN_MT_5_G","VAT_P_IN_MT_RC_0_IC_G"
"","","","","","","","VAT_P_IN_MT_5_S","VAT_P_IN_MT_RC_0_IC_G"
"fiscal_position_mt_national","Domestic","10","1","1","base.mt","","",""
"fiscal_position_mt_person_private","Partner private","20","1","","","base.europe","",""
"fiscal_position_mt_eu","EU partner","30","1","1","","base.europe","VAT_S_IN_MT_18_G","VAT_S_IN_MT_IC_NEU_0"
"","","","","","","","VAT_S_IN_MT_18_S","VAT_S_IN_MT_IC_NEU_0"
"","","","","","","","VAT_S_IN_MT_7_G","VAT_S_IN_MT_IC_NEU_0"
"","","","","","","","VAT_S_IN_MT_7_S","VAT_S_IN_MT_IC_NEU_0"
"","","","","","","","VAT_S_IN_MT_5_G","VAT_S_IN_MT_IC_NEU_0"
"","","","","","","","VAT_P_IN_MT_18_G","VAT_P_IN_MT_RC_0_S_EU"
"","","","","","","","VAT_P_IN_MT_18_S","VAT_P_IN_MT_RC_0_S_EU"
"","","","","","","","VAT_P_IN_MT_7_S","VAT_P_IN_MT_RC_0_S_EU"
"","","","","","","","VAT_P_IN_MT_5_G","VAT_P_IN_MT_RC_0_S_EU"
"","","","","","","","VAT_P_IN_MT_5_S","VAT_P_IN_MT_RC_0_S_EU"
"fiscal_position_mt_eu_out","Partner outside the EU","40","1","","","","VAT_S_IN_MT_18_G","VAT_S_IN_MT_IC_NEU_0_OUT"
"","","","","","","","VAT_S_IN_MT_18_S","VAT_S_IN_MT_IC_NEU_0_OUT"
"","","","","","","","VAT_S_IN_MT_7_G","VAT_S_IN_MT_IC_NEU_0_OUT"
"","","","","","","","VAT_S_IN_MT_7_S","VAT_S_IN_MT_IC_NEU_0_OUT"
"","","","","","","","VAT_S_IN_MT_5_G","VAT_S_IN_MT_IC_NEU_0_OUT"
"","","","","","","","VAT_P_IN_MT_18_G","VAT_P_IN_MT_IC_NEU_0_OTHER"
"","","","","","","","VAT_P_IN_MT_18_S","VAT_P_IN_MT_IC_NEU_0_OTHER"
"","","","","","","","VAT_P_IN_MT_7_S","VAT_P_IN_MT_IC_NEU_0_OTHER"
"","","","","","","","VAT_P_IN_MT_5_G","VAT_P_IN_MT_IC_NEU_0_OTHER"
"","","","","","","","VAT_P_IN_MT_5_S","VAT_P_IN_MT_IC_NEU_0_OTHER"
