id,opcion_texto,pregunta_id/id
evaluaciones.opcion_53,Nivel 2: En desarrollo,evaluaciones.pregunta_11
evaluaciones.opcion_54,Nivel 3: En competente,evaluaciones.pregunta_11
evaluaciones.opcion_55,Nivel 4: Experto,evaluaciones.pregunta_11
evaluaciones.opcion_56,Nivel 0: Carece de competencia,evaluaciones.pregunta_12
evaluaciones.opcion_57,Nivel 1: No demostrada,evaluaciones.pregunta_12
evaluaciones.opcion_58,Nivel 2: En desarrollo,evaluaciones.pregunta_12
evaluaciones.opcion_59,Nivel 3: En competente,evaluaciones.pregunta_12
evaluaciones.opcion_60,Nivel 4: Experto,evaluaciones.pregunta_12
evaluaciones.opcion_61,Nivel 0: Carece de competencia,evaluaciones.pregunta_13
evaluaciones.opcion_62,Nivel 1: No demostrada,evaluaciones.pregunta_13
evaluaciones.opcion_63,Nivel 2: En desarrollo,evaluaciones.pregunta_13
evaluaciones.opcion_64,Nivel 3: En competente,evaluaciones.pregunta_13
evaluaciones.opcion_65,Nivel 4: Experto,evaluaciones.pregunta_13
evaluaciones.opcion_66,Nivel 0: Carece de competencia,evaluaciones.pregunta_14
evaluaciones.opcion_67,Nivel 1: No demostrada,evaluaciones.pregunta_14
evaluaciones.opcion_68,Nivel 2: En desarrollo,evaluaciones.pregunta_14
evaluaciones.opcion_69,Nivel 3: En competente,evaluaciones.pregunta_14
evaluaciones.opcion_70,Nivel 4: Experto,evaluaciones.pregunta_14
evaluaciones.opcion_71,Nivel 0: Carece de competencia,evaluaciones.pregunta_15
evaluaciones.opcion_72,Nivel 1: No demostrada,evaluaciones.pregunta_15
evaluaciones.opcion_73,Nivel 2: En desarrollo,evaluaciones.pregunta_15
evaluaciones.opcion_74,Nivel 3: En competente,evaluaciones.pregunta_15
evaluaciones.opcion_75,Nivel 4: Experto,evaluaciones.pregunta_15
evaluaciones.opcion_76,Nivel 0: Carece de competencia,evaluaciones.pregunta_16
evaluaciones.opcion_77,Nivel 1: No demostrada,evaluaciones.pregunta_16
evaluaciones.opcion_78,Nivel 2: En desarrollo,evaluaciones.pregunta_16
evaluaciones.opcion_79,Nivel 3: En competente,evaluaciones.pregunta_16
evaluaciones.opcion_80,Nivel 4: Experto,evaluaciones.pregunta_16
evaluaciones.opcion_81,Nivel 0: Carece de competencia,evaluaciones.pregunta_17
evaluaciones.opcion_82,Nivel 1: No demostrada,evaluaciones.pregunta_17
evaluaciones.opcion_83,Nivel 2: En desarrollo,evaluaciones.pregunta_17
evaluaciones.opcion_84,Nivel 3: En competente,evaluaciones.pregunta_17
evaluaciones.opcion_85,Nivel 4: Experto,evaluaciones.pregunta_17
evaluaciones.opcion_86,Nivel 0: Carece de competencia,evaluaciones.pregunta_18
evaluaciones.opcion_87,Nivel 1: No demostrada,evaluaciones.pregunta_18
evaluaciones.opcion_88,Nivel 2: En desarrollo,evaluaciones.pregunta_18
evaluaciones.opcion_89,Nivel 3: En competente,evaluaciones.pregunta_18
evaluaciones.opcion_90,Nivel 4: Experto,evaluaciones.pregunta_18
evaluaciones.opcion_91,Nivel 0: Carece de competencia,evaluaciones.pregunta_19
evaluaciones.opcion_92,Nivel 1: No demostrada,evaluaciones.pregunta_19
evaluaciones.opcion_93,Nivel 2: En desarrollo,evaluaciones.pregunta_19
evaluaciones.opcion_94,Nivel 3: En competente,evaluaciones.pregunta_19
evaluaciones.opcion_95,Nivel 4: Experto,evaluaciones.pregunta_19
evaluaciones.opcion_96,Nivel 0: Carece de competencia,evaluaciones.pregunta_20
evaluaciones.opcion_97,Nivel 1: No demostrada,evaluaciones.pregunta_20
