"id","country_id","name","tax_receivable_account_id","tax_payable_account_id"
"ae_tax_group_5","base.ae","VAT 5%","uae_account_100103","uae_account_202003"
"ae_tax_group_0","base.ae","VAT 0%","uae_account_100103","uae_account_202003"
"ae_tax_group_exempted","base.ae","VAT Exempted","uae_account_100103","uae_account_202003"
