"id","account_asset_id","account_depreciation_id","account_depreciation_expense_id","name","method_number","method_period","name@de"
"asset_commercial_buildings_ol","account_0090","account_0099","account_4831","Commercial Buildings (Commercial, Own Land)","33","12","Gewerbeimmobilien (Gewerbe, eigenes Grundstück)"
"asset_industrial_buildings_ol","account_0100","account_0109","account_4831","Industrial buildings (Industrial, Own Land)","33","12","Industriegebäude (Industrie, eigenes Grundstück)"
"asset_garages_commercial_ol","account_0110","account_0099","account_4831","Garages (Commercial, Own Land)","20","12","Garagen (gewerblich, eigenes Grundstück)"
"asset_outdoor_facilities_commercial_ol","account_0111","account_0099","account_4831","Outdoor facilities (Commercial, Own Land)","10","12","Außenanlagen (gewerblich, eigenes Grundstück)"
"asset_paved_courtyards_commercial_ol","account_0112","account_0099","account_4831","Paved courtyards and other paved surfaces (Commercial, Own Land)","19","12","Gepflasterte Innenhöfe und andere gepflasterte Flächen (gewerblich, eigenes Grundstück)"
"asset_fixtures_in_commercial_and_industrial_buildings_ol","account_0113","account_0099","account_4831","Fixtures in commercial and industrial buildings (Commercial, Own Land)","10","12","Einbauten in Gewerbe- und Industriegebäuden (Gewerbe, eigenes Grundstück)"
"asset_other_buildings_commercial_ol","account_0115","account_0099","account_4831","Other buildings (Commercial, Own Land)","33","12","Sonstige Gebäude (Gewerbe, eigenes Grundstück)"
"asset_residential_buildings_ol","account_0140","account_0141","account_4831","Residential buildings (Residential, Own Land)","50","12","Wohngebäude (Wohngebäude, eigenes Grundstück)"
"asset_garages_residential_ol","account_0145","account_0141","account_4831","Garages (Residential, Own Land)","20","12","Garagen (Wohngebäude, eigenes Grundstück)"
"asset_outdoor_facilities_residential_ol","account_0146","account_0141","account_4831","Outdoor facilities (Residential, Own Land)","10","12","Außenanlagen (Wohngebäude, eigenes Grundstück)"
"asset_paved_courtyards_residential_ol","account_0147","account_0141","account_4831","Paved courtyards and other paved surfaces (Residential, Own Land)","19","12","Gepflasterte Innenhöfe und andere gepflasterte Flächen (Wohngebäude, eigenes Grundstück)"
"asset_fixtures_in_residential_buildings_ol","account_0148","account_0141","account_4831","Fixtures in residential buildings (Residential, Own Land)","10","12","Einbauten in Wohngebäuden (Wohngebäude, eigenes Grundstück)"
"asset_commercial_buildings_tp","account_0165","account_0169","account_4831","Commercial buildings (Commercial, Third-Party)","33","12","Gewerbliche Gebäude (gewerblich, Dritte)"
"asset_industrial_buildings_tp","account_0170","account_0171","account_4831","Industrial buildings (Industrial, Third-Party)","33","12","Industriegebäude (Industrie, Dritte)"
"asset_garages_commercial_tp","account_0175","account_0169","account_4831","Garages (Commercial, Third-Party)","20","12","Garagen (gewerblich, Dritte)"
"asset_outdoor_facilities_commercial_tp","account_0176","account_0169","account_4831","Outdoor facilities (Commercial, Third-Party)","10","12","Außenanlagen (gewerblich, Dritte)"
"asset_paved_courtyards_commercial_tp","account_0177","account_0169","account_4831","Paved courtyards and other paved surfaces (Commercial, Third-Party)","19","12","Gepflasterte Innenhöfe und andere gepflasterte Flächen (gewerblich, Dritte)"
"asset_fixtures_in_commercial_and_industrial_buildings_tp","account_0178","account_0169","account_4831","Fixtures in commercial and industrial buildings (Commercial, Third-Party)","10","12","Einbauten in Gewerbe- und Industriegebäuden (gewerblich, Dritte)"
"asset_other_buildings_commercial_tp","account_0179","account_0169","account_4831","Other buildings (Commercial, Third-Party)","33","12","Sonstige Gebäude (gewerblich, Dritte)"
"asset_residential_buildings_tp","account_0190","account_0198","account_4831","Residential buildings (Residential, Third-Party)","50","12","Wohngebäude (Wohnzwecke, Dritte)"
"asset_garages_residential_tp","account_0191","account_0198","account_4831","Garages (Residential, Third-Party)","20","12","Garagen (Wohngebäude, Dritte)"
"asset_outdoor_facilities_residential_tp","account_0192","account_0198","account_4831","Outdoor facilities (Residential, Third-Party)","10","12","Außenanlagen (Wohnanlagen, Dritte)"
"asset_paved_courtyards_residential_tp","account_0193","account_0198","account_4831","Paved courtyards and other paved surfaces (Residential, Third-Party)","19","12","Gepflasterte Innenhöfe und andere gepflasterte Flächen (Wohngebäude, Dritte)"
"asset_fixtures_in_residential_buildings_tp","account_0194","account_0198","account_4831","Fixtures in residential buildings (Residential, Third-Party)","10","12","Einbauten in Wohngebäuden (Wohngebäude, Dritte)"
"asset_machinery","account_0210","account_0219","account_4830","Machinery","10","12","Maschinen"
"asset_machine_tools","account_0220","account_0229","account_4830","Machine tools","10","12","Werkzeugmaschinen"
"asset_transportation","account_0260","account_0269","account_4830","Transportation and similar systems","14","12","Transportwesen und ähnliche Systeme"
"asset_operating_facilities","account_0280","account_0289","account_4830","Operating facilities","10","12","Betriebsanlagen"
"asset_passenger_cars","account_0320","account_0329","account_4832","Passenger cars","6","12","Personenkraftwagen"
"asset_heavy_goods_vehicles","account_0350","account_0359","account_4832","Heavy goods vehicles","9","12","Schwerlastfahrzeuge"
"asset_other_transportation_resources","account_0380","account_0389","account_4832","Other transportation resources","7","12","Andere Transportmittel"
"asset_motorbike","account_03801","account_0389","account_4832","Motorbike","7","12","Motorrad"
"asset_e_bike","account_03802","account_0389","account_4832","E-Bike","3","12","E-Bike"
"asset_trailer","account_03803","account_0389","account_4830","Trailer","8","12","Anhänger"
"asset_bicycle","account_03804","account_0389","account_4830","Bicycle","7","12","Fahrrad"
"asset_office_equipment","account_0410","account_0419","account_4830","Office equipment","1","12","Büroausstattung"
"asset_coffee_machine","account_04101","account_0419","account_4830","Coffee Machine","5","12","Kaffeemaschine"
"asset_printer","account_04102","account_0419","account_4830","Printer","7","12","Drucker"
"asset_office_fittings","account_0420","account_0429","account_4830","Office fittings","13","12","Büroeinrichtungen"
"asset_shop_fittings","account_0430","account_0439","account_4830","Shop fittings","8","12","Ladeneinrichtungen"
"asset_tools","account_0440","account_0449","account_4830","Tools","5","12","Werkzeuge"
"asset_scaffolding_and_fromwork_materials","account_0460","account_0469","account_4830","Scaffolding and formwork materials","5","12","Gerüst- und Schalungsmaterialien"
"asset_low_value_assets","account_0480","account_0484","account_4830","Low-value assets","1","12","Geringwertige Vermögenswerte"
"asset_collective_item","account_0485","account_0489","account_4830","Assets (collective item)","5","12","Vermögenswerte (kollektiver Posten)"
"asset_other_rights_and_assets","account_0025","account_0026","account_4822","Other rights and assets","5","12","Sonstige Rechte und Vermögenswerte"
"asset_computer_software","account_0027","account_0029","account_4822","Computer software","1","12","Computersoftware"
asset_licences_in_industrial_and_similar_rights,"account_0030","account_0034","account_4822","Licences in industrial and similar rights and assets","5","12","Lizenzen für gewerbliche und ähnliche Rechte und Vermögenswerte"
"asset_goodwill","account_0035","account_0036","account_4822","Goodwill","15","12","Goodwill"
