id,c_banco,name,bic
catalogos_banco1,002,BANAMEX,BNM840515VB1
catalogos_banco2,006,BANCOMEXT,
catalogos_banco3,009,BANOBRAS,
catalogos_banco4,012,BBVA BANCOMER,BBA830831LJ2
catalogos_banco5,014,SANTANDER,BSM970519DU8
catalogos_banco6,019,BANJERCITO,BNE820901682
catalogos_banco7,021,HSBC,HMI950125KG8
catalogos_banco8,030,BAJIO,BBA940707IE1
catalogos_banco9,032,IXE,IBA950503GTA
catalogos_banco10,036,INBURSA,BII931004P61
catalogos_banco11,037,INTERACCIONES,ICB8704228S8
catalogos_banco12,042,MIFEL,BMI9312038R3
catalogos_banco13,044,SCOTIABANK,SIN9412025I4
catalogos_banco14,058,BANREGIO,BRM940216EQ6
catalogos_banco15,059,INVEX,BIN940223KE0
catalogos_banco16,060,BANSI,BAN950525MD6
catalogos_banco17,062,AFIRME,BAF950102JP5
catalogos_banco18,072,BANORTE/IXE,BMN930209927
catalogos_banco19,102,THE ROYAL BANK
catalogos_banco20,103,AMERICAN EXPRESS,AEB960223JP7
catalogos_banco21,106,BAMSA,
catalogos_banco22,108,TOKYO,BTM960401DV7
catalogos_banco23,110,JP MORGAN,
catalogos_banco24,112,BMONEX,BMI9704113PA
catalogos_banco25,113,VE POR MAS,BVM951002LX0
catalogos_banco26,116,ING,
catalogos_banco27,124,DEUTSCHE,
catalogos_banco28,126,CREDIT SUISSE,
catalogos_banco29,127,AZTECA,BAI0205236Y8,
catalogos_banco30,128,AUTOFIN,
catalogos_banco31,129,BARCLAYS,
catalogos_banco32,130,COMPARTAMOS,BCI001030ECA
catalogos_banco33,131,BANCO FAMSA,40131
catalogos_banco34,132,BMULTIVA,BMI061005NY5
catalogos_banco35,133,ACTINVER,PBI061115SC6
catalogos_banco36,134,WAL-MART,BWM0611132A9
catalogos_banco37,135,NAFIN,
catalogos_banco38,136,INTERCAM BANCO,IFO9409288P6
catalogos_banco39,137,BANCOPPEL,BSI061110963
catalogos_banco40,138,ABC CAPITAL,
catalogos_banco41,139,UBS BANK,
catalogos_banco42,140,CONSUBANCO,
catalogos_banco43,141,VOLKSWAGEN,
catalogos_banco44,143,CIBANCO,CIB850918BN8
catalogos_banco45,145,BBASE,
catalogos_banco46,147,BANKAOOL,
catalogos_banco47,148,PAGATODO,
catalogos_banco48,149,FORJADORES,
catalogos_banco49,150,INMOBILIARIO,
catalogos_banco50,151,DONDÉ,
catalogos_banco51,152,BANCREA,BBA130722BR7
catalogos_banco52,153,PROGRESO,
catalogos_banco53,154,BANCO FINTERRA,
catalogos_banco54,155,ICBC,
catalogos_banco55,156,SABADELL,
catalogos_banco56,157,SHINHAN,
catalogos_banco57,158,MIZUHO BANK,
catalogos_banco58,159,BANK OF CHINA,
catalogos_banco59,160,BANCO S3,
catalogos_banco60,166,BANSEFI,
catalogos_banco61,168,HIPOTECARIA FEDERAL,
catalogos_banco62,600,MONEXCB,
catalogos_banco63,601,GBM,
catalogos_banco64,602,MASARI,
catalogos_banco65,605,VALUE,
catalogos_banco66,606,ESTRUCTURADORES,
catalogos_banco67,607,TIBER,
catalogos_banco68,608,VECTOR,
catalogos_banco69,610,B&B,
catalogos_banco70,614,ACCIVAL,
catalogos_banco71,615,MERRILL LYNCH,
catalogos_banco72,616,FINAMEX,
catalogos_banco73,617,VALMEX,
catalogos_banco74,618,UNICA,
catalogos_banco75,619,MAPFRE,
catalogos_banco76,620,PROFUTURO,
catalogos_banco77,621,CB ACTINVER,
catalogos_banco78,622,OACTIN,
catalogos_banco79,623,SKANDIA,
catalogos_banco80,626,CBDEUTSCHE,
catalogos_banco81,627,ZURICH,
catalogos_banco82,628,ZURICHVI,
catalogos_banco83,629,SU CASITA,
catalogos_banco84,630,CB INTERCAM,
catalogos_banco85,631,CI BOLSA,
catalogos_banco86,632,BULLTICK CB,
catalogos_banco87,633,STERLING,
catalogos_banco88,634,FINCOMUN,
catalogos_banco89,636,HDI SEGUROS,
catalogos_banco90,637,ORDER,
catalogos_banco91,638,AKALA,
catalogos_banco92,640,CB JPMORGAN,
catalogos_banco93,642,REFORMA,
catalogos_banco94,646,STP,
catalogos_banco95,647,TELECOMM,
catalogos_banco96,648,EVERCORE,
catalogos_banco97,649,SKANDIA,
catalogos_banco98,651,SEGMTY,
catalogos_banco99,652,ASEA,
catalogos_banco100,653,KUSPIT,
catalogos_banco101,655,SOFIEXPRESS,
catalogos_banco102,656,UNAGRA,
catalogos_banco103,659,OPCIONES EMPRESARIALES DEL NOROESTE,
catalogos_banco104,670,LIBERTAD,
catalogos_banco105,901,CLS,
catalogos_banco106,902,INDEVAL,
