"id","sequence","name","auto_apply","vat_required","country_id","country_group_id"
"l10n_bf_domestic_fiscal_position","1","BF Domestic","1","","base.bf",""
"fiscal_position_template_1","1","National","1","","base.bf",""
"fiscal_position_template_2","3","International","1","","",""
