"id","code_bc","name","short_name","bic","country:id","ispb_number","compe_member"
"res_bank_001","001","Banco do Brasil S.A.","BCO DO BRASIL S.A.","BRASBRRJ","base.br","00000000","1"
"res_bank_003","003","BANCO DA AMAZONIA S.A.","BCO DA AMAZONIA S.A.","AMABBRAB","base.br","04902979","1"
"res_bank_004","004","Banco do Nordeste do Brasil S.A.","BCO DO NORDESTE DO BRASIL S.A.","BNBRBRCF","base.br","07237373","1"
"res_bank_007","007","BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL","BNDES",,"base.br","33657248","0"
"res_bank_010","010","CREDICOAMO CREDITO RURAL COOPERATIVA","CREDICOAMO",,"base.br","81723108","1"
"res_bank_011","011","CREDIT SUISSE HEDGING-GRIFFO CORRETORA DE VALORES S.A","C.SUISSE HEDGING-GRIFFO CV S/A",,"base.br","61809182","0"
"res_bank_012","012","Banco Inbursa S.A.","BANCO INBURSA","SBLLBRSP","base.br","04866275","0"
"res_bank_014","014","STATE STREET BRASIL S.A. ? BANCO COMERCIAL","STATE STREET BR S.A. BCO COMERCIAL",,"base.br","09274232","0"
"res_bank_015","015","UBS Brasil Corretora de Câmbio, Títulos e Valores Mobiliários S.A.","UBS BRASIL CCTVM S.A.",,"base.br","02819125","0"
"res_bank_016","016","COOPERATIVA DE CRÉDITO MÚTUO DOS DESPACHANTES DE TRÂNSITO DE SANTA CATARINA E RI","SICOOB CREDITRAN",,"base.br","04715685","0"
"res_bank_017","017","BNY Mellon Banco S.A.","BNY MELLON BCO S.A.",,"base.br","42272526","1"
"res_bank_018","018","Banco Tricury S.A.","BCO TRICURY S.A.",,"base.br","57839805","1"
"res_bank_021","021","BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO","BCO BANESTES S.A.","BEESBRRJ","base.br","28127603","1"
"res_bank_024","024","Banco Bandepe S.A.","BCO BANDEPE S.A.",,"base.br","10866788","0"
"res_bank_025","025","Banco Alfa S.A.","BCO ALFA S.A.","AUFABRSP","base.br","03323840","1"
"res_bank_029","029","Banco Itaú Consignado S.A.","BANCO ITAÚ CONSIGNADO S.A.","BERJBRRJ","base.br","33885724","0"
"res_bank_033","033","BANCO SANTANDER (BRASIL) S.A.","BCO SANTANDER (BRASIL) S.A.","ABNABRSP","base.br","90400888","1"
"res_bank_036","036","Banco Bradesco BBI S.A.","BCO BBI S.A.",,"base.br","06271464","1"
"res_bank_037","037","Banco do Estado do Pará S.A.","BCO DO EST. DO PA S.A.","BEPABRAB","base.br","04913711","1"
"res_bank_040","040","Banco Cargill S.A.","BCO CARGILL S.A.","BCBZBRSP","base.br","03609817","0"
"res_bank_041","041","Banco do Estado do Rio Grande do Sul S.A.","BCO DO ESTADO DO RS S.A.","BRGSBRRS","base.br","92702067","1"
"res_bank_047","047","Banco do Estado de Sergipe S.A.","BCO DO EST. DE SE S.A.","SEEBBRR1","base.br","13009717","1"
"res_bank_060","060","Confidence Corretora de Câmbio S.A.","CONFIDENCE CC S.A.",,"base.br","04913129","0"
"res_bank_062","062","Hipercard Banco Múltiplo S.A.","HIPERCARD BM S.A.",,"base.br","03012230","1"
"res_bank_063","063","Banco Bradescard S.A.","BANCO BRADESCARD",,"base.br","04184779","1"
