id,ibge_code
base.state_br_ro,11
base.state_br_ac,12
base.state_br_am,13
base.state_br_rr,14
base.state_br_pa,15
base.state_br_ap,16
base.state_br_to,17
base.state_br_ma,21
base.state_br_pi,22
base.state_br_ce,23
base.state_br_rn,24
base.state_br_pb,25
base.state_br_pe,26
base.state_br_al,27
base.state_br_se,28
base.state_br_ba,29
base.state_br_mg,31
base.state_br_es,32
base.state_br_rj,33
base.state_br_sp,35
base.state_br_pr,41
base.state_br_sc,42
base.state_br_rs,43
base.state_br_ms,50
base.state_br_mt,51
base.state_br_go,52
base.state_br_df,53
