"id","l10n_sa_exemption_reason_code"
"sa_local_sales_tax_0","VATEX-SA-OOS"
"sa_export_sales_tax_0","VATEX-SA-32"
"sa_export_services_tax_0","VATEX-SA-33"
"sa_international_transport_goods_tax_0","VATEX-SA-34-1"
"sa_international_transport_passengers_tax_0","VATEX-SA-34-2"
"sa_international_transport_passengers_services_tax_0","VATEX-SA-34-3"
"sa_qualifying_transport_tax_0","VATEX-SA-34-4"
"sa_any_goods_passengers_transport_tax_0","VATEX-SA-34-5"
"sa_medicines_tax_0","VATEX-SA-35"
"sa_qualifying_metals_tax_0","VATEX-SA-36"
"sa_private_education_tax_0","VATEX-SA-EDU"
"sa_private_healthcare_tax_0","VATEX-SA-HEA"
"sa_exempt_sales_tax_0","VATEX-SA-29"
"sa_exempt_life_insurance_tax_0","VATEX-SA-29-7"
"sa_exempt_real_estate_tax_0","VATEX-SA-30"
