"id","name","country_id",tax_payable_account_id,tax_receivable_account_id,"name@lv"
"tax_group_vat_0","VAT 0%","base.lv",a57211,a2345,"PVN 0%"
"tax_group_vat_exempt","W/O VAT","base.lv",a57211,a2345,"BEZ PVN"
"tax_group_vat_5","VAT 5%","base.lv",a57211,a2345,"PVN 5%"
"tax_group_vat_12","VAT 12%","base.lv",a57211,a2345,"PVN 12%"
"tax_group_vat_21","VAT 21%","base.lv",a57211,a2345,"PVN 21%"
