"id","name","auto_apply","country_id","sequence","name@es"
"l10n_pe_domestic_fiscal_position","PE Domestic","1","base.pe","15","LOCAL PERÚ"
"local_peru","LOCAL PERU","1","base.pe","15","LOCAL PERÚ"
"exportation","FOREIGN - EXPORT","1","","10","EXTRANJERO - EXPORTACIÓN"
