".id","id","account_ids","account_ids/account_dest_id","account_ids/account_dest_id.id","account_ids/account_dest_id/id","account_ids.id","account_ids/position_id","account_ids/position_id.id","account_ids/position_id/id","account_ids/id","account_ids/account_src_id","account_ids/account_src_id.id","account_ids/account_src_id/id","tax_ids","tax_ids.id","tax_ids/position_id","tax_ids/id","tax_ids/tax_src_id","tax_ids/tax_src_id.id","tax_ids/tax_src_id/id","tax_ids/tax_dest_id","tax_ids/tax_dest_id.id","tax_ids/tax_dest_id/id","name","chart_template_id","chart_template_id.id","chart_template_id/id"
"1","__export__.account_fiscal_position_template_1","","","","","","","","","","","","","","","","","","","","","","","Domaći R1 partneri","RRIF-ov računski plan za poduzetnike","3","l10n_hr.l10n_hr_chart_template_rrif"
"2","__export__.account_fiscal_position_template_2","R2 partneri,R2 partneri","1200 Potraživanja od kupaca dobara","5026","l10n_hr.kp_rrif1200","1","R2 partneri","2","__export__.account_fiscal_position_template_2","__export__.account_fiscal_position_account_template_1","1200 Potraživanja od kupaca dobara","5026","l10n_hr.kp_rrif1200","R2 partneri,R2 partneri,R2 partneri,R2 partneri","1","R2 partneri","__export__.account_fiscal_position_tax_template_1","PDV 25%","94","l10n_hr.rrif_pdv_25","PDV 25%","94","l10n_hr.rrif_pdv_25","R2 partneri","RRIF-ov računski plan za poduzetnike","3","l10n_hr.l10n_hr_chart_template_rrif"
"3","__export__.account_fiscal_position_template_3","Inozemni,Inozemni","1210 Kupci dobara iz inozemstva","5037","l10n_hr.kp_rrif1210","3","Inozemni","3","__export__.account_fiscal_position_template_3","__export__.account_fiscal_position_account_template_3","1200 Potraživanja od kupaca dobara","5026","l10n_hr.kp_rrif1200","Inozemni,Inozemni,Inozemni,Inozemni","5","Inozemni","__export__.account_fiscal_position_tax_template_5","PDV 25%","94","l10n_hr.rrif_pdv_25","2.1. IZVOZNE - s pravom na odbit","109","l10n_hr.rrif_pdv_osl_izvoz_0","Inozemni","RRIF-ov računski plan za poduzetnike","3","l10n_hr.l10n_hr_chart_template_rrif"
