id,l10n_ke_quantity_unit_id/id
uom.product_uom_litre,code_10_L
uom.product_uom_unit,code_10_U
uom.product_uom_dozen,code_10_DZ
uom.product_uom_cm,code_10_CMT
uom.product_uom_gram,code_10_GRM
uom.product_uom_gal,code_10_GLL
uom.product_uom_kgm,code_10_KG
uom.product_uom_km,code_10_KTM
uom.product_uom_lb,code_10_LBR
uom.product_uom_meter,code_10_M
uom.product_uom_cubic_meter,code_10_M3
uom.uom_square_meter,code_10_M2
uom.product_uom_yard,code_10_YRD
