"id","l10n_es_edi_facturae_uom_code"
uom.product_uom_unit,01
uom.product_uom_dozen,18
uom.product_uom_hour,02
uom.product_uom_meter,25
uom.product_uom_millimeter,26
uom.product_uom_km,22
uom.product_uom_cm,16
uom.uom_square_meter,05
uom.product_uom_litre,04
uom.product_uom_cubic_meter,33
uom.product_uom_kgm,03
uom.product_uom_gram,21
uom.product_uom_ton,05
