"id","name","country_id","name@es"
"tax_group_7","ITBMS 7%","base.pa","ITBMS 7%"
"tax_group_10","ITBMS 10%","base.pa","ITBMS 10%"
"tax_group_15","ITBMS 15%","base.pa","ITBMS 15%"
"tax_group_exempt","ITBMS Exempt","base.pa","ITBMS Exento"
"tax_group_0","ITBMS 0%","base.pa","ITBMS 0%"
"tax_group_non_taxable","ITBMS Non-taxable","base.pa","ITBMS No Gravado"
"tax_group_isc","ISC","base.pa","ISC"
"tax_group_oti","Other Taxes and Levies (OTI)","base.pa","Otras Tasas o Impuestos (OTI)"
