"id","name","country_id","auto_apply","sequence","name@es"
"fp_local","National","base.pa","True","10","Nacional"
"fp_foreign","Foreign (Exports/Imports)","","True","20","Extranjero (Exportación/Importación)"
"fp_zona_franca","Free Zone (Colon Free Zone and others)","","False","30","Zona Franca (Zona Libre de Colón y otras)"
