"id","l10n_ec_code_ats","l10n_ec_code_tax_haven"
"base.ad","233","052"
"base.ae","333","018"
"base.af","301",""
"base.ag","134","002"
"base.ai","109","001"
"base.al","201","057"
"base.am","356",""
"base.ao","454","058"
"base.aq","606",""
"base.ar","101",""
"base.as","075","075"
"base.at","203",""
"base.au","501",""
"base.aw","141","004"
"base.ax","428",""
"base.az","347",""
"base.ba","242",""
"base.bb","130","005"
"base.bd","238",""
"base.be","204",""
"base.bf","402",""
"base.bg","205",""
"base.bh","327",""
"base.bi","404",""
"base.bj","429",""
"base.bl","590",""
"base.bm","142","007"
"base.bn","344","009"
"base.bo","102",""
"base.bq","215","008"
"base.br","103",""
"base.bs","129","012"
"base.bt","329",""
"base.bv","74",""
"base.bw","430",""
"base.by","241",""
"base.bz","135","006"
"base.ca","104",""
"base.cc","518","027"
"base.cf","431",""
"base.cg","406",""
"base.ch","227",""
"base.ci","432",""
"base.ck","519","028"
"base.cl","108",""
"base.cm","405",""
"base.cn","331",""
"base.co","105",""
"base.cr","106",""
"base.cu","107",""
"base.cv","456","059"
"base.cw","127","013"
"base.cx","520","026"
"base.cy","332",""
"base.cz","599","086"
"base.de","202",""
"base.dj","459","061"
"base.dk","208",""
"base.dm","136","042"
"base.do","122",""
"base.dz","403",""
"base.ec","593",""
"base.ee","245",""
"base.eg","433",""
"base.eh","447",""
"base.er","463",""
"base.es","209",""
"base.et","407",""
"base.fi","212",""
"base.fj","506",""
"base.fk","600",""
"base.fm","512",""
"base.fo","253",""
"base.fr","211",""
"base.ga","435",""
"base.gd","131","014"
"base.ge","246",""
"base.gf","144",""
"base.gh","436",""
"base.gi","239","011"
"base.gg","831","031"
"base.gl","247","021"
"base.gm","408",""
"base.gn","409",""
"base.gp","143",""
"base.gq","438",""
"base.gr","214",""
"base.gt","111",""
"base.gu","517","022"
"base.gw","437",""
"base.gy","132","056"
"base.hk","354","089"
"base.hm","343",""
"base.hn","113",""
"base.hr","243",""
"base.ht","112",""
"base.hu","216",""
"base.id","310",""
"base.ie","217",""
"base.il","313",""
"base.im","833","029"
"base.in","309",""
"base.io","607",""
"base.iq","311",""
"base.ir","312","032"
"base.is","218",""
"base.it","219","010"
"base.je","499","088"
"base.jm","114",""
"base.jo","315","055"
"base.jp","314",""
"base.ke","439",""
"base.kg","349",""
"base.kh","304",""
"base.ki","510","038"
"base.km","458",""
"base.kn","137","019"
"base.kp","306",""
"base.kr","330",""
"base.kw","316","016"
"base.ky","145","025"
"base.kz","348",""
"base.la","317",""
"base.lb","318",""
"base.lc","138","079"
"base.li","234","050"
"base.lk","339","074"
"base.lr","410","063"
"base.ls","440",""
"base.lt","249",""
"base.lu","220","020"
"base.lv","248",""
"base.ly","602",""
"base.ma","415",""
"base.mc","235","051"
"base.md","250",""
"base.me","382",""
"base.mg","412",""
"base.mh","511","062"
"base.mk","251",""
"base.ml","414",""
"base.mm","303","044"
"base.mn","321",""
"base.mo","355","040"
"base.mp","603",""
"base.mq","148",""
"base.mr","416",""
"base.ms","149","043"
"base.mt","221","065"
"base.mu","441","066"
"base.mv","335","064"
"base.mw","413",""
"base.mx","116",""
"base.my","319","039"
"base.mz","442",""
"base.na","460",""
"base.ne","444",""
"base.nf","523","030"
"base.ng","417","045"
"base.ni","117",""
"base.nl","215",""
"base.no","222",""
"base.np","336",""
"base.nr","513","067"
"base.nu","522","046"
"base.nz","503",""
"base.om","337","082"
"base.pa","118","068"
"base.pe","120",""
"base.pf","526","049"
"base.pg","507",""
"base.ph","308",""
"base.pk","322",""
"base.pl","223",""
"base.pm","604","031"
"base.pn","525","048"
"base.pr","121","017"
"base.ps","353",""
"base.pt","224","024"
"base.pw","509","047"
"base.py","119",""
"base.qa","334",""
"base.re","465",""
"base.ro","225",""
"base.rs","688",""
"base.ru","230",""
"base.rw","445",""
"base.sa","302",""
"base.sb","514","034"
"base.sc","446","069"
"base.sd","421",""
"base.se","226",""
"base.sg","338",""
"base.sh","466","023"
"base.si","244",""
"base.sj","222","003"
"base.sk","252",""
"base.sl","423",""
"base.sm","237","081"
"base.sn","420",""
"base.so","448",""
"base.sr","133",""
"base.st","449",""
"base.sv","123",""
"base.sx","534","080"
"base.sy","323",""
"base.sz","450","053"
"base.tc","151","035"
"base.td","433",""
"base.tf","260",""
"base.tg","451",""
"base.th","325",""
"base.tj","350",""
"base.tk","530","083"
"base.tm","351",""
"base.tn","452","071"
"base.to","508","054"
"base.tr","346",""
"base.tt","124","070"
"base.tv","515","085"
"base.tw","307",""
"base.tz","425",""
"base.ua","229",""
"base.ug","426",""
"base.uk","213",""
"base.us","110",""
"base.uy","125",""
"base.uz","352",""
"base.va","238",""
"base.vc","139","077"
"base.ve","126",""
"base.vg","146","036"
"base.vi","152",""
"base.vn","341",""
"base.vu","516","072"
"base.wf","532",""
"base.ws","504","076"
"base.ye","342","073"
"base.yt","443",""
"base.za","422",""
"base.zm","427",""
"base.zw","419",""
