"id","name","description","invoice_label","amount","type_tax_use","tax_group_id","repartition_line_ids/document_type","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","fiscal_position_ids","original_tax_ids","tax_scope"
"l10n_np_purchase_services_vat_capital_template","13% VAT C Services","","","13","purchase","vat_13_group","invoice","100","base","","Capital Base","","","service"
"","","","","","","","invoice","100","tax","l10n_np_1310","Capital Tax","","",""
"","","","","","","","refund","100","base","","Capital Base","","",""
"","","","","","","","refund","100","tax","l10n_np_1310","Capital Tax","","",""
"l10n_np_goods_zero_tax_template","Zero Tax Goods","","","0","sale","zero_tax_group","invoice","100","base","","Zero-Rated Base","l10n_np_export_fiscal_position","l10n_np_sale_goods_vat_template","consu"
"","","","","","","","invoice","100","tax","","Zero-Rated Tax","","",""
"","","","","","","","refund","100","base","","Zero-Rated Base","","",""
"","","","","","","","refund","100","tax","","Zero-Rated Tax","","",""
"l10n_np_services_zero_tax_template","Zero Tax Services","","","0","sale","zero_tax_group","invoice","100","base","","Zero-Rated Base","l10n_np_export_fiscal_position","l10n_np_sale_services_vat_template","service"
"","","","","","","","invoice","100","tax","","Zero-Rated Tax","","",""
"","","","","","","","refund","100","base","","Zero-Rated Base","","",""
"","","","","","","","refund","100","tax","","Zero-Rated Tax","","",""
"l10n_np_purchase_goods_import_vat_template","13% VAT I Goods","","","13","purchase","vat_13_group","invoice","100","base","","Import Base","l10n_np_export_fiscal_position","l10n_np_purchase_goods_vat_template","consu"
"","","","","","","","invoice","100","tax","l10n_np_1310","Import Tax","","",""
"","","","","","","","refund","100","base","","Import Base","","",""
"","","","","","","","refund","100","tax","l10n_np_1310","Import Tax","","",""
"l10n_np_purchase_services_import_vat_template","13% VAT I Services","","","13","purchase","vat_13_group","invoice","100","base","","Import Base","l10n_np_export_fiscal_position","l10n_np_purchase_services_vat_template","service"
"","","","","","","","invoice","100","tax","l10n_np_1310","Import Tax","","",""
"","","","","","","","refund","100","base","","Import Base","","",""
"","","","","","","","refund","100","tax","l10n_np_1310","Import Tax","","",""
"l10n_np_sale_goods_tax_exempt_template","Tax Exempt S Goods","","","0","sale","tax_exempt_group","invoice","100","base","","Exempt Base","","l10n_np_sale_goods_vat_template","consu"
"","","","","","","","invoice","100","tax","","Exempt Tax","","",""
"","","","","","","","refund","100","base","","Exempt Base","","",""
"","","","","","","","refund","100","tax","","Exempt Tax","","",""
"l10n_np_sale_services_tax_exempt_template","Tax Exempt S Services","","","0","sale","tax_exempt_group","invoice","100","base","","Exempt Base","","l10n_np_sale_services_vat_template","service"
