"id","code","name","electronic","prefix","sufix","type"
"document_01","01","Nota Fiscal","False",,,"icms"
"document_1B","1B","Nota Fiscal Avulsa","False",,,"icms"
"document_02","02","Nota Fiscal de Venda a Consumidor","False",,,"icms"
"document_2D","2D","Cupom Fiscal emitido por ECF","False",,,"icms"
"document_2E","2E","Bilhete de Passagem emitido por ECF","False",,,"icms"
"document_04","04","Nota Fiscal de Produtor","False",,,"icms"
"document_06","06","Nota Fiscal/Conta de Energia Elétrica","False",,,"icms"
"document_07","07","Nota Fiscal de Serviço de Transporte","False",,,"icms"
"document_08","08","Conhecimento de Transporte Rodoviário de Cargas","False",,,"icms"
"document_8B","8B","Conhecimento de Transporte de Cargas Avulso","False",,,"icms"
"document_09","09","Conhecimento de Transporte Aquaviário de Cargas","False",,,"icms"
"document_10","10","Conhecimento Aéreo","False",,,"icms"
"document_11","11","Conhecimento de Transporte Ferroviário de Cargas","False",,,"icms"
"document_13","13","Bilhete de Passagem Rodoviário","False",,,"icms"
"document_14","14","Bilhete de Passagem Aquaviário","False",,,"icms"
"document_15","15","Bilhete de Passagem e Nota de Bagagem","False",,,"icms"
"document_17","17","Despacho de Transporte","False",,,"icms"
"document_16","16","Bilhete de Passagem Ferroviário","False",,,"icms"
"document_18","18","Resumo de Movimento Diário","False",,,"icms"
"document_20","20","Ordem de Coleta de Cargas","False",,,"icms"
"document_21","21","Nota Fiscal de Serviço de Comunicação","False",,,"icms"
"document_22","22","Nota Fiscal de Serviço de Telecomunicação","False",,,"icms"
"document_23","23","GNRE","False",,,"icms"
"document_24","24","Autorização de Carregamento e Transporte","False",,,"icms"
"document_25","25","Manifesto de Carga","False","MDFe","mdf-e","icms"
"document_26","26","Conhecimento de Transporte Multimodal de Cargas","False",,,"icms"
"document_27","27","Nota Fiscal de Transporte Ferroviário de Cargas","False",,,"icms"
"document_28","28","Nota Fiscal/Conta de Fornecimento de Gás Canalizado","False",,,"icms"
"document_29","29","Nota Fiscal/Conta de Fornecimento de Água Canalizada","False",,,"icms"
"document_30","30","Bilhete/Recibo do Passageiro","False",,,"icms"
"document_55","55","Nota Fiscal Eletrônica","True","NFe","nf-e","icms"
"document_57","57","Conhecimento de Transporte Eletrônico – CT-e","True","CTe","ct-e","icms"
"document_58","58","Manifesto Eletrônico de Documentos Fiscais","True","MDFe","mdf-e","icms"
"document_59","59","Cupom Fiscal Eletrônico - CF-e","True","CFe","cf-e","icms"
"document_60","60","Cupom Fiscal Eletrônico CF-e-ECF","True",,,"icms"
"document_65","65","Nota Fiscal Eletrônica ao Consumidor Final – NFC-e","True","NFe","nfc-e","icms"
"document_63","63","Bilhete de Passagem Eletrônico - BP-e","True","BPe","bp-e","icms"
"document_66","66","Nota Fiscal de Energia Elétrica Eletrônica - NF3e","True","NF3e","nf3-e","icms"
"document_67","67","Conhecimento de Transporte Eletrônico para Outros Serviços - CT-e OS","True",,,"icms"
"document_SE","SE","Nota Fiscal de Serviço Eletrônica - NFS-e","True","NFSe","nfs-e","service"
