"id","code","name","small_name","type_in_out","type_move","stock_move","finance_move","account_move","assent_move","ind_nfe","ind_cte","ind_comunica","ind_transp","ind_devol","ind_retor","ind_anula","ind_remes","ind_comb"
"cfop_1101","1101","Compra para industrialização","Compra para industrialização","in","purchase_industry","1","1","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1102","1102","Compra para comercialização","Compra para comercialização","in","purchase_commerce","1","1","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1111","1111","Compra para industrialização de mercadoria recebida anteriormente em consignação industrial","Compra para industrialização de mercadoria recebida anteriormente em consignação industrial","in","purchase_industry","1","1","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1113","1113","Compra para comercialização, de mercadoria recebida anteriormente em consignação mercantil","Compra para comercialização, de mercadoria recebida anteriormente em consignação mercantil","in","purchase_commerce","1","1","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1116","1116","Compra para industrialização originada de encomenda para recebimento futuro","Compra para industrialização originada de encomenda para recebimento futuro","in","purchase_industry","1","1","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1117","1117","Compra para comercialização originada de encomenda para recebimento futuro","Compra para comercialização originada de encomenda para recebimento futuro","in","purchase_commerce","1","1","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1118","1118","Compra de mercadoria para comercialização pelo adquirente originário, entregue pelo vendedor remetente ao destinatário, em venda à ordem","Compra de mercadoria para comercialização pelo adquirente originário, entregue pelo vendedor remetente ao destinatário, em venda à ordem","in","purchase_commerce","1","1","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1120","1120","Compra para industrialização, em venda à ordem, já recebida do vendedor remetente","Compra para industrialização, em venda à ordem, já recebida do vendedor remetente","in","purchase_industry","1","1","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1121","1121","Compra para comercialização, em venda à ordem, já recebida do vendedor remetente","Compra para comercialização, em venda à ordem, já recebida do vendedor remetente","in","purchase_commerce","1","1","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1122","1122","Compra para industrialização em que a mercadoria foi remetida pelo fornecedor ao industrializador sem transitar pelo estabelecimento adquirente","Compra para industrialização em que a mercadoria foi remetida pelo fornecedor ao industrializador sem transitar pelo estabelecimento adquirente","in","purchase_industry","1","1","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1124","1124","Industrialização efetuada por outra empresa","Industrialização efetuada por outra empresa","in","other","1","0","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1125","1125","Industrialização efetuada por outra empresa quando a mercadoria remetida para utilização no processo de industrialização não transitou pelo estabelecimento adquirente da mercadoria","Industrialização efetuada por outra empresa quando a mercadoria remetida para utilização no processo de industrialização não transitou pelo estabelecimento adquirente da mercadoria","in","other","1","0","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1126","1126","Compra para utilização na prestação de serviço","Compra para utilização na prestação de serviço","in","purchase_commerce","1","1","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1128","1128","Compra para utilização na prestação de serviço sujeita ao ISSQN","Compra para utilização na prestação de serviço sujeita ao ISSQN","in","purchase_commerce","1","1","1","0","1","0","0","0","0","0","0","0","0"
"cfop_1131","1131","Entrada de mercadoria com previsão de posterior ajuste ou fixação de preço, decorrente de operação de ato cooperativo.","Entrada de mercadoria com previsão de posterior ajuste ou fixação de preço, decorrente de operação de ato cooperativo.","in","other","1","0","1","0","1","0","0","0","0","0","0","0","0"
