"id","code","name"
"ipi_control_seal_755311","755311","Relógios; Verde"
"ipi_control_seal_755312","755312","Relógios Importado; Vermelho"
"ipi_control_seal_755313","755313","Relógios Zona Franca Manaus Nacional; Azul"
"ipi_control_seal_755314","755314","Relógios Zona Franca Manaus Importado; Marrom"
"ipi_control_seal_756401","756401","Fósforos Importado; Vermelho"
"ipi_control_seal_758501","758501","Fonográficos; Verde"
"ipi_control_seal_758502","758502","Fonográficos Importado; Vermelho"
"ipi_control_seal_758503","758503","Fonográficos Exportação; Azul-marinho"
"ipi_control_seal_758511","758511","Audio Visual; Amarelo"
"ipi_control_seal_758512","758512","Audio Visual Importado; Violeta"
"ipi_control_seal_758513","758513","Audio Visual Exportação; Azul"
"ipi_control_seal_861001","861001","Cigarro; Verde Escuro / marrom"
"ipi_control_seal_861002","861002","Cigarro; Verde Claro / marrom"
"ipi_control_seal_861003","861003","Cigarro; Roxa / marrom"
"ipi_control_seal_861004","861004","Cigarro; Violeta / marrom"
"ipi_control_seal_861005","861005","Cigarro; Laranja / marrom"
"ipi_control_seal_861006","861006","Cigarro; Amarela / marrom"
"ipi_control_seal_861009","861009","Cigarro Estrangeiro; Vermelha / azul"
"ipi_control_seal_861010","861010","Cigarro Exportação tipo 1; Azul-Marinho / Cinza"
"ipi_control_seal_861011","861011","Cigarro Exportação tipo 2; Azul-Marinho / Cinza"
"ipi_control_seal_861012","861012","Cigarro Exportação tipo 3; Verde / Azul"
"ipi_control_seal_971001","971001","Cigarro; Verde / marrom"
"ipi_control_seal_971002","971002","Cigarro; Verde Claro / marrom"
"ipi_control_seal_971003","971003","Cigarro; Azul / marrom"
"ipi_control_seal_971004","971004","Cigarro; Violeta / marrom"
"ipi_control_seal_971005","971005","Cigarro; Laranja / marrom"
"ipi_control_seal_971006","971006","Cigarro; Amarela / marrom"
"ipi_control_seal_971010","971010","Cigarro Exportação tipo 1; Verde Escuro / marrom"
"ipi_control_seal_971011","971011","Cigarro Exportação tipo 2; Verde Escuro / marrom"
"ipi_control_seal_971012","971012","Cigarro Exportação tipo 3; Verde Escuro / marrom"
"ipi_control_seal_972911","972911","Uísque; Verde / marrom"
"ipi_control_seal_972912","972912","Uísque; Azul / marrom"
"ipi_control_seal_972913","972913","Uísque Estrangeiro; Vermelho / marrom"
"ipi_control_seal_972914","972914","Uísque Estrangeiro; Amarelo / marrom"
"ipi_control_seal_972921","972921","Uísque Miniatura; Verde / marrom"
"ipi_control_seal_972922","972922","Uísque Miniatura; Azul / marrom"
"ipi_control_seal_972923","972923","Uísque Miniatura Estrangeiro; Vermelho / marrom"
"ipi_control_seal_972924","972924","Uísque Miniatura Estrangeiro; Amarelo / marrom"
"ipi_control_seal_973711","973711","Bebida Alcoólica; Laranja / marrom"
"ipi_control_seal_973712","973712","Bebida Alcoólica; Cinza / marrom"
"ipi_control_seal_973713","973713","Bebida Alcoólica; Marrom / marrom"
"ipi_control_seal_973714","973714","Bebida Alcoólica; Verde / marrom"
"ipi_control_seal_973715","973715","Bebida Alcoólica Estrangeira; Vermelho / marrom"
"ipi_control_seal_973716","973716","Bebida Alcoólica Exportação; Azul Marinho / marrom"
"ipi_control_seal_973721","973721","Bebida Alcoólica Miniatura; Verde / marrom"
"ipi_control_seal_973722","973722","Bebida Alcoólica Miniatura Estrangeira; Vermelho / marrom"
"ipi_control_seal_973723","973723","Bebida Alcoólica Miniatura Exportação; Azul Marinho / marrom"
"ipi_control_seal_974511","974511","Aguardente; Laranja / marrom"
"ipi_control_seal_974512","974512","Aguardente; Azul / marrom"
"ipi_control_seal_974513","974513","Aguardente; Violeta / marrom"
