"id","code","name","ncms","ncm_exception","not_in_ncms","piscofins_type","tax_pis_id:id","tax_pis_st_id:id","tax_cofins_id:id","tax_cofins_st_id:id"
"tax_piscofins_monofasico_1","101","Gasolinas, Exceto Gasolina de Aviação","27101159;27101259",,,"product","tax_pis_monofasico_5_08",,"tax_cofins_monofasico_23_44",
"tax_piscofins_monofasico_2","102","Óleo Diesel","27101921",,,"product","tax_pis_monofasico_4_21",,"tax_cofins_monofasico_19_42",
"tax_piscofins_monofasico_3","103","Gás Liqüefeito de Petróleo - GLP","27111910",,,"product","tax_pis_monofasico_10_20",,"tax_cofins_monofasico_47_40",
"tax_piscofins_monofasico_4","104","Querosene de Aviação","27101911",,,"product","tax_pis_monofasico_5_00",,"tax_cofins_monofasico_23_20",
"tax_piscofins_monofasico_5","105","Correntes Destinadas à Formulação de Gasolinas",,,,"product","tax_pis_monofasico_5_08",,"tax_cofins_monofasico_23_44",
"tax_piscofins_monofasico_6","106","Correntes Destinadas à Formulação de Óleo Diesel",,,,"product","tax_pis_monofasico_4_21",,"tax_cofins_monofasico_19_42",
"tax_piscofins_monofasico_7","107","Nafta Petroquímica Destinada à Formulação de Gasolina ou de Óleo Diesel",,,,"product","tax_pis_monofasico_5_08",,"tax_cofins_monofasico_23_44",
"tax_piscofins_monofasico_8","108","Nafta Petroquímica Destinada à Formulação Exclusivamente de Óleo Diesel",,,,"product","tax_pis_monofasico_4_21",,"tax_cofins_monofasico_19_42",
"tax_piscofins_monofasico_9","109","Biodiesel","38249029;38260000",,,"product","tax_pis_monofasico_6_15",,"tax_cofins_monofasico_28_32",
"tax_piscofins_monofasico_10","109","Biodiesel","38249029;38260000","01",,"product","tax_pis_monofasico_6_15",,"tax_cofins_monofasico_28_32",
"tax_piscofins_monofasico_11","112","Álcool, Inclusive para Fins Carburantes - Venda por Produtor ou Importador","22071000;22072010;220710;2207201",,,"product","tax_pis_monofasico_1_50",,"tax_cofins_monofasico_6_90",
"tax_piscofins_monofasico_12","112","Álcool, Inclusive para Fins Carburantes - Venda por Produtor ou Importador","22089000","01",,"product","tax_pis_monofasico_1_50",,"tax_cofins_monofasico_6_90",
"tax_piscofins_monofasico_13","113","Álcool, Inclusive para Fins Carburantes - Venda por Distribuidor ou Comerciante Não Varejista","22071000;22072010;220710;2207201",,,"product","tax_pis_monofasico_3_75",,"tax_cofins_monofasico_17_25",
"tax_piscofins_monofasico_14","113","Álcool, Inclusive para Fins Carburantes - Venda por Distribuidor ou Comerciante Não Varejista","22089000","01",,"product","tax_pis_monofasico_3_75",,"tax_cofins_monofasico_17_25",
"tax_piscofins_monofasico_15","150","Nafta Petroquímica e condensado destinado às Centrais Petroquímicas",,,,"product","tax_pis_monofasico_1",,"tax_cofins_monofasico_4_60",
"tax_piscofins_monofasico_16","151","Etano, Propano, Butano e Correntes Gasosas de Refinaria - HLR - Hidrocarbonetos Leves de Refino Destinados à Produção de Eteno, Propeno, buteno, butadieno, orto-xileno, benzeno, tolueno, isopreno e paraxileno",,,,"product","tax_pis_monofasico_1",,"tax_cofins_monofasico_4_60",
"tax_piscofins_monofasico_17","152","Eteno, propeno, buteno, butadieno, orto-xileno, benzeno, tolueno, isopreno e paraxileno para indústrias químicas para serem utilizados como insumo produtivo",,,,"product","tax_pis_monofasico_1",,"tax_cofins_monofasico_4_60",
"tax_piscofins_monofasico_18","201","Produtos Farmacêuticos","3001;3003;3004;3002101;3002102;3002103;3002201;3002202;3006301;3006302;30029020;30029092;30029099;30051010;30066000",,"30039056;30049046","product","tax_pis_monofasico_2_10",,"tax_cofins_monofasico_9_90",
"tax_piscofins_monofasico_19","202","Produtos de Perfumaria, de Toucador ou de Higiene Pessoal","3303;3304;3305;3306;3307;34011190;34012010;96032100",,,"product","tax_pis_monofasico_2_20",,"tax_cofins_monofasico_10_30",
"tax_piscofins_monofasico_20","301","Veículos Automotores e Máquinas Agrícolas","7309;731029;76129012;842481;8429;84324000;84328000;843320;84333000;84334000;84335;8701;8702;8703;8704;8705;8706;87162000",,,"product","tax_pis_monofasico_2_00",,"tax_cofins_monofasico_9_60",
"tax_piscofins_monofasico_21","302","Autopeças - Vendas para Atacadistas, Varejistas e Consumidores",,,,"product","tax_pis_monofasico_2_30",,"tax_cofins_monofasico_10_80",
"tax_piscofins_monofasico_22","303","Autopeças - Vendas para Fabricantes de Veículos e Máquinas e de Autopeças",,,,"product","tax_pis_monofasico_1_65",,"tax_cofins_monofasico_7_60",
"tax_piscofins_monofasico_23","304","Pneumáticos (Pneus Novos e Câmaras-de-Ar)","4011;4013",,,"product","tax_pis_monofasico_2_00",,"tax_cofins_monofasico_9_50",
"tax_piscofins_monofasico_24","001","Revenda de combustíveis - Alíquota zero",,,,"product","tax_pis_monofasico_0",,"tax_cofins_monofasico_0",
"tax_piscofins_monofasico_25","002","Revenda de fármacos e perfumarias - Alíquota zero",,,,"product","tax_pis_monofasico_0",,"tax_cofins_monofasico_0",
"tax_piscofins_monofasico_26","003","Revenda de veículos, maquinas e autopeças - Alíquota zero",,,,"product","tax_pis_monofasico_0",,"tax_cofins_monofasico_0",
"tax_piscofins_monofasico_27","411","Preparações compostas, não alcoólicas (extratos concentrados ou sabores concentrados), para elaboração de bebida refrigerante do Capítulo 22, com capacidade de diluição de até 10 partes da bebida para cada parte do concentrado  Volume de embalagem até 500 ml. Vendas a PJ varejista ou consumidor final","21069010","02",,"product","tax_pis_monofasico_1_86",,"tax_cofins_monofasico_8_54",
"tax_piscofins_monofasico_28","412","Preparações compostas, não alcoólicas (extratos concentrados ou sabores concentrados), para elaboração de bebida refrigerante do Capítulo 22, com capacidade de diluição de até 10 partes da bebida para cada parte do concentrado Volume de embalagem acima de 500 ml. Vendas a PJ varejista ou consumidor final","21069010","02",,"product","tax_pis_monofasico_1_86",,"tax_cofins_monofasico_8_54",
"tax_piscofins_monofasico_29","413","Preparações compostas, não alcoólicas (extratos concentrados ou sabores concentrados), para elaboração de bebida refrigerante do Capítulo 22, com capacidade de diluição de até 10 partes da bebida para cada parte do concentrado  Volume de embalagem até 500 ml. Vendas às demais pessoas jurídicas","21069010","02",,"product","tax_pis_monofasico_2_32",,"tax_cofins_monofasico_10_68",
"tax_piscofins_monofasico_30","414","Preparações compostas, não alcoólicas (extratos concentrados ou sabores concentrados), para elaboração de bebida refrigerante do Capítulo 22, com capacidade de diluição de até 10 partes da bebida para cada parte do concentrado  Volume de embalagem acima de 500 ml. Vendas às demais pessoas jurídicas","21069010","02",,"product","tax_pis_monofasico_2_32",,"tax_cofins_monofasico_10_68",
"tax_piscofins_monofasico_31","415","Águas, incluindo as águas minerais, naturais ou artificiais, e as águas gaseificadas, não adicionadas de açúcar ou de outros edulcorantes nem aromatizadas Volume de embalagem até 500 ml. Vendas a PJ varejista ou consumidor final",,,,"product","tax_pis_monofasico_1_86",,"tax_cofins_monofasico_8_54",
"tax_piscofins_monofasico_32","416","Águas, incluindo as águas minerais, naturais ou artificiais, e as águas gaseificadas, não adicionadas de açúcar ou de outros edulcorantes nem aromatizadas Volume de embalagem acima de 500 ml. Vendas a PJ varejista ou consumidor final",,,,"product","tax_pis_monofasico_1_86",,"tax_cofins_monofasico_8_54",
"tax_piscofins_monofasico_33","417","Águas, incluindo as águas minerais, naturais ou artificiais, e as águas gaseificadas, não adicionadas de açúcar ou de outros edulcorantes nem aromatizadas Volume de embalagem até 500 ml. Vendas às demais pessoas jurídicas",,,,"product","tax_pis_monofasico_2_32",,"tax_cofins_monofasico_10_68",
"tax_piscofins_monofasico_34","418","Águas, incluindo as águas minerais, naturais ou artificiais, e as águas gaseificadas, não adicionadas de açúcar ou de outros edulcorantes nem aromatizadas Volume de embalagem acima de 500 ml. Vendas às demais pessoas jurídicas",,,,"product","tax_pis_monofasico_2_32",,"tax_cofins_monofasico_10_68",
"tax_piscofins_monofasico_35","419","Águas, incluindo as águas minerais e as águas gaseificadas, adicionadas de açúcar ou de outros edulcorantes ou aromatizadas e outras bebidas não alcoólicas, exceto sucos (sumos) de frutas ou de produtos hortícolas, da posição 20.09 Volume de embalagem até 500 ml. Vendas a PJ varejista ou consumidor final",,,,"product","tax_pis_monofasico_1_86",,"tax_cofins_monofasico_8_54",
"tax_piscofins_monofasico_36","420","Águas, incluindo as águas minerais e as águas gaseificadas, adicionadas de açúcar ou de outros edulcorantes ou aromatizadas e outras bebidas não alcoólicas, exceto sucos (sumos) de frutas ou de produtos hortícolas, da posição 20.09 Volume de embalagem acima de 500 ml. Vendas a PJ varejista ou consumidor final",,,,"product","tax_pis_monofasico_1_86",,"tax_cofins_monofasico_8_54",
